fips,NAME,POP70,HHD70,POP80,HHD80,POP90,HHD90,POP00,HHD00,POP10,HHD10,2020-01-21,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01
13,Georgia,4583982,1367090,5457519,1869746,6477997,2366590,8186384,3006374,9687653,3585584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,3,7,11,17,22,31,31,41,65,97,118,142,193,282,482,552,620,800,1095,1385,1641,2198,2447,2683,3032,4116,4747,5444,5967,6383,6742,7558,9156,10204,10885,11859,12261,12103,13125,13913,14583,15644,16658,17014,17619,18447,19189,20099,20905,21575,22225,22459,23229,23607,24300,25431,26436,27268,27618,28350,28876,29724,30524,31089,31481,32267,32448,33311,33866,34422,35242,35655,35954,36634,37214,38162,38969,39734,40408,40989,41414,42066,42713,43363,43888,44336,45051,45757
15,Hawaii,743601,199357,931792,287576,1108041,356249,1211523,403238,1360301,455338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,4,7,10,14,16,26,37,48,56,77,90,95,106,120,151,175,204,224,258,283,317,349,369,385,408,433,440,463,484,497,502,511,524,535,547,568,574,578,580,586,590,595,597,599,600,602,605,609,610,611,611,612,615,616,619,619,620,621,623,624,627,627,628,629,630,630,631,633,637,632,633,633,633,633,634,637,639,641,642,642
16,Idaho,707787,217515,917857,315902,1006739,360719,1293938,469643,1567582,579408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,5,9,11,23,31,42,47,50,73,123,189,231,261,310,415,526,669,890,1012,1076,1100,1170,1210,1232,1366,1425,1438,1457,1499,1538,1587,1609,1655,1668,1672,1736,1766,1802,1836,1870,1887,1897,1917,1952,1984,2016,2035,2061,2059,2106,2127,2158,2178,2205,2230,2232,2261,2294,2325,2352,2389,2419,2421,2455,2476,2506,2534,2595,2626,2650,2664,2699,2731,2770,2804,2840,2855,2908
17,Illinois,11281149,3690147,11353735,4020464,11429587,4202209,12419324,4591794,12830632,4836972,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,4,4,4,5,6,6,7,11,19,25,32,46,66,94,104,159,286,420,583,751,1047,1285,1535,1874,2538,3029,3547,4613,5070,5992,6978,7695,8904,10357,11276,12262,13549,15078,16422,17887,19180,20852,22025,23247,24593,25734,27575,29160,30357,31508,33059,35108,36935,39658,41777,43903,45883,48102,50355,52918,56055,58505,61499,63840,65889,68164,70802,73688,76008,77662,79123,83168,84874,88081,90528,92669,94360,96778,98298,100713,102995,105710,108100,110541,112248,113486,114612,116128,117794,119290,120588,121666
18,Indiana,5185645,1607451,5453652,1915438,5543737,2065335,6080490,2336295,6483802,2502154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,6,11,12,12,15,19,24,30,39,56,81,128,204,264,371,484,661,988,1239,1522,1797,2170,2578,3056,3455,3975,4437,4986,5542,5986,6400,6960,7494,7990,8300,8598,9030,9619,10234,10729,11300,11783,12198,12551,13184,13837,14556,15175,16137,16783,17409,18099,18941,19629,20267,20855,21423,22286,22942,23620,24239,24633,25134,25676,26044,26627,27281,27919,28419,28897,29402,29986,30673,31165,31674,32151,32489,32856,33242,33885,34399,35064,35429,35684
19,Iowa,2800790,891044,2887273,1047065,2775506,1063872,2926335,1149269,3046355,1221576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,13,14,16,17,18,22,22,29,38,44,45,68,90,105,124,145,179,235,298,336,424,498,549,614,699,786,868,946,1048,1145,1270,1388,1510,1587,1710,1899,1995,2141,2332,2513,2915,3175,3641,3764,3939,4459,5109,5490,5868,6376,6843,7145,7883,8641,9169,9703,10111,10404,11059,11457,11671,11959,12373,12912,13289,13675,14049,14328,14651,14955,15296,15868,16170,16510,16898,17434,17628,17999,18446,18672,19019,19336,19621,19789
20,Kansas,2226711,721336,2338807,863364,2477521,944713,2688414,1037896,2853118,1112096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,5,6,8,9,11,17,22,35,49,57,66,82,99,132,171,212,271,332,373,434,488,554,624,702,767,854,905,1055,1116,1180,1282,1337,1382,1438,1501,1593,1730,1818,1896,2029,2113,2290,2625,2841,3090,3197,3406,3601,3811,4305,4510,4863,5177,5385,5627,5893,6240,6751,6923,7045,7161,7352,7552,7668,8006,8059,8066,8439,8488,8661,8771,9068,9119,9135,9272,9352,9453,9512,9826,9847,9878,10103
21,Kentucky,3154685,963783,3568471,1231767,3684185,1379351,4041767,1590646,4339367,1719965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,5,7,7,11,11,18,21,22,26,35,47,63,84,103,124,157,198,248,302,394,439,480,590,674,747,762,909,1048,1057,1289,1393,1525,1702,1851,1963,2048,2210,2295,2429,2522,2707,2960,3050,3193,3373,3548,3779,3905,4074,4146,4375,4538,4708,4879,4881,5223,5370,5822,5946,6173,6298,6469,6486,6710,7003,7102,7397,7578,7773,7793,8041,8205,8336,8475,8688,8812,8842,8899,9175,9313,9510,9688,9887,9937,10150
22,Louisiana,3625346,1048665,4165216,1400293,4210278,1498308,4468774,1655949,4533372,1728360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,13,14,36,77,103,137,196,280,392,537,763,837,1172,1388,1795,2305,2746,3315,3539,4024,5237,6424,9152,10299,12500,13014,14867,16284,17030,18283,19253,20014,20595,21016,21518,21951,22532,23118,23580,23928,24523,24854,25317,25798,26199,26571,26832,27111,27329,27703,28044,28754,29183,29383,29746,30069,30472,30725,30928,31490,31673,31881,32116,32728,33555,33903,34183,34498,34832,35161,35439,36627,37048,37165,37293,37916,38252,38694,38907,38907,39682,40021,40452
23,Maine,961311,293990,1121387,394660,1227919,465305,1274930,518205,1328361,557219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,12,17,32,43,52,57,70,89,107,118,142,155,168,211,253,275,303,344,376,432,456,470,499,519,537,560,586,616,633,698,734,770,796,827,847,867,875,888,907,937,965,990,1015,1023,1040,1056,1095,1123,1152,1185,1205,1226,1254,1330,1374,1408,1436,1462,1477,1515,1565,1603,1648,1687,1713,1741,1819,1877,1948,2013,2055,2074,2109,2137,2189,2226,2282,2325,2349
24,Maryland,3906314,1172470,4202403,1458677,4776908,1747516,5296490,1980848,5773552,2156411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,5,6,9,13,13,18,27,32,39,57,85,108,150,195,245,290,349,423,581,775,1066,1244,1414,1662,1985,2331,2758,3125,3609,4045,4371,5529,6185,6968,7694,8225,8936,9472,10096,10851,11641,12379,12892,13750,14261,14842,15805,16693,17844,18664,19574,20200,20942,21825,23566,24568,25561,26509,27217,28263,29476,30592,31638,32693,33483,34174,34927,36021,37105,38083,38920,39882,41664,42442,43645,44539,45608,46919,47754,48290,49042,50334,51631,52662,53456,54035
25,Massachusetts,5543009,1717923,5732054,2032845,6014825,2247094,6349050,2443561,6547629,2547075,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,8,13,28,41,92,95,108,123,138,164,197,218,256,328,413,525,646,777,1159,1838,2417,3240,4257,4955,5752,6620,7738,8966,10402,11736,12500,13837,15202,16790,18941,20974,22860,25475,26867,28163,29918,32181,34402,36372,38077,39643,41199,42944,46023,50969,53348,54938,56462,58302,60265,62205,64311,66263,68087,69087,70271,72025,73721,75333,76743,77793,78462,79332,80497,82182,83421,84933,86010,87052,87925,88970,90084,90889,91662,92675,93271,93693,94220,94895,95512,96301,96965,100805
26,Michigan,8844306,2647511,9238789,3189919,9290053,3418359,9938437,3785672,9883640,3872508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,12,25,33,53,54,65,80,334,548,787,1033,1324,1791,2293,2877,3655,4634,5486,6508,7629,9292,10791,12669,14225,15633,17129,18851,20220,21375,22646,23853,24494,25487,26844,27893,29119,29952,30717,31348,31927,32935,33929,35252,36627,37184,37751,38190,39234,40360,41347,42348,43191,43736,43928,44333,45048,45643,46319,46735,47116,47526,47946,48307,49489,49982,50416,51054,51853,52337,52988,53468,53865,54304,54616,54816,55040,55544,55944,56589,56848,57355,58435
27,Minnesota,3790656,1150872,4057141,1440543,4373388,1647489,4919461,1895106,5303925,2087227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,5,9,14,21,35,54,60,77,89,115,138,171,235,262,287,346,398,440,504,576,629,689,742,789,865,935,986,1069,1154,1242,1335,1427,1621,1650,1695,1809,1912,2071,2213,2356,2470,2567,2721,2942,3185,3446,3602,3816,4181,4644,5136,5730,6228,6663,7234,7851,8579,9364,10087,10789,11270,11798,12493,12916,13443,14249,14978,15677,16381,17038,17679,18209,19014,19854,20582,21324,21969,22474,22957,23541,24200,24860,25218
28,Mississippi,2247041,644467,2521562,828047,2573190,911376,2844629,1046426,2967297,1115768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,6,10,12,21,34,50,80,140,207,249,320,376,486,579,669,759,848,937,1073,1177,1358,1455,1638,1738,1915,2003,2260,2469,2642,2781,2942,3087,3360,3624,3793,3974,4274,4512,4716,4894,5153,5434,5718,5911,6094,6342,6569,6815,7212,7441,7550,7877,8207,8424,8686,9090,9378,9501,9674,9908,10090,10483,10801,11123,11296,11432,11704,11967,12222,12624,13005,13252,13458,13731,14044,14372,14790,15229,15501,15752
29,Missouri,4655938,1513696,4906773,1790096,5116844,1961191,5595183,2194576,5988927,2375611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,4,5,5,9,16,21,35,73,93,130,183,255,377,507,670,837,902,1049,1350,1580,1834,2113,2291,2367,2722,3037,3327,3539,3799,4024,4160,4388,4686,4895,5111,5283,5517,5667,5807,5941,6137,6321,6625,6826,6997,7171,7306,7426,7563,7840,8154,8454,8776,8919,9164,9409,9573,9737,9906,10025,10124,10369,10490,10567,10794,11069,11225,11369,11510,11657,11797,11922,12114,12296,12437,12624,12815,12949,13118,13297,13523
30,Montana,663884,208512,722317,263001,799059,306175,902198,358673,989415,409607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,6,8,8,12,19,19,29,34,45,51,65,90,121,147,161,177,198,217,241,262,281,298,319,319,332,354,365,377,387,394,399,404,415,422,426,433,433,437,439,442,444,445,448,449,451,451,452,452,454,454,456,456,456,456,458,458,458,459,461,462,462,466,468,468,470,471,478,479,479,479,479,479,479,481,485,493,505,515,519
31,Nebraska,1477485,472230,1556046,567299,1577613,602346,1711170,666152,1826341,721130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,11,11,11,11,12,13,13,13,13,13,13,13,13,13,13,14,14,16,16,17,23,24,27,29,31,33,36,43,47,53,61,62,73,77,84,91,99,121,136,185,193,249,273,296,339,376,437,490,538,594,678,718,805,870,930,994,1094,1216,1348,1473,1646,1726,1826,2190,2474,2898,3126,3487,3613,3876,4332,4838,5332,5686,6123,6442,6771,7190,7830,8233,8328,8575,8732,9072,9411,9766,10220,10348,10625,10846,11119,11424,11662,11989,12134,12355,12619,12976,13261,13654,13905,14101,14345
32,Nevada,484784,158802,799720,303809,1200617,466191,1998195,751140,2700551,1006250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,4,4,4,7,11,19,21,26,45,55,82,99,165,165,190,265,315,405,535,621,738,920,1044,1113,1279,1458,1549,1758,1880,1971,2101,2318,2456,2606,2720,2860,3036,3137,3212,3321,3524,3626,3741,3830,3937,4081,4208,4398,4539,4638,4708,4812,4934,5053,5249,5390,5473,5627,5665,5744,5858,5942,6046,6120,6152,6311,6482,6604,6733,6810,6935,7059,7169,7301,7402,7531,7769,7886,7959,8059,8150,8247,8375,8519,8628,8701
33,New Hampshire,728548,222850,916059,322222,1106637,410573,1235777,474604,1316470,518973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,4,4,4,5,5,6,7,7,13,17,26,39,44,55,65,78,101,108,137,158,187,214,258,314,367,415,479,540,621,669,715,747,788,819,885,929,985,1020,1091,1139,1211,1287,1342,1392,1447,1491,1588,1670,1720,1793,1864,1938,2010,2054,2146,2310,2429,2518,2588,2636,2741,2843,2947,3011,3071,3160,3239,3299,3382,3464,3556,3596,3652,3721,3868,3935,4014,4089,4149,4197,4231,4286,4389,4492,4545,4651,4685
34,New Jersey,7134124,2212496,7351152,2547407,7724378,2793478,8414308,3064622,8791894,3214360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,4,6,11,15,23,29,50,75,98,176,268,427,735,896,1336,1914,2844,3675,4402,6876,8825,11124,13386,16636,18696,22255,25590,29895,34124,37505,41090,44416,47437,51027,54588,58151,61850,64584,68824,71030,75317,78467,81420,85301,88806,92387,95865,99989,102196,105523,109038,111188,113856,116264,118652,121190,123717,126744,128269,130593,131890,133635,135454,137085,138532,139945,140743,141560,142704,143905,145089,146334,148039,149013,150399,151472,152719,153104,154154,155092,155764,156628,157815,158844,159608,160445,160918
35,New Mexico,1008975,287643,1284910,436791,1515072,542713,1819047,677981,2059179,791395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,10,13,17,21,23,28,35,43,57,65,83,100,112,136,191,208,237,281,315,363,403,495,543,624,686,794,865,989,1090,1174,1245,1345,1407,1484,1597,1711,1798,1845,1971,2072,2210,2379,2524,2662,2728,2825,2975,3213,3411,3513,3732,3850,4030,4137,4290,4492,4673,4778,4863,5069,5212,5364,5503,5662,5847,5938,6096,6192,6338,6472,6625,6795,6943,7026,7130,7252,7364,7493,7624,7689,7800
