Year,Place,StatVar,Quantity,Unit,ScalingFactor
2010,geoId/3600101000,dcid:Count_Person,97951.0,,
2010,geoId/3600106211,dcid:Count_Person,2808.0,,
2010,geoId/3600106354,dcid:Count_Person,33387.0,,
2010,geoId/3600101000,dcid:Count_Person_Upto5Years,4995.501,,
2010,geoId/3600106211,dcid:Count_Person_Upto5Years,176.904,,
2010,geoId/3600106354,dcid:Count_Person_Upto5Years,2003.22,,
2010,geoId/3600101000,dcid:Count_Person_5To9Years,4407.795,,
2010,geoId/3600106211,dcid:Count_Person_5To9Years,106.704,,
2010,geoId/3600106354,dcid:Count_Person_5To9Years,2136.768,,
2010,geoId/3600101000,dcid:Count_Person_10To14Years,5093.452,,
2010,geoId/3600106211,dcid:Count_Person_10To14Years,190.944,,
2010,geoId/3600106354,dcid:Count_Person_10To14Years,2504.025,,
2010,geoId/3600101000,dcid:Count_Person_15To19Years,10382.806,,
2010,geoId/3600106211,dcid:Count_Person_15To19Years,140.4,,
2010,geoId/3600106354,dcid:Count_Person_15To19Years,2370.477,,
2010,geoId/3600101000,dcid:Count_Person_20To24Years,14496.748,,
2010,geoId/3600106211,dcid:Count_Person_20To24Years,89.856,,
2010,geoId/3600106354,dcid:Count_Person_20To24Years,1635.963,,
2010,geoId/3600101000,dcid:Count_Person_25To29Years,8717.639,,
2010,geoId/3600106211,dcid:Count_Person_25To29Years,157.248,,
2010,geoId/3600106354,dcid:Count_Person_25To29Years,1602.576,,
2010,geoId/3600101000,dcid:Count_Person_30To34Years,6072.962,,
2010,geoId/3600106211,dcid:Count_Person_30To34Years,148.824,,
2010,geoId/3600106354,dcid:Count_Person_30To34Years,1402.254,,
2010,geoId/3600101000,dcid:Count_Person_35To39Years,5289.354,,
2010,geoId/3600106211,dcid:Count_Person_35To39Years,255.528,,
2010,geoId/3600106354,dcid:Count_Person_35To39Years,2103.381,,
2010,geoId/3600101000,dcid:Count_Person_40To44Years,5583.207,,
2010,geoId/3600106211,dcid:Count_Person_40To44Years,210.6,,
2010,geoId/3600106354,dcid:Count_Person_40To44Years,2704.347,,
2010,geoId/3600101000,dcid:Count_Person_45To49Years,5975.011,,
2010,geoId/3600106211,dcid:Count_Person_45To49Years,272.376,,
2010,geoId/3600106354,dcid:Count_Person_45To49Years,2871.282,,
2010,geoId/3600101000,dcid:Count_Person_50To54Years,5877.06,,
2010,geoId/3600106211,dcid:Count_Person_50To54Years,216.216,,
2010,geoId/3600106354,dcid:Count_Person_50To54Years,3104.991,,
2010,geoId/3600101000,dcid:Count_Person_55To59Years,5093.452,,
2010,geoId/3600106211,dcid:Count_Person_55To59Years,238.68,,
2010,geoId/3600106354,dcid:Count_Person_55To59Years,2570.799,,
2010,geoId/3600101000,dcid:Count_Person_60To64Years,3722.138,,
2010,geoId/3600106211,dcid:Count_Person_60To64Years,204.984,,
2010,geoId/3600106354,dcid:Count_Person_60To64Years,1802.898,,
2010,geoId/3600101000,dcid:Count_Person_65To69Years,2840.579,,
2010,geoId/3600106211,dcid:Count_Person_65To69Years,106.704,,
2010,geoId/3600106354,dcid:Count_Person_65To69Years,1001.61,,
2010,geoId/3600101000,dcid:Count_Person_70To74Years,2644.677,,
2010,geoId/3600106211,dcid:Count_Person_70To74Years,115.128,,
2010,geoId/3600106354,dcid:Count_Person_70To74Years,1034.997,,
2010,geoId/3600101000,dcid:Count_Person_75To79Years,2350.824,,
2010,geoId/3600106211,dcid:Count_Person_75To79Years,87.048,,
2010,geoId/3600106354,dcid:Count_Person_75To79Years,1034.997,,
2010,geoId/3600101000,dcid:Count_Person_80To84Years,1763.118,,
2010,geoId/3600106211,dcid:Count_Person_80To84Years,30.888,,
2010,geoId/3600106354,dcid:Count_Person_80To84Years,734.514,,
2010,geoId/3600101000,dcid:Count_Person_85OrMoreYears,2742.628,,
2010,geoId/3600106211,dcid:Count_Person_85OrMoreYears,56.16,,
2010,geoId/3600106354,dcid:Count_Person_85OrMoreYears,767.901,,
2010,geoId/3600101000,dcid:Count_Person_Years5To14,9403.296,,
2010,geoId/3600106211,dcid:Count_Person_Years5To14,297.648,,
2010,geoId/3600106354,dcid:Count_Person_Years5To14,4640.793,,
2010,geoId/3600101000,dcid:Count_Person_15To17Years,3428.285,,
2010,geoId/3600106211,dcid:Count_Person_15To17Years,98.28,,
2010,geoId/3600106354,dcid:Count_Person_15To17Years,1635.963,,
2010,geoId/3600101000,dcid:Count_Person_18To24Years,21451.269,,
2010,geoId/3600106211,dcid:Count_Person_18To24Years,134.784,,
2010,geoId/3600106354,dcid:Count_Person_18To24Years,2403.864,,
2010,geoId/3600101000,dcid:Count_Person_15To44Years,50444.765,,
2010,geoId/3600106211,dcid:Count_Person_15To44Years,1005.264,,
2010,geoId/3600106354,dcid:Count_Person_15To44Years,11818.998,,
2010,geoId/3600101000,dcid:Count_Person_16OrMoreYears,82376.791,,
2010,geoId/3600106211,dcid:Count_Person_16OrMoreYears,2322.216,,
2010,geoId/3600106354,dcid:Count_Person_16OrMoreYears,26208.795,,
2010,geoId/3600101000,dcid:Count_Person_18OrMoreYears,80123.918,,
2010,geoId/3600106211,dcid:Count_Person_18OrMoreYears,2235.168,,
2010,geoId/3600106354,dcid:Count_Person_18OrMoreYears,25107.024,,
2010,geoId/3600101000,dcid:Count_Person_60OrMoreYears,16063.964,,
2010,geoId/3600106211,dcid:Count_Person_60OrMoreYears,600.912,,
2010,geoId/3600106354,dcid:Count_Person_60OrMoreYears,6376.917,,
2010,geoId/3600101000,dcid:Count_Person_62OrMoreYears,14496.748,,
