Country code,dcid
HRV,country/HRV
HTI,country/HTI
HUN,country/HUN
IDN,country/IDN
IND,country/IND
IRL,country/IRL
IRN,country/IRN
IRQ,country/IRQ
ISL,country/ISL
ISR,country/ISR
ITA,country/ITA
JAM,country/JAM
JOR,country/JOR
JPN,country/JPN
KAZ,country/KAZ
KEN,country/KEN
KGZ,country/KGZ
KHM,country/KHM
KOR,country/KOR
KWT,country/KWT
LAO,country/LAO
LBN,country/LBN
LBR,country/LBR
LBY,country/LBY
LCA,country/LCA
LKA,country/LKA
LSO,country/LSO
LTU,country/LTU
LUX,country/LUX
LVA,country/LVA
MAC,country/MAC
MAR,country/MAR
MCO,country/MCO
MDA,country/MDA
MDG,country/MDG
MDV,country/MDV
MEX,country/MEX
MKD,country/MKD
MLI,country/MLI
MLT,country/MLT
MMR,country/MMR
MNE,country/MNE
MNG,country/MNG
MOZ,country/MOZ
MRT,country/MRT
MUS,country/MUS
MWI,country/MWI
MYS,country/MYS
NAM,country/NAM
NER,country/NER
NGA,country/NGA
NIC,country/NIC
NLD,country/NLD
NOR,country/NOR
NPL,country/NPL
NZL,country/NZL
OMN,country/OMN
PAK,country/PAK
PAN,country/PAN
PER,country/PER
PHL,country/PHL
PNG,country/PNG
POL,country/POL
PRK,country/PRK
PRT,country/PRT
PRY,country/PRY
PSE,country/PSE
QAT,country/QAT
ROU,country/ROU
RUS,country/RUS
RWA,country/RWA
SAU,country/SAU
SDN,country/SDN
SEN,country/SEN
SGP,country/SGP
SLE,country/SLE
SLV,country/SLV
SMR,country/SMR
SRB,country/SRB
SSD,country/SSD
SUR,country/SUR
SVK,country/SVK
SVN,country/SVN
SWE,country/SWE
SWZ,country/SWZ
SYC,country/SYC
SYR,country/SYR
TCD,country/TCD
TGO,country/TGO
THA,country/THA
TJK,country/TJK
TKM,country/TKM
TTO,country/TTO
TUN,country/TUN
TUR,country/TUR
TWN,country/TWN
TZA,country/TZA
UGA,country/UGA
UKR,country/UKR
URY,country/URY
USA,country/USA
UZB,country/UZB
VEN,country/VEN
VNM,country/VNM
WSM,country/WSM
YEM,country/YEM
ZAF,country/ZAF
ZMB,country/ZMB
ZWE,country/ZWE
ABW,country/ABW
AFG,country/AFG
AGO,country/AGO
ALB,country/ALB
AND,country/AND
ARE,country/ARE
ARG,country/ARG
ARM,country/ARM
ASM,country/ASM
ATG,country/ATG
AUS,country/AUS
AUT,country/AUT
AZE,country/AZE
BDI,country/BDI
BEL,country/BEL
BEN,country/BEN
BFA,country/BFA
BGD,country/BGD
BGR,country/BGR
BHR,country/BHR
BHS,country/BHS
BIH,country/BIH
BLR,country/BLR
BLZ,country/BLZ
BMU,country/BMU
BOL,country/BOL
BRA,country/BRA
BRB,country/BRB
BRN,country/BRN
BTN,country/BTN
BWA,country/BWA
CAF,country/CAF
CAN,country/CAN
CHE,country/CHE
CHL,country/CHL
CHN,country/CHN
CIV,country/CIV
CMR,country/CMR
COD,country/COD
COG,country/COG
COL,country/COL
COM,country/COM
CPV,country/CPV
CRI,country/CRI
CUB,country/CUB
CUW,country/CUW
CYM,country/CYM
CYP,country/CYP
CZE,country/CZE
DEU,country/DEU
DMA,country/DMA
DNK,country/DNK
DOM,country/DOM
DZA,country/DZA
ECU,country/ECU
EGY,country/EGY
ERI,country/ERI
ESP,country/ESP
EST,country/EST
ETH,country/ETH
FIN,country/FIN
FJI,country/FJI
FRA,country/FRA
FSM,country/FSM
GAB,country/GAB
GBR,country/GBR
GEO,country/GEO
GHA,country/GHA
GIB,country/GIB
GIN,country/GIN
GMB,country/GMB
GNB,country/GNB
GNQ,country/GNQ
GRC,country/GRC
GRD,country/GRD
GTM,country/GTM
GUM,country/GUM
GUY,country/GUY
HKG,country/HKG
HND,country/HND
KIR,country/KIR
KNA,country/KNA
LIE,country/LIE
MHL,country/MHL
NCL,country/NCL
NRU,country/NRU
PLW,country/PLW
PRI,country/PRI
PYF,country/PYF
SLB,country/SLB
SOM,country/SOM
STP,country/STP
SXM,country/SXM
TCA,country/TCA
TLS,country/TLS
TON,country/TON
TUV,country/TUV
VCT,country/VCT
VGB,country/VGB
VIR,country/VIR
VUT,country/VUT
DJI,country/DJI
YUG,country/YUG
GRL,country/GRL
IMN,country/IMN
MNP,country/MNP
FRO,country/FRO
COK,country/COK
MSR,country/MSR
MAF,country/MAF
NIU,country/NIU
TKL,country/TKL
ANT,country/ANT
GLP,country/GLP
GUF,country/GUF
MTQ,country/MTQ
MYT,country/MYT
REU,country/REU
AIA,country/AIA
BES,country/BES
ESH,country/ESH
FLK,country/FLK
SHN,country/SHN
SPM,country/SPM
WLF,country/WLF
EUU,EuropeanUnion
XKX,country/XKS
BGD_CHI,wikidataId/Q158087
BGD_DHA,wikidataId/Q330158
BRA_RIO,wikidataId/Q41428
BRA_SAO,wikidataId/Q175
CHN_BEI,wikidataId/Q956
CHN_SHA,wikidataId/Q8686
IDN_JAK,wikidataId/Q3630
IDN_SUR,wikidataId/Q11462
IND_DEL,wikidataId/Q1353
IND_MUM,wikidataId/Q1156
JPN_OSA,wikidataId/Q122723
JPN_TOK,wikidataId/Q1490
MEX_MEC,wikidataId/Q1489
MEX_MON,wikidataId/Q81033
NGA_KAN,wikidataId/Q182984
NGA_LAG,wikidataId/Q815913
PAK_KAR,wikidataId/Q8660
PAK_LAH,wikidataId/Q3308170
RUS_MOS,wikidataId/Q649
RUS_STP,geoId/1263000
USA_LA,geoId/0644000
USA_NY,geoId/36
NAC,northamerica
SAS,undata-geo/G00158000
WLD,Earth
CHI,ChannelIslands
AFR,africa
AME,undata-geo/G00134000
