seriescode,unit,StatVar
1.1_ACCESS.ELECTRICITY.TOT,,worldBank/1_1_ACCESS_ELECTRICITY_TOT
1.1_TOTAL.FINAL.ENERGY.CONSUM,dcs:Terajoule,worldBank/1_1_TOTAL_FINAL_ENERGY_CONSUM
1.2_ACCESS.ELECTRICITY.RURAL,,worldBank/1_2_ACCESS_ELECTRICITY_RURAL
1.3_ACCESS.ELECTRICITY.URBAN,,worldBank/1_3_ACCESS_ELECTRICITY_URBAN
2.1_SHARE.TOTAL.RE.IN.TFEC,dcs:Percent,worldBank/2_1_SHARE_TOTAL_RE_IN_TFEC
3.1_RE.CONSUMPTION,dcs:Terajoule,worldBank/3_1_RE_CONSUMPTION
4.1_SHARE.RE.IN.ELECTRICITY,dcs:Percent,worldBank/4_1_SHARE_RE_IN_ELECTRICITY
4.1.1_TOTAL.ELECTRICITY.OUTPUT,dcs:GigawattHour,worldBank/4_1_1_TOTAL_ELECTRICITY_OUTPUT
4.1.2_REN.ELECTRICITY.OUTPUT,dcs:GigawattHour,worldBank/4_1_2_REN_ELECTRICITY_OUTPUT
6.1_PRIMARY.ENERGY.INTENSITY,,worldBank/6_1_PRIMARY_ENERGY_INTENSITY
account.t.d,,worldBank/account_t_d
account.t.d.1,,worldBank/account_t_d_1
account.t.d.11,,worldBank/account_t_d_11
account.t.d.12,,worldBank/account_t_d_12
account.t.d.2,,worldBank/account_t_d_2
account.t.d.3,,worldBank/account_t_d_3
account.t.d.4,,worldBank/account_t_d_4
account.t.d.5,,worldBank/account_t_d_5
account.t.d.6,,worldBank/account_t_d_6
account.t.d.7,,worldBank/account_t_d_7
account.t.d.8,,worldBank/account_t_d_8
AG.AGR.TRAC.NO,,worldBank/AG_AGR_TRAC_NO
AG.CON.FERT.PT.ZS,dcs:Percent,worldBank/AG_CON_FERT_PT_ZS
AG.CON.FERT.ZS,dcs:Percent,worldBank/AG_CON_FERT_ZS
AG.LND.AGRI.K2,,worldBank/AG_LND_AGRI_K2
AG.LND.AGRI.ZS,dcs:Percent,worldBank/AG_LND_AGRI_ZS
AG.LND.ARBL.HA,,worldBank/AG_LND_ARBL_HA
AG.LND.ARBL.HA.PC,,worldBank/AG_LND_ARBL_HA_PC
AG.LND.ARBL.ZS,dcs:Percent,worldBank/AG_LND_ARBL_ZS
AG.LND.CREL.HA,dcs:Hectare,worldBank/AG_LND_CREL_HA
AG.LND.CROP.ZS,dcs:Percent,worldBank/AG_LND_CROP_ZS
AG.LND.EL5M.RU.K2,,worldBank/AG_LND_EL5M_RU_K2
AG.LND.EL5M.RU.ZS,dcs:Percent,worldBank/AG_LND_EL5M_RU_ZS
AG.LND.EL5M.UR.K2,,worldBank/AG_LND_EL5M_UR_K2
AG.LND.EL5M.UR.ZS,dcs:Percent,worldBank/AG_LND_EL5M_UR_ZS
AG.LND.EL5M.ZS,dcs:Percent,worldBank/AG_LND_EL5M_ZS
AG.LND.FRLS.HA,dcs:Hectare,worldBank/AG_LND_FRLS_HA
AG.LND.FRST.K2,,worldBank/AG_LND_FRST_K2
AG.LND.FRST.ZS,dcs:Percent,worldBank/AG_LND_FRST_ZS
AG.LND.IRIG.AG.ZS,dcs:Percent,worldBank/AG_LND_IRIG_AG_ZS
AG.LND.PRCP.MM,,worldBank/AG_LND_PRCP_MM
AG.LND.TOTL.K2,,worldBank/AG_LND_TOTL_K2
AG.LND.TOTL.RU.K2,,worldBank/AG_LND_TOTL_RU_K2
AG.LND.TOTL.UR.K2,,worldBank/AG_LND_TOTL_UR_K2
AG.LND.TRAC.ZS,dcs:Percent,worldBank/AG_LND_TRAC_ZS
AG.PRD.CREL.MT,dcs:MetricTon,worldBank/AG_PRD_CREL_MT
AG.PRD.CROP.XD,,worldBank/AG_PRD_CROP_XD
AG.PRD.FOOD.XD,,worldBank/AG_PRD_FOOD_XD
AG.PRD.LVSK.XD,,worldBank/AG_PRD_LVSK_XD
AG.SRF.TOTL.K2,,worldBank/AG_SRF_TOTL_K2
AG.YLD.CREL.KG,,worldBank/AG_YLD_CREL_KG
BAR.NOED.1519.FE.ZS,dcs:Percent,worldBank/BAR_NOED_1519_FE_ZS
BAR.NOED.1519.ZS,dcs:Percent,worldBank/BAR_NOED_1519_ZS
BAR.NOED.15UP.FE.ZS,dcs:Percent,worldBank/BAR_NOED_15UP_FE_ZS
BAR.NOED.15UP.ZS,dcs:Percent,worldBank/BAR_NOED_15UP_ZS
BAR.NOED.2024.FE.ZS,dcs:Percent,worldBank/BAR_NOED_2024_FE_ZS
BAR.NOED.2024.ZS,dcs:Percent,worldBank/BAR_NOED_2024_ZS
BAR.NOED.2529.FE.ZS,dcs:Percent,worldBank/BAR_NOED_2529_FE_ZS
BAR.NOED.2529.ZS,dcs:Percent,worldBank/BAR_NOED_2529_ZS
BAR.NOED.25UP.FE.ZS,dcs:Percent,worldBank/BAR_NOED_25UP_FE_ZS
BAR.NOED.25UP.ZS,dcs:Percent,worldBank/BAR_NOED_25UP_ZS
BAR.NOED.3034.FE.ZS,dcs:Percent,worldBank/BAR_NOED_3034_FE_ZS
BAR.NOED.3034.ZS,dcs:Percent,worldBank/BAR_NOED_3034_ZS
BAR.NOED.3539.FE.ZS,dcs:Percent,worldBank/BAR_NOED_3539_FE_ZS
BAR.NOED.3539.ZS,dcs:Percent,worldBank/BAR_NOED_3539_ZS
BAR.NOED.4044.FE.ZS,dcs:Percent,worldBank/BAR_NOED_4044_FE_ZS
BAR.NOED.4044.ZS,dcs:Percent,worldBank/BAR_NOED_4044_ZS
BAR.NOED.4549.FE.ZS,dcs:Percent,worldBank/BAR_NOED_4549_FE_ZS
BAR.NOED.4549.ZS,dcs:Percent,worldBank/BAR_NOED_4549_ZS
BAR.NOED.5054.FE.ZS,dcs:Percent,worldBank/BAR_NOED_5054_FE_ZS
