country code
FCS
HIC
HPC
IBD
IBT
IDA
IDB
IDX
LAC
LCN
LDC
LIC
LMC
LMY
LTE
MEA
MIC
OED
OSS
PRE
PSS
PST
SSA
SSF
SST
TEA
TEC
TLA
TSA
TSS
UMC
MNA
TMN
AFE
AFW
ARB
CEB
CSS
EAP
EAR
EAS
ECA
ECS
EMU
NOC
OEC
FTI
NAF
SXZ
XZN
EMD
LIX
DEA
DEC
DFS
DLA
DMN
DNF
DSA
DSS
