Date,Site_Number,Site_Name,Site_Location,County,Units_Ozone,Units_SO2,Units_CO,Units_NO2,Units_PM2.5,Units_PM10,Mean_Concentration_AirPollutant_Ozone,Max_Concentration_AirPollutant_Ozone,AirQualityIndex_AirPollutant_Ozone,Mean_Concentration_AirPollutant_SO2,Max_Concentration_AirPollutant_SO2,AirQualityIndex_AirPollutant_SO2,Mean_Concentration_AirPollutant_CO,Max_Concentration_AirPollutant_CO,AirQualityIndex_AirPollutant_CO,Mean_Concentration_AirPollutant_NO2,Max_Concentration_AirPollutant_NO2,AirQualityIndex_AirPollutant_NO2,Mean_Concentration_AirPollutant_PM2.5,Max_Concentration_AirPollutant_PM2.5,AirQualityIndex_AirPollutant_PM2.5,Mean_Concentration_AirPollutant_PM10,Max_Concentration_AirPollutant_PM10,AirQualityIndex_AirPollutant_PM10
2021-03-31,epa/0023,North Birmingham,[latLong 33.553056 -86.815],geoId/01073,Parts per million,,,,,,0.029417,0.033,31,,,,,,,,,,,,,,,
2021-03-30,epa/0023,North Birmingham,[latLong 33.553056 -86.815],geoId/01073,Parts per million,,,,,,0.034647,0.049,45,,,,,,,,,,,,,,,
2021-03-29,epa/0023,North Birmingham,[latLong 33.553056 -86.815],geoId/01073,Parts per million,,,,,,0.026706,0.052,48,,,,,,,,,,,,,,,
2021-03-28,epa/0023,North Birmingham,[latLong 33.553056 -86.815],geoId/01073,Parts per million,,,,,,0.035412,0.04,37,,,,,,,,,,,,,,,
2021-03-27,epa/0023,North Birmingham,[latLong 33.553056 -86.815],geoId/01073,Parts per million,,,,,,0.024471,0.026,24,,,,,,,,,,,,,,,
2021-03-26,epa/0023,North Birmingham,[latLong 33.553056 -86.815],geoId/01073,Parts per million,,,,,,0.038,0.052,48,,,,,,,,,,,,,,,
2021-03-25,epa/0023,North Birmingham,[latLong 33.553056 -86.815],geoId/01073,Parts per million,,,,,,0.022353,0.027,25,,,,,,,,,,,,,,,
2021-03-24,epa/0023,North Birmingham,[latLong 33.553056 -86.815],geoId/01073,Parts per million,,,,,,0.042727,0.046,43,,,,,,,,,,,,,,,
2021-03-23,epa/0023,North Birmingham,[latLong 33.553056 -86.815],geoId/01073,Parts per million,,,,,,0.033588,0.036,33,,,,,,,,,,,,,,,
2021-03-22,epa/0023,North Birmingham,[latLong 33.553056 -86.815],geoId/01073,Parts per million,,,,,,0.039417,0.045,42,,,,,,,,,,,,,,,
2021-03-21,epa/0023,North Birmingham,[latLong 33.553056 -86.815],geoId/01073,Parts per million,,,,,,0.037417,0.05,46,,,,,,,,,,,,,,,
2021-03-20,epa/0023,North Birmingham,[latLong 33.553056 -86.815],geoId/01073,Parts per million,,,,,,0.033824,0.053,49,,,,,,,,,,,,,,,
2021-03-19,epa/0023,North Birmingham,[latLong 33.553056 -86.815],geoId/01073,Parts per million,,,,,,0.025941,0.029,27,,,,,,,,,,,,,,,
2021-03-18,epa/0023,North Birmingham,[latLong 33.553056 -86.815],geoId/01073,Parts per million,,,,,,0.027706,0.031,29,,,,,,,,,,,,,,,
2021-03-17,epa/0023,North Birmingham,[latLong 33.553056 -86.815],geoId/01073,Parts per million,,,,,,0.025647,0.034,31,,,,,,,,,,,,,,,
2021-03-16,epa/0023,North Birmingham,[latLong 33.553056 -86.815],geoId/01073,Parts per million,,,,,,0.010235,0.021,19,,,,,,,,,,,,,,,
