,InChI Key,ChEMBL ID
0,,
1,,
2,SHXWCVYOXRDMCX-UHFFFAOYSA-N,CHEMBL43048
3,CXHDSLQCNYLQND-MAAKUKGSSA-N,
4,XMYKNCNAZKMVQN-UGULBSAQSA-N,
5,FMGSKLZLMKYGDP-USOAJAOKSA-N,CHEMBL90593
6,YAFGHMIAFYQSCF-UHFFFAOYSA-N,CHEMBL1358287
7,,
8,ZARUKNQGJBWWBA-UHFFFAOYSA-N,CHEMBL173365
9,,
10,,
11,,
12,,
13,RXRZOKQPANIEDW-KQYNXXCUSA-N,
14,,
15,MCGSCOLBFJQGHM-LNHLLULHSA-N,
16,AIWRTTMUVOZGPW-FZEMYQMASA-N,
17,,
18,,
19,UZWDCWONPYILKI-UHFFFAOYSA-N,CHEMBL3301610
20,GZOSMCIZMLWJML-FTRPFHQNSA-N,
21,,
22,,
23,AFCGFAGUEYAMAO-UHFFFAOYSA-N,CHEMBL1201293
24,XUFXOAAUWZOOIT-QSVGFQLTSA-N,
25,GOEMGAFJFRBGGG-UHFFFAOYSA-N,CHEMBL642
26,MNIPYSSQXLZQLJ-UHFFFAOYSA-N,CHEMBL93645
27,,
28,,
29,,
30,,
31,FSQKKOOTNAMONP-UHFFFAOYSA-N,CHEMBL189171
32,WWBYDEQHYAEHLT-UHFFFAOYSA-N,
33,NOSIYYJFMPDDSA-UHFFFAOYSA-N,CHEMBL39560
34,XLOQNFNTQIRSOX-UHFFFAOYSA-N,CHEMBL2104054
35,,
36,RZVAJINKPMORJF-UHFFFAOYSA-N,CHEMBL112
37,,
38,,
39,,
40,,
41,BZKPWHYZMXOIDC-UHFFFAOYSA-N,CHEMBL20
42,QTBSBXVTEAMEQO-UHFFFAOYSA-N,CHEMBL539
43,,
44,VGZSUPCWNCWDAN-UHFFFAOYSA-N,CHEMBL1589
45,RRUDCFGSUDOHDG-UHFFFAOYSA-N,CHEMBL734
46,,
47,FVHDZPDLOWZOOV-UHFFFAOYSA-N,
48,ZSGVFAAUVFOTND-UHFFFAOYSA-N,
49,PWKSKIMOESPYIA-BYPYZUCNSA-N,CHEMBL600
50,HPMZBILYSWLILX-ORWRZCLOSA-N,
51,MKUXAQIIEYXACX-UHFFFAOYSA-N,CHEMBL184
52,,
53,,
54,IHUNBGSDBOWDMA-VPNQQCBCSA-N,
55,,
56,,
57,,
58,,
59,,
60,LZCDAPDGXCYOEH-UHFFFAOYSA-N,CHEMBL1265
61,WOZSCQDILHKSGG-UHFFFAOYSA-N,CHEMBL922
62,GFFGJBXGBJISGV-UHFFFAOYSA-N,CHEMBL226345
63,OIRDTQYFTABQOQ-KQYNXXCUSA-N,CHEMBL477
64,,
65,UDMBCSSLTHHNCD-KQYNXXCUSA-N,CHEMBL752
66,ZKHQWZAMYRWXGA-KQYNXXCUSA-N,CHEMBL14249
