key,prop,val,p1,v1,p2,v2,p3,v3,p4,v4,Name1,"""""",Name2,"""""",#End,#value
OBS_VALUE,value,{Number},observationAbout,country/EGY,populationType,Person,employmentStatus,Unemployed,measurementDenominator,-employmentStatus,unit,Percent,scalingFactor,100,,
TIME_PERIOD,observationDate,{Number},name,"""{Name1} {Name2}""",,,,,,,,,,,,
FREQ:A,observationPeriod,P1Y,,,,,,,,,,,,,,
GENDER:2,gender,Male,Name2,Male,,,,,,,,,,,,
GENDER:3,gender,Female,Name2,Female,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
INDICATORS:2,age,[15 19 Years],,,,,,,,,,,,,,
INDICATORS:3,age,[20 24 Years],,,,,,,,,,,,,,
INDICATORS:4,age,[25 29 Years],,,,,,,,,,,,,,
INDICATORS:5,age,[30 39 Years],,,,,,,,,,,,,,
INDICATORS:6,age,[40 49 Years],,,,,,,,,,,,,,
INDICATORS:7,age,[50 59 Years],,,,,,,,,,,,,,
INDICATORS:8,age,[60 64 Years],,,,,,,,,,,,,,
INDICATORS:11,literacyStatus,Illiterate,Name1,Unemployment Rate Among Illiterate Persons,,,,,,,,,,,,
INDICATORS:12,educationalAttainment,ReadAndWrite,Name1,Unemployment Rate Among Literate Persons,,,,,,,,,,,,
INDICATORS:13,educationalAttainment,LessThanIntermediate,Name1,Unemployment Rate Less Than Intermediate Education,,,,,,,,,,,,
INDICATORS:14,educationalAttainment,GeneralOrAzhariSecondaryEducation,Name1,Unemployment Rate Among Persons with General or Azhari Secondary Education,,,,,,,,,,,,
INDICATORS:15,educationalAttainment,TechnicalSecondaryEducation,Name1,Technical Secondary Education Unemployment Rate,,,,,,,,,,,,
INDICATORS:16,educationalAttainment,AboveIntermediateEducation,Name1,Unemployment Rate Among Persons with Above Intermediate Education,,,,,,,,,,,,
INDICATORS:17,educationalAttainment,UniversityOrHigher,Name1,Unemployment Rate Among Persons with University or Higher Education,,,,,,,,,,,,
INDICATORS:18,#ignore,skip,,,,,,,,,,,,,,
INDICATORS:20,#ignore,skip,,,,,,,,,,,,,,
INDICATORS:21,#ignore,skip,,,,,,,,,,,,,,
INDICATORS:22,#ignore,skip,,,,,,,,,,,,,,
INDICATORS:23,#ignore,skip,,,,,,,,,,,,,,
INDICATORS:24,#ignore,skip,,,,,,,,,,,,,,
INDICATORS:25,#ignore,skip,,,,,,,,,,,,,,
INDICATORS:26,#ignore,skip,,,,,,,,,,,,,,
