key,p1,v1,p2,v2,p3,v3,p4,v4
S.No,observationAbout,country/USA,observationDate,2025,,,,
Value,value,{Number},,,,,,
Longitude,longitude,{Number},,,,,,
Latitude,latitude,{Number},,,,,,
Reference_Time,referenceTime,{referenceTime},#Eval,"referenceTime=format_date(Data, '%Y-%m-%dT%H:%M:%SZ')",,,,
Valid_Time,validTime,{validTime},#Eval,"validTime=format_date(Data, '%Y-%m-%dT%H:%M:%SZ')",,,,
,,,,,,,,
PRMSL,measuredProperty,pressure,populationType,Place,height,MeanSeaLevel,,
CLMR,measuredProperty,mixingRatio,populationType,Place,measurementQualifier,Cloud,,
ICMR,measuredProperty,mixingRatio,populationType,Place,measurementQualifier,Ice,,
RWMR,measuredProperty,mixingRatio,populationType,Place,measurementQualifier,Rainwater,,
SNMR,measuredProperty,mixingRatio,populationType,Place,measurementQualifier,Snow,,
GRLE,measuredProperty,count,populationType,Graupel,statType,measuredValue,,
REFD,measuredProperty,reflectivity,populationType,Place,statType,measuredValue,unit,dbZ
REFC,measuredProperty,compositeReflectivity,populationType,Place,statType,maxValue,unit,dbZ
VIS,measuredProperty,visibility,populationType,Place,statType,measuredValue,unit,Meter
UGRD,measuredProperty,windSpeed,populationType,Place,statType,measuredValue,windComponent,UComponent
VGRD,measuredProperty,windSpeed,populationType,Place,statType,measuredValue,windComponent,VComponent
VRATE,measuredProperty,ventilationRate,populationType,Place,unit,SquareMeterPerSecond,,
GUST,measuredProperty,windSpeed,populationType,Place,statType,maxValue,,
HGT,measuredProperty,geopotentialHeight,populationType,Place,statType,measuredValue,unit,Meter
TMP,measuredProperty,temperature,populationType,Place,statType,measuredValue,,
RH,measuredProperty,humidity,populationType,Place,statType,measuredValue,humidityParameter,RelativeHumidity
SPFH,measuredProperty,humidity,populationType,Place,statType,measuredValue,humidityParameter,SpecificHumidity
VVEL,measuredProperty,velocity,populationType,Place,statType,measuredValue,measurementQualifier,PressureVerticalVelocity
DZDT,measuredProperty,velocity,populationType,Place,statType,measuredValue,measurementQualifier,GeometricVerticalVelocity
ABSV,measuredProperty,absoluteVorticity,populationType,Place,statType,measuredValue,unit,1/s
O3MR,measuredProperty,mixingRatio,populationType,Atmosphere,statType,measuredValue,measurementQualifier,Ozone
TCDC,measuredProperty,cloudCover,populationType,Place,statType,measuredValue,,
HINDEX,measuredProperty,hainesIndex,populationType,Place,statType,measuredValue,,
MSLET,measuredProperty,pressure,populationType,Atmosphere,statType,measuredValue,measurementQualifier,MSLPEtaReduction
PRES,measuredProperty,pressure,populationType,Atmosphere,statType,measuredValue,,
TSOIL,measuredProperty,temperature,populationType,Soil,statType,measuredValue,,
SOILW,measuredProperty,volumetricSoilMoisture,populationType,Soil,statType,measuredValue,,
SOILL,measuredProperty,liquidWaterContent,populationType,Soil,statType,measuredValue,,
CNWAT,measuredProperty,cloudWaterContent,populationType,Atmosphere,statType,measuredValue,,
WEASD,measuredProperty,snowWaterEquivalent,populationType,Place,statType,measuredValue,,
SNOD,measuredProperty,depth,populationType,Snow,statType,measuredValue,,
ICETK,measuredProperty,thickness,populationType,Ice,statType,measuredValue,,
DPT,measuredProperty,dewPointTemperature,populationType,Atmosphere,statType,measuredValue,,
APTMP,measuredProperty,apparentTemperature,populationType,Place,statType,measuredValue,,
ICEG,measuredProperty,count,populationType,Ice,statType,growthRate,,
CPOFP,measuredProperty,frozenPrecipitation,populationType,Place,statType,measuredValue,,
PRATE,measuredProperty,precipitationRate,populationType,Place,statType,measuredValue,,
CSNOW,measuredProperty,occurrence,populationType,Place,statType,measuredValue,precipitationType,Snow
CICEP,measuredProperty,occurrence,populationType,Place,statType,measuredValue,precipitationType,IcePellets
CFRZR,measuredProperty,occurrence,populationType,Place,statType,measuredValue,precipitationType,FreezingRain
CRAIN,measuredProperty,occurrence,populationType,Place,statType,measuredValue,precipitationType,Rain
SFCR,measuredProperty,surfaceRoughness,populationType,Place,statType,measuredValue,,
FRICV,measuredProperty,frictionalVelocity,populationType,Place,statType,measuredValue,,
VEG,measuredProperty,area,populationType,Place,statType,measuredValue,landCoverType,Vegetation
SOTYP,measuredProperty,soilType,populationType,Soil,statType,measuredValue,,
WILT,measuredProperty,wiltingPoint,populationType,Soil,statType,measuredValue,,
FLDCP,measuredProperty,fieldCapacity,populationType,Soil,statType,measuredValue,,
