ApplNo	ProductNo	MarketingStatusID	TECode
017634	003	1	AP
017634	004	1	AP
017635	001	1	AT
017641	001	1	AP
017643	001	1	AP
017648	001	1	AP
017648	002	1	AP
017648	005	1	AP
017651	006	1	AP
017656	001	1	AT
017681	001	1	AB
017765	001	1	AB
017783	001	1	AB
017783	002	1	AB
017794	001	1	AB
017794	002	1	AB
017794	003	1	AB
017799	001	1	AP
017806	001	1	AP
017812	001	1	AB
017812	002	1	AB
017812	003	1	AB
017830	001	1	AB
017849	001	1	AB
017849	002	1	AB
017854	001	1	AB
017854	002	1	AB
017865	001	1	AT
017866	001	1	AT
017867	001	1	AT
017871	001	1	AB
017874	001	1	AB
017875	001	1	AB
017876	001	1	AB
017881	001	1	
017892	001	1	AB
017892	003	1	AB
017922	003	1	AB
017955	001	1	AB
017962	001	1	AB
017962	002	1	AB
017963	001	1	AB
017963	002	1	AB
017989	001	1	AP
018008	005	1	AP
018008	006	1	AP
018008	007	1	AP
018008	008	1	AP
018008	009	1	AP
018008	010	1	AP
018013	001	1	AB
018013	002	1	AB
018013	003	1	AB
018013	004	1	AB
018016	001	1	AP
018027	001	1	AB
018037	001	1	AP
018037	002	1	AP
018037	003	1	AP
018037	004	1	AP
018037	005	1	AP
018037	006	1	AP
018037	007	1	AP
018037	008	1	AP
018037	009	1	AP
018044	001	1	AB
018044	002	1	AB
018053	001	1	AP
018053	002	1	AP
018053	003	1	AP
018057	004	1	AP
018058	001	1	BS
018063	001	1	AB
018063	002	1	AB
018063	005	1	AB
018080	001	1	AP
018086	001	1	AT
018086	002	1	AT1
018090	001	1	AP
018110	002	1	AP
018132	001	1	AP
018132	002	1	AP
018132	003	1	AP
018132	004	1	AP
018140	001	1	AP
018140	002	1	AP
018147	002	1	AB
018147	003	1	AB
018150	001	1	AP
018156	001	1	AT
018161	001	1	AT
018163	001	1	AB
018163	002	1	AB
018163	003	1	AB
018163	004	1	AB
018164	003	1	AB
018200	001	1	AB
018225	001	1	AB
018225	002	1	AB
018225	003	1	AB
018227	001	1	AP
018233	001	1	AP
018240	001	1	AB
018240	002	1	AB
018240	004	1	AB
018243	001	1	AP
018243	002	1	AP
018248	001	1	AP
018248	002	1	AP
018251	001	1	AP
018261	001	1	AP
018261	002	1	AP
018264	001	1	AP
018276	001	1	AB
018276	002	1	AB
018276	003	1	AB
018276	004	1	AB
018279	001	1	AB3
018279	002	1	BC
018279	003	1	AB3
018299	001	1	AT
018303	001	1	AB
018303	002	1	AB
018304	001	1	AP
018304	002	1	AP
018304	003	1	AP
018304	004	1	AP
018304	005	1	AP
018313	001	1	AT
018314	001	1	AT
018315	001	1	AT
018333	001	1	AB
018336	001	1	AT
018362	002	1	AP
018362	003	1	AP
018362	005	1	AP
018362	009	1	AP
018362	010	1	AP
018401	001	1	AP
018421	001	1	AA
018422	003	1	AB
018449	001	1	AP
018461	002	1	AP
018461	003	1	AP
018461	004	1	AP
018482	001	1	AB
018484	001	1	AP
018487	001	1	AB
018487	002	1	AB
018494	001	1	AT
018495	001	1	AT
018508	001	1	AT
018514	001	1	AB1
018523	001	1	AT
018553	001	1	AB
018553	002	1	AB
018553	003	1	AB
018553	004	1	AB
018558	001	1	AB
018561	001	1	AP
018563	001	1	AP
018565	001	1	AP
018565	002	1	AP
018565	003	1	AP
018565	004	1	AP
018569	001	1	AB
018569	002	1	AB
018569	005	1	AB
018578	001	1	AB
018594	001	1	AB
018602	001	1	AB
018602	002	1	AB
018602	003	1	AB
018602	004	1	AB
018604	001	1	AB
018608	001	1	AT
018609	001	1	AP
018609	002	1	AP
018615	001	1	AB
018629	001	1	AP
018629	002	1	AP
018629	003	1	AP
018629	004	1	AP
018629	005	1	AP
018629	006	1	AP
018629	007	1	AP
018629	008	1	AP
018632	001	1	AP
018632	002	1	AP
018642	001	1	AB
018647	001	1	AB
018647	002	1	AB
018651	001	1	AB
018651	002	1	AB
018651	003	1	AB
018652	001	1	AB
018657	001	1	AP
018659	001	1	AB
018659	002	1	AB
018667	001	1	AP
018671	001	1	AA
018671	002	1	AA
018679	001	1	AB
018681	001	1	AT
018692	001	1	AP
018701	001	1	AO
018701	002	1	AO
018705	002	1	AB
018714	001	1	AB
018716	001	1	AB
018716	002	1	AB
018716	003	1	AB
018723	001	1	AB
018723	002	1	AB
018723	003	1	AB
018735	002	1	AP
018735	003	1	AP
018741	001	1	AB
018748	001	1	AB
018751	001	1	AB
018760	001	1	AB
018760	002	1	AB
018800	001	1	AP
018801	002	1	AP
018802	001	1	AP
018803	001	1	AP
018810	001	1	AB
018823	001	1	AB
018823	002	1	AB
018826	001	1	AP
018826	002	1	AP
018826	003	1	AP
018827	001	1	AB
018830	001	1	AB
018830	003	1	AB
018830	004	1	AB
018832	002	1	AB
018841	004	1	AB
018849	001	1	AT
018859	001	1	AN
018861	001	1	AB
018865	001	1	AB
018866	001	1	AB
018877	001	1	AB
018878	001	1	AP
018883	001	1	AT
018883	002	1	AT
018883	003	1	AT
018883	004	1	AT
018883	005	1	AT
018883	006	1	AT
018888	001	1	AB
018890	002	1	AP
018891	001	1	AB
018891	002	1	AB
018891	003	1	AB
018896	001	1	AP
018900	001	1	AP
018902	001	1	AP
018916	010	1	AP
018916	011	1	AP
018921	001	1	AT
018925	001	1	AP
018925	002	1	AP
018927	001	1	AB
018936	001	1	AB1
018936	003	1	AB
018936	006	1	AB1
018938	001	1	AP
018948	001	1	AB
018963	001	1	AP
018965	001	1	AB
018977	002	1	AB
018983	012	1	AA
018998	001	1	AB
018998	002	1	AB
018998	003	1	AB
018998	005	1	AB
019011	001	1	AA
019022	001	1	AP
019022	002	1	AP
019028	001	1	AT
019034	003	1	AP
019034	004	1	AP
019039	001	1	AP
019044	001	1	AP
019048	001	1	AB
019049	001	1	AB
019050	001	1	AP
019071	001	1	AB
019071	002	1	AB
019071	003	1	AB
019090	001	1	AP
019099	002	1	AP
019099	003	1	AP
019099	004	1	AP
019101	001	1	AP
