Reporting Area,Total Resident Population,Anthrax,Arboviral diseases,Arboviral diseases,Arboviral diseases,Arboviral diseases,Arboviral diseases
Reporting Area,Total Resident Population,Anthrax,Chikungunya virus disease,Eastern equine encephalitis virus disease,Eastern equine encephalitis virus disease,Jamestown Canyon virus disease,Jamestown Canyon virus disease
Reporting Area,Total Resident Population,Anthrax,Chikungunya virus disease,Neuroinvasive,Non-neuroinvasive,Neuroinvasive,Non-neuroinvasive
United States,327167434,1,117,6,—,25,16
New England,14853290,—,4,—,—,3,—
Connecticut,3572665,—,—,—,—,1,—
Maine,1338404,—,1,—,—,1,—
Massachusetts,6902149,—,2,—,—,1,—
New Hampshire,1356458,—,1,—,—,—,—
Rhode Island,1057315,—,—,—,—,—,—
Vermont,626299,—,—,—,—,—,—
Middle Atlantic,41257789,1,31,1,—,—,—
New Jersey,8908520,—,16,—,—,—,—
New York (excluding New York City),11143461,1,8,—,—,—,—
New York City,8398748,—,6,—,—,—,—
Pennsylvania,12807060,—,1,1,—,—,—
East North Central,46931883,—,14,1,—,14,11
Illinois,12741080,—,10,—,—,—,—
Indiana,6691878,—,—,—,—,—,—
Michigan,9995915,—,—,1,—,1,1
Ohio,11689442,—,3,—,—,—,—
Wisconsin,5813568,—,1,—,—,13,10
West North Central,21376861,—,9,—,—,7,4
Iowa,3156145,—,—,—,—,—,—
Kansas,2911505,—,—,—,—,—,—
Minnesota,5611179,—,7,—,—,7,4
Missouri,6126452,—,2,—,—,—,—
Nebraska,1929268,—,—,—,—,—,—
North Dakota,760077,—,—,—,—,—,—
South Dakota,882235,—,—,—,—,—,—
South Atlantic,65322408,—,17,4,—,—,1
Delaware,967171,—,1,—,—,—,—
District of Columbia,702455,—,—,—,—,—,—
Florida,21299325,—,6,3,—,—,—
Georgia,10519475,—,1,1,—,—,1
Maryland,6042718,—,2,—,—,—,—
North Carolina,10383620,—,3,—,—,—,—
South Carolina,5084127,—,1,—,—,—,—
Virginia,8517685,—,3,—,—,—,—
West Virginia,1805832,—,—,—,—,—,—
East South Central,19112813,—,1,—,—,1,—
Alabama,4887871,—,—,—,—,—,—
Kentucky,4468402,—,1,—,—,—,—
Mississippi,2986530,—,—,—,—,—,—
Tennessee,6770010,—,—,—,—,1,—
West South Central,40318727,—,8,—,—,—,—
Arkansas,3013825,—,—,—,—,—,—
Louisiana,4659978,—,1,—,—,—,—
Oklahoma,3943079,—,—,—,—,—,—
Texas,28701845,—,7,—,—,—,—
Mountain,24552385,—,2,—,—,—,—
Arizona,7171646,—,—,—,—,—,—
Colorado,5695564,—,—,—,—,—,—
Idaho,1754208,—,—,—,—,—,—
Montana,1062305,—,—,—,—,—,—
Nevada,3034392,—,—,—,—,—,—
New Mexico,2095428,—,1,—,—,—,—
Utah,3161105,—,1,—,—,—,—
Wyoming,577737,—,—,—,—,—,—
Pacific,53441278,—,31,—,—,—,—
Alaska,737438,—,—,—,—,—,—
California,39557045,—,27,—,—,—,—
Hawaii,1420491,—,1,—,—,—,—
Oregon,4190713,—,1,—,—,—,—
Washington,7535591,—,2,—,—,—,—
Territories,3672195,—,8,—,—,—,—
American Samoa,50826,—,—,—,—,—,—
Commonwealth of Northern Mariana Islands,51994,—,—,—,—,—,—
Guam,167772,—,—,—,—,—,—
Puerto Rico,3294626,—,8,—,—,—,—
U.S. Virgin Islands,106977,—,—,—,—,—,—
