Reporting Area,Brucellosis,Campylobacteriosis,Chancroid,Chlamydia trachomatis  infection,Cholera,Coccidioidomycosis *,Cryptosporidiosis,Cryptosporidiosis,Cryptosporidiosis
Reporting Area,Brucellosis,Campylobacteriosis,Chancroid,Chlamydia trachomatis  infection,Cholera,Coccidioidomycosis *,Total,Confirmed,Probable
United States,138,70200,3,1758668,14,15611,12533,8980,3553
New England,1,3415,—,62470,—,5,626,447,179
Connecticut,—,748,—,16732,—,N,81,60,21
Maine,—,247,—,4345,—,N,60,43,17
Massachusetts,—,1549,—,30460,—,N,242,222,20
New Hampshire,1,300,—,3734,—,1,86,33,53
Rhode Island,—,326,—,5487,—,4,90,56,34
Vermont,—,245,—,1712,—,N,67,33,34
Middle Atlantic,6,9438,—,215425,5,—,1192,948,244
New Jersey,—,1774,—,36514,—,N,164,162,2
New York (excluding New York City),2,2293,—,47236,—,N,323,283,40
New York City,2,2654,—,72335,3,N,248,248,—
Pennsylvania,2,2717,—,59340,2,N,457,255,202
East North Central,12,9117,—,254090,1,91,2628,1868,760
Illinois,3,2438,—,77325,—,N,425,362,63
Indiana,—,1114,—,34926,—,7,324,186,138
Michigan,4,1687,—,50592,1,38,378,301,77
Ohio,2,2178,—,63220,—,21,639,419,220
Wisconsin,3,1700,—,28027,—,25,862,600,262
West North Central,8,6861,—,103193,—,147,2025,1484,541
Iowa,1,1662,—,14682,—,N,663,453,210
Kansas,1,791,—,14231,—,6,95,73,22
Minnesota,2,1565,—,23569,—,103,530,437,93
Missouri,3,1448,—,34728,—,26,351,265,86
Nebraska,—,667,—,8026,—,7,170,157,13
North Dakota,1,199,—,3525,—,2,39,28,11
South Dakota,—,529,—,4432,—,3,177,71,106
South Atlantic,28,12250,1,368255,—,4,1852,1195,657
Delaware,1,212,—,6038,—,—,31,28,3
District of Columbia,2,155,—,9014,—,N,36,34,2
Florida,13,4729,—,104758,—,N,586,250,336
Georgia,1,1415,—,65936,—,N,350,350,—
Maryland,2,938,—,35482,—,4,85,67,18
North Carolina,6,2147,—,66553,—,N,263,225,38
South Carolina,—,547,1,33910,—,N,121,107,14
Virginia,3,1665,—,42965,—,N,309,77,232
West Virginia,—,442,—,3599,—,N,71,57,14
East South Central,5,3194,—,108175,—,—,679,465,214
Alabama,1,783,—,28437,—,N,152,81,71
Kentucky,4,877,—,19440,—,—,178,102,76
Mississippi,—,612,—,22086,—,N,98,97,1
Tennessee,—,922,—,38212,—,N,251,185,66
West South Central,26,7512,1,222440,3,25,1384,1034,350
Arkansas,2,561,—,17663,—,5,82,82,—
Louisiana,4,771,—,36293,3,20,155,100,55
Oklahoma,2,1156,—,21974,—,N,164,144,20
Texas,18,5024,1,146510,—,N,983,708,275
Mountain,7,5165,—,125638,2,7785,965,723,242
Arizona,4,1269,—,40807,2,7478,203,165,38
Colorado,3,1287,—,29124,—,N,215,177,38
Idaho,—,533,—,6572,—,N,129,115,14
Montana,—,433,—,4917,—,28,81,80,1
Nevada,—,202,—,17508,—,166,38,16,22
New Mexico,—,618,—,14000,—,56,89,87,2
Utah,—,559,—,10541,—,54,193,66,127
Wyoming,—,264,—,2169,—,3,17,17,—
Pacific,45,13248,1,298982,3,7554,1182,816,366
Alaska,2,132,—,6159,—,N,17,11,6
California,36,9248,1,231415,3,7546,663,578,85
Hawaii,2,822,—,7735,—,N,7,6,1
Oregon,4,969,—,19224,—,8,297,61,236
Washington,1,2077,—,34449,—,N,198,160,38
Territories,1,49,—,7187,—,—,—,—,—
American Samoa,—,—,—,55,—,N,N,N,N
Commonwealth of Northern Mariana Islands,—,—,—,246,—,—,—,—,—
Guam,1,11,—,944,—,—,—,—,—
Puerto Rico,—,38,—,5942,—,N,—,—,—
U.S. Virgin Islands,—,—,—,—,—,—,—,—,—
