Reporting Area,Total Resident Population,"US Resident Population, by Age Subgroup","US Resident Population, by Age Subgroup","US Resident Population, by Age Subgroup","US Resident Population, by Age Subgroup","US Resident Population, by Age Subgroup",Live Births in Year 2019††
Reporting Area,Total Resident Population,Population ( Age <1 year)*,Population (Age <24 months)  †,Population (Age <36 months)  §,Population ( Age <5 years)  ¶,Population (Age <18 years)**,Unnamed: 7_level_1
United States,328239523,3783052,7612651,11534695,19576683,73039150,3747540
New England,14845063,145600,293082,443012,749794,2902835,142529
Connecticut,3565287,34625,70167,106513,181710,727440,34258
Maine,1344212,12035,24390,37101,63537,248842,11779
Massachusetts,6892503,70791,141610,212910,357362,1352800,69117
New Hampshire,1359711,12052,24346,37205,63621,255253,11839
Rhode Island,1059361,10518,21432,32224,54521,204495,10175
Vermont,623989,5579,11137,17059,29043,114005,5361
Middle Atlantic,41137740,458101,921084,1389118,2339615,8601490,455354
New Jersey,8882190,99459,201051,304425,514690,1938578,99585
New York (excluding New York City),11116744,115307,233718,354272,603283,2311536,116136
New York City,8336817,108623,214201,318754,523718,1716763,105403
Pennsylvania,12801989,134712,272114,411667,697924,2634613,134230
East North Central,46902431,529950,1069584,1620889,2753040,10374398,526604
Illinois,12671821,143723,289659,439163,746934,2817875,140128
Indiana,6732219,80356,162694,245929,418340,1567974,80859
Michigan,9986857,109018,219873,333798,566442,2143933,107886
Ohio,11689100,133487,269734,407786,690828,2578019,134461
Wisconsin,5822434,63366,127624,194213,330496,1266597,63270
West North Central,21426573,259226,522104,793303,1346817,4974179,257856
Iowa,3155070,37540,75836,115022,195636,726841,37649
Kansas,2913314,35325,71362,108683,185331,700250,35395
Minnesota,5639632,67629,135987,206911,351622,1303157,66027
Missouri,6137428,71012,143146,217232,368080,1370585,72127
Nebraska,1934408,25252,50631,76974,130880,476074,24755
North Dakota,762062,10483,21030,32084,54101,180171,10454
South Dakota,884659,11985,24112,36397,61167,217101,11449
South Atlantic,65784817,729332,1469560,2222538,3759068,14032550,727520
Delaware,973764,10618,21289,32350,54719,203572,10562
District of Columbia,705749,9552,18764,27800,45368,128168,9079
Florida,21477737,221463,445834,674612,1139742,4229929,220002
Georgia,10617423,127141,255907,387551,656566,2503881,126371
Maryland,6045680,69926,141584,213893,361937,1334687,70178
North Carolina,10488084,118891,239468,361132,609770,2300715,118725
South Carolina,5148714,56122,113292,171715,292464,1111183,57038
Virginia,8535519,97864,197689,299132,505477,1860848,97429
West Virginia,1792147,17755,35733,54353,93025,359567,18136
East South Central,19176181,225348,455032,686905,1159050,4299811,228770
Alabama,4903185,56901,115191,174264,294357,1088306,58615
Kentucky,4467673,53154,107266,161730,272610,1002871,53069
Mississippi,2976149,35518,71756,108721,183478,698583,36636
Tennessee,6829174,79775,160819,242190,408605,1510051,80450
West South Central,40619450,520613,1049868,1599275,2736357,10139833,522247
Arkansas,3017804,36355,73361,110933,188464,700155,36564
Louisiana,4648794,58010,116986,178015,301469,1087630,58941
Oklahoma,3956971,48442,97927,149364,255533,952238,49143
Texas,28995881,377806,761594,1160963,1990891,7399810,377599
Mountain,24854998,294108,589803,894954,1528640,5809939,286809
Arizona,7278717,81929,164994,250720,429788,1640236,79375
Colorado,5758736,64561,129428,195726,332201,1259519,62869
Idaho,1787065,22106,44473,67530,116200,448201,22063
Montana,1068778,11659,23199,35545,61156,228588,11079
Nevada,3080156,35701,71555,108839,185575,692639,35072
New Mexico,2096829,23014,46353,70297,120986,475838,22960
Utah,3205958,48566,96527,145948,247803,931184,46826
Wyoming,578759,6572,13274,20349,34931,133734,6565
Pacific,53492270,620774,1242534,1884701,3204302,11904115,599851
Alaska,731545,9978,19990,30176,51080,179983,9822
California,39512223,462589,925302,1402624,2383716,8894641,446479
Hawaii,1415872,16800,33517,50561,85219,299868,16797
Oregon,4217737,43312,87338,132800,227811,866562,41858
Washington,7614893,88095,176387,268540,456476,1663061,84895
U.S. Territories,3672195,31808,63546,95354,162350,706775,25155
American Samoa,50826,917,1843,2780,4650,17418,—
Commonwealth of Northern Mariana Islands,51994,763,1517,2268,3755,16004,566
Guam,167772,3181,6362,9552,15921,54170,3165
Puerto Rico,3294626,25634,51171,76736,131230,594123,21424
U.S. Virgin Islands,106977,1313,2653,4018,6794,25060,—
