Reporting Area,Total Resident Population,Anthrax,Arboviral diseases,Arboviral diseases,Arboviral diseases,Arboviral diseases,Arboviral diseases
Reporting Area,Total Resident Population,Anthrax,Chikungunya virus disease,Eastern equine encephalitis virus disease,Eastern equine encephalitis virus disease,Jamestown Canyon virus disease,Jamestown Canyon virus disease
Reporting Area,Total Resident Population,Anthrax,Chikungunya virus disease,Neuroinvasive,Non-neuroinvasive,Neuroinvasive,Non-neuroinvasive
United States,325719178,—,156,5,—,58,17
New England,14810001,—,18,—,—,5,2
Connecticut,3588184,—,6,—,—,—,—
Maine,1335907,—,1,—,—,1,1
Massachusetts,6859819,—,11,—,—,2,—
New Hampshire,1342795,—,—,—,—,2,1
Rhode Island,1059639,—,—,—,—,—,—
Vermont,623657,—,—,—,—,—,—
Middle Atlantic,41660580,—,33,—,—,—,—
New Jersey,9005644,—,12,—,—,—,—
New York (excluding New York City),11226701,—,6,—,—,—,—
New York City,8622698,—,14,—,—,—,—
Pennsylvania,12805537,—,1,—,—,—,—
East North Central,46885244,—,17,1,—,37,7
Illinois,12802023,—,4,—,—,—,—
Indiana,6666818,—,—,—,—,—,—
Michigan,9962311,—,4,—,—,—,—
Ohio,11658609,—,4,—,—,1,—
Wisconsin,5795483,—,5,1,—,36,7
West North Central,21294107,—,9,—,—,14,8
Iowa,3145711,—,1,—,—,—,—
Kansas,2913123,—,1,—,—,—,—
Minnesota,5576606,—,4,—,—,14,8
Missouri,6113532,—,—,—,—,—,—
Nebraska,1920076,—,3,—,—,—,—
North Dakota,755393,—,—,—,—,—,—
South Dakota,869666,—,—,—,—,—,—
South Atlantic,64705532,—,17,4,—,1,—
Delaware,961939,—,1,—,—,—,—
District of Columbia,693972,—,—,—,—,—,—
Florida,20984400,—,4,1,—,—,—
Georgia,10429379,—,2,2,—,—,—
Maryland,6052177,—,2,1,—,—,—
North Carolina,10273419,—,3,—,—,1,—
South Carolina,5024369,—,—,—,—,—,—
Virginia,8470020,—,5,—,—,—,—
West Virginia,1815857,—,—,—,—,—,—
East South Central,19029020,—,1,—,—,—,—
Alabama,4874747,—,1,—,—,—,—
Kentucky,4454189,—,—,—,—,—,—
Mississippi,2984100,—,—,—,—,—,—
Tennessee,6715984,—,—,—,—,—,—
West South Central,39924072,—,18,—,—,1,—
Arkansas,3004279,—,—,—,—,—,—
Louisiana,4684333,—,3,—,—,1,—
Oklahoma,3930864,—,—,—,—,—,—
Texas,28304596,—,15,—,—,—,—
Mountain,24158117,—,2,—,—,—,—
Arizona,7016270,—,—,—,—,—,—
Colorado,5607154,—,2,—,—,—,—
Idaho,1716943,—,—,—,—,—,—
Montana,1050493,—,—,—,—,—,—
Nevada,2998039,—,—,—,—,—,—
New Mexico,2088070,—,—,—,—,—,—
Utah,3101833,—,—,—,—,—,—
Wyoming,579315,—,—,—,—,—,—
Pacific,53252505,—,41,—,—,—,—
Alaska,739795,—,2,—,—,—,—
California,39536653,—,32,—,—,—,—
Hawaii,1427538,—,4,—,—,—,—
Oregon,4142776,—,—,—,—,—,—
Washington,7405743,—,3,—,—,—,—
Territories,3730220,—,39,—,—,—,—
American Samoa,51504,—,—,—,—,—,—
Commonwealth of Northern Mariana Islands,52263,—,—,—,—,—,—
Guam,167358,—,—,—,—,—,—
Puerto Rico,3351827,—,39,—,—,—,—
U.S. Virgin Islands,107268,—,—,—,—,—,—
