blockgroup_FIPS,total_distribution_power_line_length,cost_per_household_for_undergrounding_fire_prone_lines
geoId/060310016011,579706.5530500264,0.0
geoId/060310017015,198730.13414949327,0.0
geoId/060014336003,4952.073200985314,0.0
geoId/060014359003,8561.186835548002,0.0
geoId/060014359001,7299.437234445013,0.0
geoId/060014336002,7648.552281057126,0.0
geoId/060014336004,4984.979558639249,0.0
geoId/060014334005,2314.607784974948,0.0
geoId/060014335003,5257.839438444815,0.0
geoId/060014335001,3596.2589379353717,0.0
geoId/060014334006,2063.9572616523387,0.0
geoId/060014335004,3297.9545978836445,0.0
geoId/060014334004,13302.017245340596,0.0
geoId/060014358004,3521.2122326036824,0.0
geoId/060014335002,2722.6126272861075,0.0
geoId/060014336001,3714.1930445106877,0.0
geoId/060014073001,7945.503625875413,0.0
geoId/060014088004,5944.517559108302,0.0
geoId/060014074001,2975.34884524791,0.0
geoId/060014075002,2580.278474439176,0.0
geoId/060014073002,28755.079706518583,0.0
geoId/060014085001,2527.234567033909,0.0
geoId/060014086001,5813.853085128645,0.0
geoId/060014087004,3176.5693154545434,0.0
geoId/060014087005,3175.6813987968562,0.0
geoId/060014087006,2106.91058656867,0.0
geoId/060014087002,2865.406582371891,0.0
geoId/060014086002,3521.8824193777737,0.0
geoId/060014086003,2368.5380804510355,0.0
geoId/061150411001,107309.72409601416,18861.18729597673
geoId/060630002022,91945.26446767755,92999.08165804102
geoId/060070024005,91098.03416031408,49059.62352128517
geoId/060290062021,570248.234455335,0.0
geoId/060290010004,56023.52155481175,0.0
geoId/060290010003,38059.857485464425,0.0
geoId/060750615002,18922.98913121143,0.0
geoId/060750178012,5178.382262214296,0.0
geoId/060750180001,8861.98071424475,0.0
geoId/060750615005,6627.2767754470715,0.0
geoId/060750607003,2817.6725360890373,0.0
geoId/060750607001,44323.59133016129,0.0
geoId/060750615003,12185.06585855906,0.0
geoId/060750615001,39771.56631861066,0.0
geoId/060750615004,2872.132879219939,0.0
geoId/060190018003,74494.70163379403,0.0
geoId/060190076002,317064.5479278716,0.0
geoId/060190076001,118444.64163197773,0.0
geoId/060190076003,106957.44321234894,0.0
geoId/060190076004,81596.5495603584,0.0
geoId/060190018004,22903.757091920656,0.0
geoId/060190019003,72883.90567828764,0.0
geoId/060855071002,8410.759105728102,0.0
geoId/060855070013,7320.4624688526565,0.0
geoId/060855071001,8537.573054263776,0.0
geoId/060855070011,14121.630392993868,120.1162004431451
geoId/060855068011,13320.929582910027,0.0
geoId/060855070012,35072.16147334821,22196.784954180734
geoId/060530122002,9240.405987994764,0.0
geoId/060530127002,19986.29131237808,0.0
geoId/060530125022,9484.612567458238,0.0
geoId/060530133002,8468.015962303072,0.0
geoId/060530130002,5925.108697392912,0.0
geoId/060530133003,3186.9505193580267,0.0
geoId/060530126001,14198.879754588896,47461.13380583205
geoId/060530124011,4861.399358817973,0.0
geoId/060530133004,5218.262661266806,0.0
geoId/060530133001,16963.062396500423,0.0
geoId/060530125021,4615.006501343483,0.0
geoId/060530130003,2133.7813130415534,0.0
geoId/060530122001,2438.079393821685,0.0
geoId/060530123021,7681.032865745777,0.0
geoId/060530127001,1407.0719899033525,0.0
geoId/060530125023,4575.198645003106,0.0
geoId/060816080231,5425.762988872627,0.0
geoId/060816086002,19200.85485047745,0.0
geoId/060816080232,7769.47245946153,0.0
geoId/060816080131,10197.700617191978,0.0
geoId/060816080132,4089.942937582647,0.0
geoId/060816080133,3661.380747725788,0.0
geoId/060816084002,4309.304198590912,0.0
geoId/060816080021,7483.805983612832,0.0
geoId/060816080043,6196.152717126954,0.0
geoId/060816080042,8450.817580848576,0.0
geoId/060816080022,3906.803399130691,0.0
geoId/060816080023,2550.8552972548127,0.0
geoId/060816103042,19082.34190279691,0.0
geoId/060816103043,18544.08744482617,0.0
geoId/060816084003,3990.078116066068,0.0
geoId/060190074003,14278.114710236916,0.0
geoId/060190074001,91407.3831941152,0.0
geoId/060190074002,175470.58388053204,0.0
geoId/060310002001,131118.76700565827,0.0
geoId/060610206013,27799.161463307446,0.0
geoId/060610206012,72549.78646338789,37073.87671344097
geoId/060610206011,17576.93237829461,0.0
geoId/060190083023,323094.7361469401,0.0
geoId/060190079021,315691.3509072951,80095.9311364061
geoId/060190082006,343668.64355219685,0.0
geoId/060190079022,365042.38765275344,0.0
geoId/060610216041,92805.71880949693,111909.86506972298
geoId/060610215011,42849.541001975536,86934.75216050439
geoId/060610205011,38857.61390024443,16870.184808835802
geoId/060610213041,174444.35707747686,44908.09958755996
geoId/060610205013,50698.18148247552,44401.292540973445
geoId/060610216042,106391.70931939578,109802.52899611593
geoId/060610215013,47714.48455197798,74572.22879142656
geoId/060610213043,77778.70144229718,1239.8539035757394
geoId/060552015002,103067.69190422744,5120.8219131224105
geoId/060552014032,67210.61838115208,413532.33911146893
geoId/060552017001,91768.6266725943,176917.92594263545
geoId/060552017006,29531.77182803742,41961.88999695182
geoId/060552016024,10379.483473028406,0.0
geoId/060552016012,20176.85285215404,11874.90772727497
geoId/060552018001,156001.99722512328,112661.12041308841
geoId/060552014011,132244.2904685114,153255.8439596313
