Year,geo_ID,Measurement_Method,SV,Observation
1978,country/USA,dcAggregate/CensusPEPSurvey_PartialAggregate,Count_Person_Female,114160965
1979,country/USA,dcAggregate/CensusPEPSurvey_PartialAggregate,Count_Person_Female,115471526
1990,country/USA,dcAggregate/CensusPEPSurvey_PartialAggregate,Count_Person_Female,127969673
1991,country/USA,dcAggregate/CensusPEPSurvey_PartialAggregate,Count_Person_Female,129623972
1992,country/USA,dcAggregate/CensusPEPSurvey_PartialAggregate,Count_Person_Female,131314217
1993,country/USA,dcAggregate/CensusPEPSurvey_PartialAggregate,Count_Person_Female,132989513
1994,country/USA,dcAggregate/CensusPEPSurvey_PartialAggregate,Count_Person_Female,134566414
1995,country/USA,dcAggregate/CensusPEPSurvey_PartialAggregate,Count_Person_Female,136097660
1996,country/USA,dcAggregate/CensusPEPSurvey_PartialAggregate,Count_Person_Female,137621440
1997,country/USA,dcAggregate/CensusPEPSurvey_PartialAggregate,Count_Person_Female,139209099
1998,country/USA,dcAggregate/CensusPEPSurvey_PartialAggregate,Count_Person_Female,140759913
1999,country/USA,dcAggregate/CensusPEPSurvey_PartialAggregate,Count_Person_Female,142272592
2000,country/USA,dcAggregate/CensusPEPSurvey_PartialAggregate,Count_Person_Female,143719004
2001,country/USA,dcAggregate/CensusPEPSurvey_PartialAggregate,Count_Person_Female,145077463
2002,country/USA,dcAggregate/CensusPEPSurvey_PartialAggregate,Count_Person_Female,146394634
2003,country/USA,dcAggregate/CensusPEPSurvey_PartialAggregate,Count_Person_Female,147679036
2004,country/USA,dcAggregate/CensusPEPSurvey_PartialAggregate,Count_Person_Female,148977286
2005,country/USA,dcAggregate/CensusPEPSurvey_PartialAggregate,Count_Person_Female,150319521
2006,country/USA,dcAggregate/CensusPEPSurvey_PartialAggregate,Count_Person_Female,151732647
2007,country/USA,dcAggregate/CensusPEPSurvey_PartialAggregate,Count_Person_Female,153166353
2008,country/USA,dcAggregate/CensusPEPSurvey_PartialAggregate,Count_Person_Female,154604015
2009,country/USA,dcAggregate/CensusPEPSurvey_PartialAggregate,Count_Person_Female,155964075
2010,country/USA,dcAggregate/CensusPEPSurvey_PartialAggregate,Count_Person_Female,157249665
2011,country/USA,dcAggregate/CensusPEPSurvey_PartialAggregate,Count_Person_Female,158370501
2012,country/USA,dcAggregate/CensusPEPSurvey_PartialAggregate,Count_Person_Female,159480635
2013,country/USA,dcAggregate/CensusPEPSurvey_PartialAggregate,Count_Person_Female,160545893
2014,country/USA,dcAggregate/CensusPEPSurvey_PartialAggregate,Count_Person_Female,161690519
2015,country/USA,dcAggregate/CensusPEPSurvey_PartialAggregate,Count_Person_Female,162832151
2016,country/USA,dcAggregate/CensusPEPSurvey_PartialAggregate,Count_Person_Female,163986062
2017,country/USA,dcAggregate/CensusPEPSurvey_PartialAggregate,Count_Person_Female,165008683
2018,country/USA,dcAggregate/CensusPEPSurvey_PartialAggregate,Count_Person_Female,165877686
2019,country/USA,dcAggregate/CensusPEPSurvey_PartialAggregate,Count_Person_Female,166637617
2020,country/USA,dcAggregate/CensusPEPSurvey_PartialAggregate,Count_Person_Female,167227921
