key,prop,val,p1,v1,,,,
Jahr,observationDate,{Number},,,,,,
AnzBesch,value,{Number},populationType,Person,employmentStatus,Employed,,
Arbeitsstaetten,value,{Number},populationType,Company,,,,
AnzBeschW,value,{Number},populationType,Person,employmentStatus,Employed,gender,Female
AnzBeschM,value,{Number},populationType,Person,employmentStatus,Employed,gender,Male
AnzVZA,value,{Number},populationType,Person,employmentStatus,FullTimeEmployee,,
AnzVZAW,value,{Number},populationType,Person,employmentStatus,FullTimeEmployee,gender,Female
AnzVZAM,value,{Number},populationType,Person,employmentStatus,FullTimeEmployee,gender,Male
RaumLang:Ganze Stadt,observationAbout,wikidataId/Q72,,,,,,
RaumLang:Kreis 1,observationAbout,wikidataId/Q445559,,,,,,
RaumLang:Kreis 2,observationAbout,wikidataId/Q456153,,,,,,
RaumLang:Kreis 3,observationAbout,wikidataId/Q675017,,,,,,
RaumLang:Kreis 4,observationAbout,wikidataId/Q677133,,,,,,
RaumLang:Kreis 5,observationAbout,wikidataId/Q460885,,,,,,
RaumLang:Kreis 6,observationAbout,wikidataId/Q456170,,,,,,
RaumLang:Kreis 7,observationAbout,wikidataId/Q456149,,,,,,
RaumLang:Kreis 8,observationAbout,wikidataId/Q677710,,,,,,
RaumLang:Kreis 9,observationAbout,wikidataId/Q456159,,,,,,
RaumLang:Kreis 10,observationAbout,wikidataId/Q456175,,,,,,
RaumLang:Kreis 11,observationAbout,wikidataId/Q870098,,,,,,
RaumLang:Kreis 12,observationAbout,wikidataId/Q657525,,,,,,
RaumLang:Rathaus,observationAbout,wikidataId/Q692511,,,,,,
RaumLang:Hochschulen,observationAbout,wikidataId/Q39240,,,,,,
RaumLang:Lindenhof,observationAbout,wikidataId/Q10987378,,,,,,
RaumLang:City,observationAbout,wikidataId/Q1093831,,,,,,
RaumLang:Wollishofen,observationAbout,wikidataId/Q642353,,,,,,
RaumLang:Leimbach,observationAbout,wikidataId/Q691367,,,,,,
RaumLang:Enge,observationAbout,wikidataId/Q648218,,,,,,
RaumLang:Alt-Wiedikon,observationAbout,wikidataId/Q433012,,,,,,
RaumLang:Friesenberg,observationAbout,wikidataId/Q693357,,,,,,
RaumLang:Sihlfeld,observationAbout,wikidataId/Q370104,,,,,,
RaumLang:Werd,observationAbout,wikidataId/Q531899,,,,,,
RaumLang:Langstrasse,observationAbout,wikidataId/Q1805410,,,,,,
RaumLang:Hard,observationAbout,wikidataId/Q870084,,,,,,
RaumLang:Gewerbeschule,observationAbout,wikidataId/Q693413,,,,,,
RaumLang:Escher Wyss,observationAbout,wikidataId/Q687052,,,,,,
RaumLang:Unterstrass,observationAbout,wikidataId/Q656446,,,,,,
RaumLang:Oberstrass,observationAbout,wikidataId/Q693483,,,,,,
RaumLang:Fluntern,observationAbout,wikidataId/Q693269,,,,,,
RaumLang:Hottingen,observationAbout,wikidataId/Q693454,,,,,,
RaumLang:Hirslanden,observationAbout,wikidataId/Q476940,,,,,,
RaumLang:Witikon,observationAbout,wikidataId/Q392079,,,,,,
RaumLang:Seefeld,observationAbout,wikidataId/Q692773,,,,,,
RaumLang:Mühlebach,observationAbout,wikidataId/Q693397,,,,,,
RaumLang:Weinegg,observationAbout,wikidataId/Q693321,,,,,,
RaumLang:Albisrieden,observationAbout,wikidataId/Q80797,,,,,,
RaumLang:Altstetten,observationAbout,wikidataId/Q445711,,,,,,
RaumLang:Höngg,observationAbout,wikidataId/Q455496,,,,,,
RaumLang:Wipkingen,observationAbout,wikidataId/Q678030,,,,,,
RaumLang:Affoltern,observationAbout,wikidataId/Q382903,,,,,,
RaumLang:Oerlikon,observationAbout,wikidataId/Q167179,,,,,,
RaumLang:Seebach,observationAbout,wikidataId/Q276792,,,,,,
RaumLang:Saatlen,observationAbout,wikidataId/Q652455,,,,,,
RaumLang:Schwamendingen-Mitte,observationAbout,wikidataId/Q692728,,,,,,
RaumLang:Hirzenbach,observationAbout,wikidataId/Q693374,,,,,,
