Places,Measure,Variable,Year,Unit,Reference Period Code,Reference Period,Value
Mexicali Mexico,Percentage of total land area,Area built-up before,1990,Percentage,,,0.378791862
Mexicali Mexico,Percentage of total land area,Area built-up before,2000,Percentage,,,0.551492864
Mexicali Mexico,Percentage of total land area,Area built-up before,2014,Percentage,,,0.726957681
Cuernavaca Mexico,Square kilometers,Area built-up before,1990,Square kilometres,,,21.978
Cuernavaca Mexico,Square kilometers,Area built-up before,2000,Square kilometres,,,43.9641
Cuernavaca Mexico,Square kilometers,Area built-up before,2014,Square kilometres,,,103.7979
Cuernavaca Mexico,Percentage of total land area,Area built-up before,1990,Percentage,,,4.205139155
Cuernavaca Mexico,Percentage of total land area,Area built-up before,2000,Percentage,,,8.411828116
Cuernavaca Mexico,Percentage of total land area,Area built-up before,2014,Percentage,,,19.86006978
Villahermosa Mexico,Square kilometers,Area built-up before,1990,Square kilometres,,,52.2216
Villahermosa Mexico,Square kilometers,Area built-up before,2000,Square kilometres,,,73.836
Villahermosa Mexico,Square kilometers,Area built-up before,2014,Square kilometres,,,91.6479
Villahermosa Mexico,Percentage of total land area,Area built-up before,1990,Percentage,,,3.035586952
Villahermosa Mexico,Percentage of total land area,Area built-up before,2000,Percentage,,,4.292009402
Villahermosa Mexico,Percentage of total land area,Area built-up before,2014,Percentage,,,5.327396507
Culiacan Mexico,Square kilometers,Area built-up before,1990,Square kilometres,,,65.7855
Culiacan Mexico,Square kilometers,Area built-up before,2000,Square kilometres,,,85.5009
Culiacan Mexico,Square kilometers,Area built-up before,2014,Square kilometres,,,90.7524
Culiacan Mexico,Percentage of total land area,Area built-up before,1990,Percentage,,,1.074159552
Culiacan Mexico,Percentage of total land area,Area built-up before,2000,Percentage,,,1.396076772
Culiacan Mexico,Percentage of total land area,Area built-up before,2014,Percentage,,,1.481824374
Morelia Mexico,Square kilometers,Area built-up before,1990,Square kilometres,,,63.873
Morelia Mexico,Square kilometers,Area built-up before,2000,Square kilometres,,,87.9111
Morelia Mexico,Square kilometers,Area built-up before,2014,Square kilometres,,,106.6851
Morelia Mexico,Percentage of total land area,Area built-up before,1990,Percentage,,,5.34613936
Morelia Mexico,Percentage of total land area,Area built-up before,2000,Percentage,,,7.358116761
Morelia Mexico,Percentage of total land area,Area built-up before,2014,Percentage,,,8.929491525
Chihuahua Mexico,Square kilometers,Area built-up before,1990,Square kilometres,,,60.7401
Chihuahua Mexico,Square kilometers,Area built-up before,2000,Square kilometres,,,99.5058
Chihuahua Mexico,Square kilometers,Area built-up before,2014,Square kilometres,,,138.4065
Chihuahua Mexico,Percentage of total land area,Area built-up before,1990,Percentage,,,0.722158448
Chihuahua Mexico,Percentage of total land area,Area built-up before,2000,Percentage,,,1.183056236
Chihuahua Mexico,Percentage of total land area,Area built-up before,2014,Percentage,,,1.645559082
Veracruz Mexico,Square kilometers,Area built-up before,1990,Square kilometres,,,64.0935
Veracruz Mexico,Square kilometers,Area built-up before,2000,Square kilometres,,,79.4736
Veracruz Mexico,Square kilometers,Area built-up before,2014,Square kilometres,,,100.8558
Veracruz Mexico,Percentage of total land area,Area built-up before,1990,Percentage,,,22.40910021
Veracruz Mexico,Percentage of total land area,Area built-up before,2000,Percentage,,,27.78646612
Veracruz Mexico,Percentage of total land area,Area built-up before,2014,Percentage,,,35.26235466
Hermosillo Mexico,Square kilometers,Area built-up before,1990,Square kilometres,,,69.3432
Hermosillo Mexico,Square kilometers,Area built-up before,2000,Square kilometres,,,102.0069
Hermosillo Mexico,Square kilometers,Area built-up before,2014,Square kilometres,,,131.2578
Hermosillo Mexico,Percentage of total land area,Area built-up before,1990,Percentage,,,0.40801138
Hermosillo Mexico,Percentage of total land area,Area built-up before,2000,Percentage,,,0.600202703
Hermosillo Mexico,Percentage of total land area,Area built-up before,2014,Percentage,,,0.772313308
Aguascalientes Mexico,Square kilometers,Area built-up before,1990,Square kilometres,,,54.4644
Aguascalientes Mexico,Square kilometers,Area built-up before,2000,Square kilometres,,,84.4974
Aguascalientes Mexico,Square kilometers,Area built-up before,2014,Square kilometres,,,110.4453
Aguascalientes Mexico,Percentage of total land area,Area built-up before,1990,Percentage,,,4.60123539
Aguascalientes Mexico,Percentage of total land area,Area built-up before,2000,Percentage,,,7.138468931
Aguascalientes Mexico,Percentage of total land area,Area built-up before,2014,Percentage,,,9.330587008
Acapulco de Juarez Mexico,Square kilometers,Area built-up before,1990,Square kilometres,,,58.563
Acapulco de Juarez Mexico,Square kilometers,Area built-up before,2000,Square kilometres,,,76.4802
Acapulco de Juarez Mexico,Square kilometers,Area built-up before,2014,Square kilometres,,,85.5864
Acapulco de Juarez Mexico,Percentage of total land area,Area built-up before,1990,Percentage,,,3.485464643
Acapulco de Juarez Mexico,Percentage of total land area,Area built-up before,2000,Percentage,,,4.551833632
Acapulco de Juarez Mexico,Percentage of total land area,Area built-up before,2014,Percentage,,,5.093802761
Tampico Mexico,Square kilometers,Area built-up before,1990,Square kilometres,,,95.4855
Tampico Mexico,Square kilometers,Area built-up before,2000,Square kilometres,,,115.3503
Tampico Mexico,Square kilometers,Area built-up before,2014,Square kilometres,,,132.5178
Tampico Mexico,Percentage of total land area,Area built-up before,1990,Percentage,,,4.980801182
Tampico Mexico,Percentage of total land area,Area built-up before,2000,Percentage,,,6.017006881
Tampico Mexico,Percentage of total land area,Area built-up before,2014,Percentage,,,6.912513573
Oaxaca de Juarez Mexico,Square kilometers,Area built-up before,1990,Square kilometres,,,41.0013
Oaxaca de Juarez Mexico,Square kilometers,Area built-up before,2000,Square kilometres,,,61.7301
Oaxaca de Juarez Mexico,Square kilometers,Area built-up before,2014,Square kilometres,,,66.3516
Oaxaca de Juarez Mexico,Percentage of total land area,Area built-up before,1990,Percentage,,,13.59825205
Oaxaca de Juarez Mexico,Percentage of total land area,Area built-up before,2000,Percentage,,,20.47304497
Oaxaca de Juarez Mexico,Percentage of total land area,Area built-up before,2014,Percentage,,,22.00578471
Reynosa Mexico,Square kilometers,Area built-up before,1990,Square kilometres,,,73.9827
Reynosa Mexico,Square kilometers,Area built-up before,2000,Square kilometres,,,100.2717
Reynosa Mexico,Square kilometers,Area built-up before,2014,Square kilometres,,,132.3414
Reynosa Mexico,Percentage of total land area,Area built-up before,1990,Percentage,,,2.341617571
Reynosa Mexico,Percentage of total land area,Area built-up before,2000,Percentage,,,3.17368756
Reynosa Mexico,Percentage of total land area,Area built-up before,2014,Percentage,,,4.188721791
Xalapa Mexico,Square kilometers,Area built-up before,1990,Square kilometres,,,29.5668
Xalapa Mexico,Square kilometers,Area built-up before,2000,Square kilometres,,,38.9061
Xalapa Mexico,Square kilometers,Area built-up before,2014,Square kilometres,,,44.235
Xalapa Mexico,Percentage of total land area,Area built-up before,1990,Percentage,,,16.23981057
Xalapa Mexico,Percentage of total land area,Area built-up before,2000,Percentage,,,21.3694987
Xalapa Mexico,Percentage of total land area,Area built-up before,2014,Percentage,,,24.2964413
Saltillo Mexico,Square kilometers,Area built-up before,1990,Square kilometres,,,45.7452
Saltillo Mexico,Square kilometers,Area built-up before,2000,Square kilometres,,,73.359
Saltillo Mexico,Square kilometers,Area built-up before,2014,Square kilometres,,,105.1839
Saltillo Mexico,Percentage of total land area,Area built-up before,1990,Percentage,,,0.810523732
Saltillo Mexico,Percentage of total land area,Area built-up before,2000,Percentage,,,1.299791246
Saltillo Mexico,Percentage of total land area,Area built-up before,2014,Percentage,,,1.863671975
Benito Juarez Mexico,Square kilometers,Area built-up before,1990,Square kilometres,,,68.4783
Benito Juarez Mexico,Square kilometers,Area built-up before,2000,Square kilometres,,,71.1585
Benito Juarez Mexico,Square kilometers,Area built-up before,2014,Square kilometres,,,95.3046
Benito Juarez Mexico,Percentage of total land area,Area built-up before,1990,Percentage,,,3.302772763
Benito Juarez Mexico,Percentage of total land area,Area built-up before,2000,Percentage,,,3.432041328
Benito Juarez Mexico,Percentage of total land area,Area built-up before,2014,Percentage,,,4.596630423
Celaya Mexico,Square kilometers,Area built-up before,1990,Square kilometres,,,47.0862
Celaya Mexico,Square kilometers,Area built-up before,2000,Square kilometres,,,64.494
Celaya Mexico,Square kilometers,Area built-up before,2014,Square kilometres,,,75.0807
Celaya Mexico,Percentage of total land area,Area built-up before,1990,Percentage,,,8.471302205
Celaya Mexico,Percentage of total land area,Area built-up before,2000,Percentage,,,11.60314836
Celaya Mexico,Percentage of total land area,Area built-up before,2014,Percentage,,,13.50780695
Durango Mexico,Square kilometers,Area built-up before,1990,Square kilometres,,,45.5949
Durango Mexico,Square kilometers,Area built-up before,2000,Square kilometres,,,69.2712
Durango Mexico,Square kilometers,Area built-up before,2014,Square kilometres,,,80.9973
Durango Mexico,Percentage of total land area,Area built-up before,1990,Percentage,,,0.489151026
Durango Mexico,Percentage of total land area,Area built-up before,2000,Percentage,,,0.743155014
Durango Mexico,Percentage of total land area,Area built-up before,2014,Percentage,,,0.868954914
Tuxtla Gutierrez Mexico,Square kilometers,Area built-up before,1990,Square kilometres,,,47.3157
Tuxtla Gutierrez Mexico,Square kilometers,Area built-up before,2000,Square kilometres,,,66.8781
Tuxtla Gutierrez Mexico,Square kilometers,Area built-up before,2014,Square kilometres,,,71.6868
Tuxtla Gutierrez Mexico,Percentage of total land area,Area built-up before,1990,Percentage,,,14.06627924
Tuxtla Gutierrez Mexico,Percentage of total land area,Area built-up before,2000,Percentage,,,19.8819003
Tuxtla Gutierrez Mexico,Percentage of total land area,Area built-up before,2014,Percentage,,,21.31145787
Pachuca de Soto Mexico,Square kilometers,Area built-up before,1990,Square kilometres,,,24.5439
Pachuca de Soto Mexico,Square kilometers,Area built-up before,2000,Square kilometres,,,46.7073
Pachuca de Soto Mexico,Square kilometers,Area built-up before,2014,Square kilometres,,,66.402
Pachuca de Soto Mexico,Percentage of total land area,Area built-up before,1990,Percentage,,,9.160533555
Pachuca de Soto Mexico,Percentage of total land area,Area built-up before,2000,Percentage,,,17.43259176
Pachuca de Soto Mexico,Percentage of total land area,Area built-up before,2014,Percentage,,,24.78325568
Irapuato Mexico,Square kilometers,Area built-up before,1990,Square kilometres,,,38.214
Irapuato Mexico,Square kilometers,Area built-up before,2000,Square kilometres,,,54.4095
Irapuato Mexico,Square kilometers,Area built-up before,2014,Square kilometres,,,71.6013
Irapuato Mexico,Percentage of total land area,Area built-up before,1990,Percentage,,,4.467616096
Irapuato Mexico,Percentage of total land area,Area built-up before,2000,Percentage,,,6.361039357
Irapuato Mexico,Percentage of total land area,Area built-up before,2014,Percentage,,,8.370940504
Ahome Mexico,Square kilometers,Area built-up before,1990,Square kilometres,,,52.5222
Ahome Mexico,Square kilometers,Area built-up before,2000,Square kilometres,,,57.4173
Ahome Mexico,Square kilometers,Area built-up before,2014,Square kilometres,,,62.8191
Ahome Mexico,Percentage of total land area,Area built-up before,1990,Percentage,,,1.501968248
Ahome Mexico,Percentage of total land area,Area built-up before,2000,Percentage,,,1.641952574
Ahome Mexico,Percentage of total land area,Area built-up before,2014,Percentage,,,1.796426912
Matamoros Mexico,Square kilometers,Area built-up before,1990,Square kilometres,,,53.6499
Matamoros Mexico,Square kilometers,Area built-up before,2000,Square kilometres,,,71.3745
Matamoros Mexico,Square kilometers,Area built-up before,2014,Square kilometres,,,78.9624
Matamoros Mexico,Percentage of total land area,Area built-up before,1990,Percentage,,,1.342746139
Matamoros Mexico,Percentage of total land area,Area built-up before,2000,Percentage,,,1.786356252
Matamoros Mexico,Percentage of total land area,Area built-up before,2014,Percentage,,,1.97626571
Ensenada Mexico,Square kilometers,Area built-up before,1990,Square kilometres,,,55.6479
Ensenada Mexico,Square kilometers,Area built-up before,2000,Square kilometres,,,62.3205
Ensenada Mexico,Square kilometers,Area built-up before,2014,Square kilometres,,,69.1821
Ensenada Mexico,Percentage of total land area,Area built-up before,1990,Percentage,,,0.104883118
Ensenada Mexico,Percentage of total land area,Area built-up before,2000,Percentage,,,0.11745939
Ensenada Mexico,Percentage of total land area,Area built-up before,2014,Percentage,,,0.130391881
Poza Rica de Hidalgo Mexico,Square kilometers,Area built-up before,1990,Square kilometres,,,19.2375
Poza Rica de Hidalgo Mexico,Square kilometers,Area built-up before,2000,Square kilometres,,,25.9605
Poza Rica de Hidalgo Mexico,Square kilometers,Area built-up before,2014,Square kilometres,,,28.0296
Poza Rica de Hidalgo Mexico,Percentage of total land area,Area built-up before,1990,Percentage,,,29.85418587
Poza Rica de Hidalgo Mexico,Percentage of total land area,Area built-up before,2000,Percentage,,,40.2874382
Poza Rica de Hidalgo Mexico,Percentage of total land area,Area built-up before,2014,Percentage,,,43.49842174
Tepic Mexico,Square kilometers,Area built-up before,1990,Square kilometres,,,24.4017
Tepic Mexico,Square kilometers,Area built-up before,2000,Square kilometres,,,36.7992
Tepic Mexico,Square kilometers,Area built-up before,2014,Square kilometres,,,42.4179
Tepic Mexico,Percentage of total land area,Area built-up before,1990,Percentage,,,1.487134229
Tepic Mexico,Percentage of total land area,Area built-up before,2000,Percentage,,,2.242685958
Tepic Mexico,Percentage of total land area,Area built-up before,2014,Percentage,,,2.585111325
Orizaba Mexico,Square kilometers,Area built-up before,1990,Square kilometres,,,16.3791
Orizaba Mexico,Square kilometers,Area built-up before,2000,Square kilometres,,,23.319
Orizaba Mexico,Square kilometers,Area built-up before,2014,Square kilometres,,,26.4861
Orizaba Mexico,Percentage of total land area,Area built-up before,1990,Percentage,,,8.171870159
Orizaba Mexico,Percentage of total land area,Area built-up before,2000,Percentage,,,11.63432913
Orizaba Mexico,Percentage of total land area,Area built-up before,2014,Percentage,,,13.21446052
Mazatlan Mexico,Square kilometers,Area built-up before,1990,Square kilometres,,,38.5056
Mazatlan Mexico,Square kilometers,Area built-up before,2000,Square kilometres,,,52.1721
Mazatlan Mexico,Square kilometers,Area built-up before,2014,Square kilometres,,,56.8323
Mazatlan Mexico,Percentage of total land area,Area built-up before,1990,Percentage,,,1.520997977
Mazatlan Mexico,Percentage of total land area,Area built-up before,2000,Percentage,,,2.060834231
Mazatlan Mexico,Percentage of total land area,Area built-up before,2014,Percentage,,,2.244915372
Cajeme Mexico,Square kilometers,Area built-up before,1990,Square kilometres,,,40.5099
Cajeme Mexico,Square kilometers,Area built-up before,2000,Square kilometres,,,63.1728
Cajeme Mexico,Square kilometers,Area built-up before,2014,Square kilometres,,,71.0343
Cajeme Mexico,Percentage of total land area,Area built-up before,1990,Percentage,,,0.84479344
Cajeme Mexico,Percentage of total land area,Area built-up before,2000,Percentage,,,1.317405549
Cajeme Mexico,Percentage of total land area,Area built-up before,2014,Percentage,,,1.481349267
Nuevo Laredo Mexico,Square kilometers,Area built-up before,1990,Square kilometres,,,39.609
Nuevo Laredo Mexico,Square kilometers,Area built-up before,2000,Square kilometres,,,55.2312
Nuevo Laredo Mexico,Square kilometers,Area built-up before,2014,Square kilometres,,,73.755
Nuevo Laredo Mexico,Percentage of total land area,Area built-up before,1990,Percentage,,,3.225551114
Nuevo Laredo Mexico,Percentage of total land area,Area built-up before,2000,Percentage,,,4.497741894
Nuevo Laredo Mexico,Percentage of total land area,Area built-up before,2014,Percentage,,,6.006223899
Guadalupe Mexico,Square kilometers,Area built-up before,1990,Square kilometres,,,16.2135
Guadalupe Mexico,Square kilometers,Area built-up before,2000,Square kilometres,,,27.9738
Guadalupe Mexico,Square kilometers,Area built-up before,2014,Square kilometres,,,36.1809
Guadalupe Mexico,Percentage of total land area,Area built-up before,1990,Percentage,,,1.282192717
Guadalupe Mexico,Percentage of total land area,Area built-up before,2000,Percentage,,,2.212218375
Guadalupe Mexico,Percentage of total land area,Area built-up before,2014,Percentage,,,2.861250592
Coatzacoalcos Mexico,Square kilometers,Area built-up before,1990,Square kilometres,,,47.7315
Coatzacoalcos Mexico,Square kilometers,Area built-up before,2000,Square kilometres,,,60.0777
Coatzacoalcos Mexico,Square kilometers,Area built-up before,2014,Square kilometres,,,63.4986
Coatzacoalcos Mexico,Percentage of total land area,Area built-up before,1990,Percentage,,,16.07593747
Coatzacoalcos Mexico,Percentage of total land area,Area built-up before,2000,Percentage,,,20.23412943
Coatzacoalcos Mexico,Percentage of total land area,Area built-up before,2014,Percentage,,,21.38628627
Tapachula Mexico,Square kilometers,Area built-up before,1990,Square kilometres,,,19.0305
Tapachula Mexico,Square kilometers,Area built-up before,2000,Square kilometres,,,34.4115
Tapachula Mexico,Square kilometers,Area built-up before,2014,Square kilometres,,,43.0812
Tapachula Mexico,Percentage of total land area,Area built-up before,1990,Percentage,,,1.932834791
Tapachula Mexico,Percentage of total land area,Area built-up before,2000,Percentage,,,3.495007719
Tapachula Mexico,Percentage of total land area,Area built-up before,2014,Percentage,,,4.375546738
Victoria Mexico,Square kilometers,Area built-up before,1990,Square kilometres,,,28.9431
Victoria Mexico,Square kilometers,Area built-up before,2000,Square kilometres,,,41.913
Victoria Mexico,Square kilometers,Area built-up before,2014,Square kilometres,,,51.1398
Victoria Mexico,Percentage of total land area,Area built-up before,1990,Percentage,,,1.96861263
Victoria Mexico,Percentage of total land area,Area built-up before,2000,Percentage,,,2.850781746
Victoria Mexico,Percentage of total land area,Area built-up before,2014,Percentage,,,3.478357749
Tlaxcala Mexico,Square kilometers,Area built-up before,1990,Square kilometres,,,29.7054
Tlaxcala Mexico,Square kilometers,Area built-up before,2000,Square kilometres,,,42.9291
Tlaxcala Mexico,Square kilometers,Area built-up before,2014,Square kilometres,,,51.8652
Tlaxcala Mexico,Percentage of total land area,Area built-up before,1990,Percentage,,,15.39458955
Tlaxcala Mexico,Percentage of total land area,Area built-up before,2000,Percentage,,,22.24766791
Tlaxcala Mexico,Percentage of total land area,Area built-up before,2014,Percentage,,,26.87873134
Cordoba Mexico,Square kilometers,Area built-up before,1990,Square kilometres,,,16.2666
Cordoba Mexico,Square kilometers,Area built-up before,2000,Square kilometres,,,23.8428
Cordoba Mexico,Square kilometers,Area built-up before,2014,Square kilometres,,,26.3403
Cordoba Mexico,Percentage of total land area,Area built-up before,1990,Percentage,,,7.320105788
Cordoba Mexico,Percentage of total land area,Area built-up before,2000,Percentage,,,10.72945903
Cordoba Mexico,Percentage of total land area,Area built-up before,2014,Percentage,,,11.85335488
Uruapan Mexico,Square kilometers,Area built-up before,1990,Square kilometres,,,19.0782
Uruapan Mexico,Square kilometers,Area built-up before,2000,Square kilometres,,,27.2259
Uruapan Mexico,Square kilometers,Area built-up before,2014,Square kilometres,,,30.7719
Uruapan Mexico,Percentage of total land area,Area built-up before,1990,Percentage,,,1.873791754
Uruapan Mexico,Percentage of total land area,Area built-up before,2000,Percentage,,,2.674029359
Uruapan Mexico,Percentage of total land area,Area built-up before,2014,Percentage,,,3.022304645
Tehuacan Mexico,Square kilometers,Area built-up before,1990,Square kilometres,,,17.1225
Tehuacan Mexico,Square kilometers,Area built-up before,2000,Square kilometres,,,30.5748
Tehuacan Mexico,Square kilometers,Area built-up before,2014,Square kilometres,,,32.5764
Tehuacan Mexico,Percentage of total land area,Area built-up before,1990,Percentage,,,3.079889334
Tehuacan Mexico,Percentage of total land area,Area built-up before,2000,Percentage,,,5.499605807
Tehuacan Mexico,Percentage of total land area,Area built-up before,2014,Percentage,,,5.859641227
Minatitlan Mexico,Square kilometers,Area built-up before,1990,Square kilometres,,,30.0438
Minatitlan Mexico,Square kilometers,Area built-up before,2000,Square kilometres,,,39.006
Minatitlan Mexico,Square kilometers,Area built-up before,2014,Square kilometres,,,43.2243
Minatitlan Mexico,Percentage of total land area,Area built-up before,1990,Percentage,,,1.260890487
Minatitlan Mexico,Percentage of total land area,Area built-up before,2000,Percentage,,,1.637019763
Minatitlan Mexico,Percentage of total land area,Area built-up before,2014,Percentage,,,1.814055103
Cuautla Mexico,Square kilometers,Area built-up before,1990,Square kilometres,,,5.6133
Cuautla Mexico,Square kilometers,Area built-up before,2000,Square kilometres,,,11.421
Cuautla Mexico,Square kilometers,Area built-up before,2014,Square kilometres,,,23.9499
Cuautla Mexico,Percentage of total land area,Area built-up before,1990,Percentage,,,5.748704998
Cuautla Mexico,Percentage of total land area,Area built-up before,2000,Percentage,,,11.69649935
Cuautla Mexico,Percentage of total land area,Area built-up before,2014,Percentage,,,24.52762365
Chilpancingo de los Bravo Mexico,Square kilometers,Area built-up before,1990,Square kilometres,,,9.1494
Chilpancingo de los Bravo Mexico,Square kilometers,Area built-up before,2000,Square kilometres,,,15.8427
Chilpancingo de los Bravo Mexico,Square kilometers,Area built-up before,2014,Square kilometres,,,19.0242
Chilpancingo de los Bravo Mexico,Percentage of total land area,Area built-up before,1990,Percentage,,,0.417305665
Chilpancingo de los Bravo Mexico,Percentage of total land area,Area built-up before,2000,Percentage,,,0.722588198
Chilpancingo de los Bravo Mexico,Percentage of total land area,Area built-up before,2014,Percentage,,,0.867696946
Monclova Mexico,Square kilometers,Area built-up before,1990,Square kilometres,,,45.8901
Monclova Mexico,Square kilometers,Area built-up before,2000,Square kilometres,,,59.8266
Monclova Mexico,Square kilometers,Area built-up before,2014,Square kilometres,,,64.737
Monclova Mexico,Percentage of total land area,Area built-up before,1990,Percentage,,,2.67464337
Monclova Mexico,Percentage of total land area,Area built-up before,2000,Percentage,,,3.486913714
Monclova Mexico,Percentage of total land area,Area built-up before,2014,Percentage,,,3.773109839
Los Cabos Mexico,Square kilometers,Area built-up before,1990,Square kilometres,,,32.6727
Los Cabos Mexico,Square kilometers,Area built-up before,2000,Square kilometres,,,41.2497
Los Cabos Mexico,Square kilometers,Area built-up before,2014,Square kilometres,,,47.7018
Los Cabos Mexico,Percentage of total land area,Area built-up before,1990,Percentage,,,0.866988867
Los Cabos Mexico,Percentage of total land area,Area built-up before,2000,Percentage,,,1.09458449
Los Cabos Mexico,Percentage of total land area,Area built-up before,2014,Percentage,,,1.265794671
Colima Mexico,Square kilometers,Area built-up before,1990,Square kilometres,,,0.0135
Colima Mexico,Square kilometers,Area built-up before,2000,Square kilometres,,,4.9509
Colima Mexico,Square kilometers,Area built-up before,2014,Square kilometres,,,41.3577
Colima Mexico,Percentage of total land area,Area built-up before,1990,Percentage,,,0.001298852
Colima Mexico,Percentage of total land area,Area built-up before,2000,Percentage,,,0.476332319
Colima Mexico,Percentage of total land area,Area built-up before,2014,Percentage,,,3.97907636
La Paz Mexico,Square kilometers,Area built-up before,1990,Square kilometres,,,22.9167
La Paz Mexico,Square kilometers,Area built-up before,2000,Square kilometres,,,27.4401
La Paz Mexico,Square kilometers,Area built-up before,2014,Square kilometres,,,31.5567
La Paz Mexico,Percentage of total land area,Area built-up before,1990,Percentage,,,0.147944474
La Paz Mexico,Percentage of total land area,Area built-up before,2000,Percentage,,,0.177146411
La Paz Mexico,Percentage of total land area,Area built-up before,2014,Percentage,,,0.203722149
Campeche Mexico,Square kilometers,Area built-up before,1990,Square kilometres,,,29.7198
Campeche Mexico,Square kilometers,Area built-up before,2000,Square kilometres,,,37.7109
Campeche Mexico,Square kilometers,Area built-up before,2014,Square kilometres,,,41.3613
Campeche Mexico,Percentage of total land area,Area built-up before,1990,Percentage,,,0.911447048
Campeche Mexico,Percentage of total land area,Area built-up before,2000,Percentage,,,1.156518163
Campeche Mexico,Percentage of total land area,Area built-up before,2014,Percentage,,,1.268468657
Puerto Vallarta Mexico,Square kilometers,Area built-up before,1990,Square kilometres,,,9.3429
Puerto Vallarta Mexico,Square kilometers,Area built-up before,2000,Square kilometres,,,32.5935
Puerto Vallarta Mexico,Square kilometers,Area built-up before,2014,Square kilometres,,,33.7149
Puerto Vallarta Mexico,Percentage of total land area,Area built-up before,1990,Percentage,,,1.365748537
Puerto Vallarta Mexico,Percentage of total land area,Area built-up before,2000,Percentage,,,4.764529744
Puerto Vallarta Mexico,Percentage of total land area,Area built-up before,2014,Percentage,,,4.928456406
Salamanca Mexico,Square kilometers,Area built-up before,1990,Square kilometres,,,33.0453
Salamanca Mexico,Square kilometers,Area built-up before,2000,Square kilometres,,,49.1364
Salamanca Mexico,Square kilometers,Area built-up before,2014,Square kilometres,,,60.0588
Salamanca Mexico,Percentage of total land area,Area built-up before,1990,Percentage,,,4.351319546
Salamanca Mexico,Percentage of total land area,Area built-up before,2000,Percentage,,,6.470153932
Salamanca Mexico,Percentage of total land area,Area built-up before,2014,Percentage,,,7.908387285
San Juan del Rio Mexico,Square kilometers,Area built-up before,1990,Square kilometres,,,18.3825
San Juan del Rio Mexico,Square kilometers,Area built-up before,2000,Square kilometres,,,39.8655
San Juan del Rio Mexico,Square kilometers,Area built-up before,2014,Square kilometres,,,48.3822
San Juan del Rio Mexico,Percentage of total land area,Area built-up before,1990,Percentage,,,2.377861729
San Juan del Rio Mexico,Percentage of total land area,Area built-up before,2000,Percentage,,,5.156787529
San Juan del Rio Mexico,Percentage of total land area,Area built-up before,2014,Percentage,,,6.258462219
Zamora Mexico,Square kilometers,Area built-up before,1990,Square kilometres,,,12.1113
Zamora Mexico,Square kilometers,Area built-up before,2000,Square kilometres,,,16.1388
Zamora Mexico,Square kilometers,Area built-up before,2014,Square kilometres,,,19.305
Zamora Mexico,Percentage of total land area,Area built-up before,1990,Percentage,,,3.596176407
Zamora Mexico,Percentage of total land area,Area built-up before,2000,Percentage,,,4.792051373
Zamora Mexico,Percentage of total land area,Area built-up before,2014,Percentage,,,5.732182799
Tulancingo de Bravo Mexico,Square kilometers,Area built-up before,1990,Square kilometres,,,7.6401
Tulancingo de Bravo Mexico,Square kilometers,Area built-up before,2000,Square kilometres,,,11.3868
Tulancingo de Bravo Mexico,Square kilometers,Area built-up before,2014,Square kilometres,,,14.0238
Tulancingo de Bravo Mexico,Percentage of total land area,Area built-up before,1990,Percentage,,,3.496206848
Tulancingo de Bravo Mexico,Percentage of total land area,Area built-up before,2000,Percentage,,,5.21074438
Tulancingo de Bravo Mexico,Percentage of total land area,Area built-up before,2014,Percentage,,,6.417469091
Carmen Mexico,Square kilometers,Area built-up before,1990,Square kilometres,,,28.0998
Carmen Mexico,Square kilometers,Area built-up before,2000,Square kilometres,,,31.095
Carmen Mexico,Square kilometers,Area built-up before,2014,Square kilometres,,,38.3562
Carmen Mexico,Percentage of total land area,Area built-up before,1990,Percentage,,,0.423279534
Carmen Mexico,Percentage of total land area,Area built-up before,2000,Percentage,,,0.468397537
Carmen Mexico,Percentage of total land area,Area built-up before,2014,Percentage,,,0.577776157
Nogales Mexico,Square kilometers,Area built-up before,1990,Square kilometres,,,11.9871
Nogales Mexico,Square kilometers,Area built-up before,2000,Square kilometres,,,20.1663
Nogales Mexico,Square kilometers,Area built-up before,2014,Square kilometres,,,26.7219
Nogales Mexico,Percentage of total land area,Area built-up before,1990,Percentage,,,0.680279405
Nogales Mexico,Percentage of total land area,Area built-up before,2000,Percentage,,,1.144456839
Nogales Mexico,Percentage of total land area,Area built-up before,2014,Percentage,,,1.516493417
Othon P. Blanco Mexico,Square kilometers,Area built-up before,1990,Square kilometres,,,22.968
Othon P. Blanco Mexico,Square kilometers,Area built-up before,2000,Square kilometres,,,27.6084
Othon P. Blanco Mexico,Square kilometers,Area built-up before,2014,Square kilometres,,,30.4362
Othon P. Blanco Mexico,Percentage of total land area,Area built-up before,1990,Percentage,,,0.268722888
Othon P. Blanco Mexico,Percentage of total land area,Area built-up before,2000,Percentage,,,0.32301502
Othon P. Blanco Mexico,Percentage of total land area,Area built-up before,2014,Percentage,,,0.356099946
Fresnillo Mexico,Square kilometers,Area built-up before,1990,Square kilometres,,,14.2245
Fresnillo Mexico,Square kilometers,Area built-up before,2000,Square kilometres,,,22.5657
Fresnillo Mexico,Square kilometers,Area built-up before,2014,Square kilometres,,,27.0522
Fresnillo Mexico,Percentage of total land area,Area built-up before,1990,Percentage,,,0.278323928
Fresnillo Mexico,Percentage of total land area,Area built-up before,2000,Percentage,,,0.441532164
Fresnillo Mexico,Percentage of total land area,Area built-up before,2014,Percentage,,,0.529317345
