Places,Measure,Variable,Year,Unit,Reference Period Code,Reference Period,Value
Townsville Australia,Percentage of total land area,Area built-up before,2014,Percentage,,,27.3317831
Geelong Australia,Square kilometers,Area built-up before,1990,Square kilometres,,,66.8034
Geelong Australia,Square kilometers,Area built-up before,2000,Square kilometres,,,71.4744
Geelong Australia,Square kilometers,Area built-up before,2014,Square kilometres,,,78.1569
Geelong Australia,Percentage of total land area,Area built-up before,1990,Percentage,,,22.22707999
Geelong Australia,Percentage of total land area,Area built-up before,2000,Percentage,,,23.78123278
Geelong Australia,Percentage of total land area,Area built-up before,2014,Percentage,,,26.00465946
Cairns Australia,Square kilometers,Area built-up before,1990,Square kilometres,,,29.9169
Cairns Australia,Square kilometers,Area built-up before,2000,Square kilometres,,,34.4817
Cairns Australia,Square kilometers,Area built-up before,2014,Square kilometres,,,37.7937
Cairns Australia,Percentage of total land area,Area built-up before,1990,Percentage,,,32.10047029
Cairns Australia,Percentage of total land area,Area built-up before,2000,Percentage,,,36.99844524
Cairns Australia,Percentage of total land area,Area built-up before,2014,Percentage,,,40.55218101
Greater Darwin Australia,Square kilometers,Area built-up before,1990,Square kilometres,,,18.4257
Greater Darwin Australia,Square kilometers,Area built-up before,2000,Square kilometres,,,18.7983
Greater Darwin Australia,Square kilometers,Area built-up before,2014,Square kilometres,,,19.2699
Greater Darwin Australia,Percentage of total land area,Area built-up before,1990,Percentage,,,50.30344726
Greater Darwin Australia,Percentage of total land area,Area built-up before,2000,Percentage,,,51.32067127
Greater Darwin Australia,Percentage of total land area,Area built-up before,2014,Percentage,,,52.60817219
Toowoomba Australia,Square kilometers,Area built-up before,1990,Square kilometres,,,17.7921
Toowoomba Australia,Square kilometers,Area built-up before,2000,Square kilometres,,,23.9148
Toowoomba Australia,Square kilometers,Area built-up before,2014,Square kilometres,,,25.9587
Toowoomba Australia,Percentage of total land area,Area built-up before,1990,Percentage,,,16.18631994
Toowoomba Australia,Percentage of total land area,Area built-up before,2000,Percentage,,,21.75643146
Toowoomba Australia,Percentage of total land area,Area built-up before,2014,Percentage,,,23.61586454
Ballarat Australia,Square kilometers,Area built-up before,1990,Square kilometres,,,34.7679
Ballarat Australia,Square kilometers,Area built-up before,2000,Square kilometres,,,37.323
Ballarat Australia,Square kilometers,Area built-up before,2014,Square kilometres,,,41.2245
Ballarat Australia,Percentage of total land area,Area built-up before,1990,Percentage,,,14.60921457
Ballarat Australia,Percentage of total land area,Area built-up before,2000,Percentage,,,15.6828487
Ballarat Australia,Percentage of total land area,Area built-up before,2014,Percentage,,,17.32223016
Bendigo Australia,Square kilometers,Area built-up before,1990,Square kilometres,,,36.1485
Bendigo Australia,Square kilometers,Area built-up before,2000,Square kilometres,,,38.5164
Bendigo Australia,Square kilometers,Area built-up before,2014,Square kilometres,,,41.1489
Bendigo Australia,Percentage of total land area,Area built-up before,1990,Percentage,,,30.09042485
Bendigo Australia,Percentage of total land area,Area built-up before,2000,Percentage,,,32.0614919
Bendigo Australia,Percentage of total land area,Area built-up before,2014,Percentage,,,34.25281501
Toronto Canada,Square kilometers,Area built-up before,1990,Square kilometres,,,1268.856
Toronto Canada,Square kilometers,Area built-up before,2000,Square kilometres,,,1449.3447
Toronto Canada,Square kilometers,Area built-up before,2014,Square kilometres,,,1648.3653
Toronto Canada,Percentage of total land area,Area built-up before,1990,Percentage,,,39.19195367
Toronto Canada,Percentage of total land area,Area built-up before,2000,Percentage,,,44.76682172
Toronto Canada,Percentage of total land area,Area built-up before,2014,Percentage,,,50.91409622
Montreal Canada,Square kilometers,Area built-up before,1990,Square kilometres,,,692.3043
Montreal Canada,Square kilometers,Area built-up before,2000,Square kilometres,,,773.3592
Montreal Canada,Square kilometers,Area built-up before,2014,Square kilometres,,,869.3154
Montreal Canada,Percentage of total land area,Area built-up before,1990,Percentage,,,42.83759597
Montreal Canada,Percentage of total land area,Area built-up before,2000,Percentage,,,47.85301629
Montreal Canada,Percentage of total land area,Area built-up before,2014,Percentage,,,53.79048183
Vancouver Canada,Square kilometers,Area built-up before,1990,Square kilometres,,,430.0236
Vancouver Canada,Square kilometers,Area built-up before,2000,Square kilometres,,,474.984
Vancouver Canada,Square kilometers,Area built-up before,2014,Square kilometres,,,518.1534
Vancouver Canada,Percentage of total land area,Area built-up before,1990,Percentage,,,30.38363952
Vancouver Canada,Percentage of total land area,Area built-up before,2000,Percentage,,,33.56035026
Vancouver Canada,Percentage of total land area,Area built-up before,2014,Percentage,,,36.61051654
Ottawa Canada,Square kilometers,Area built-up before,1990,Square kilometres,,,282.8484
Ottawa Canada,Square kilometers,Area built-up before,2000,Square kilometres,,,332.721
Ottawa Canada,Square kilometers,Area built-up before,2014,Square kilometres,,,396.7416
Ottawa Canada,Percentage of total land area,Area built-up before,1990,Percentage,,,8.936406767
Ottawa Canada,Percentage of total land area,Area built-up before,2000,Percentage,,,10.51209834
Ottawa Canada,Percentage of total land area,Area built-up before,2014,Percentage,,,12.53478655
Calgary Canada,Square kilometers,Area built-up before,1990,Square kilometres,,,249.6996
Calgary Canada,Square kilometers,Area built-up before,2000,Square kilometres,,,306.7308
Calgary Canada,Square kilometers,Area built-up before,2014,Square kilometres,,,373.8366
Calgary Canada,Percentage of total land area,Area built-up before,1990,Percentage,,,29.58263538
Calgary Canada,Percentage of total land area,Area built-up before,2000,Percentage,,,36.33928695
Calgary Canada,Percentage of total land area,Area built-up before,2014,Percentage,,,44.28950559
Edmonton Canada,Square kilometers,Area built-up before,1990,Square kilometres,,,260.01
Edmonton Canada,Square kilometers,Area built-up before,2000,Square kilometres,,,318.6621
Edmonton Canada,Square kilometers,Area built-up before,2014,Square kilometres,,,398.0862
Edmonton Canada,Percentage of total land area,Area built-up before,1990,Percentage,,,13.25918471
Edmonton Canada,Percentage of total land area,Area built-up before,2000,Percentage,,,16.25014285
Edmonton Canada,Percentage of total land area,Area built-up before,2014,Percentage,,,20.30036712
Quebec Canada,Square kilometers,Area built-up before,1990,Square kilometres,,,135.7578
Quebec Canada,Square kilometers,Area built-up before,2000,Square kilometres,,,151.4169
Quebec Canada,Square kilometers,Area built-up before,2014,Square kilometres,,,167.2974
Quebec Canada,Percentage of total land area,Area built-up before,1990,Percentage,,,29.03733763
Quebec Canada,Percentage of total land area,Area built-up before,2000,Percentage,,,32.38667426
Quebec Canada,Percentage of total land area,Area built-up before,2014,Percentage,,,35.78336632
Winnipeg Canada,Square kilometers,Area built-up before,1990,Square kilometres,,,189.0549
Winnipeg Canada,Square kilometers,Area built-up before,2000,Square kilometres,,,200.952
Winnipeg Canada,Square kilometers,Area built-up before,2014,Square kilometres,,,221.5755
Winnipeg Canada,Percentage of total land area,Area built-up before,1990,Percentage,,,40.32740181
Winnipeg Canada,Percentage of total land area,Area built-up before,2000,Percentage,,,42.86517857
Winnipeg Canada,Percentage of total land area,Area built-up before,2014,Percentage,,,47.26438838
Hamilton Canada,Square kilometers,Area built-up before,1990,Square kilometres,,,137.475
Hamilton Canada,Square kilometers,Area built-up before,2000,Square kilometres,,,164.5011
Hamilton Canada,Square kilometers,Area built-up before,2014,Square kilometres,,,187.7526
Hamilton Canada,Percentage of total land area,Area built-up before,1990,Percentage,,,12.20914851
