"MeasurementMethods","NumPlaces","StatVar","ScalingFactors","MinDate","observationPeriods","Units"
"[dcAggregate/CensusPEPSurvey_PartialAggregate_RaceUpto1999]","1","Count_Person_Male_AsianOrPacificIslander","[]","1981","[P1Y]","[]"
"[dcAggregate/CensusPEPSurvey_PartialAggregate_RaceUpto1999]","1","Count_Person_Male_AmericanIndianAndAlaskaNativeAlone","[]","1981","[P1Y]","[]"
"[dcAggregate/CensusPEPSurvey_PartialAggregate_RaceUpto1999]","1","Count_Person_Female_AmericanIndianAndAlaskaNativeAlone","[]","1981","[P1Y]","[]"
"[dcAggregate/CensusPEPSurvey_PartialAggregate_RaceUpto1999]","1","Count_Person_Male_WhiteAlone","[]","1900","[P1Y]","[]"
"[dcAggregate/CensusPEPSurvey_PartialAggregate_RaceUpto1999]","1","Count_Person_Female_BlackOrAfricanAmericanAlone","[]","1960","[P1Y]","[]"
"[CensusPEPSurvey_RaceUpto1999]","1","Count_Person_Female_NonWhite","[]","1900","[P1Y]","[]"
"[dcAggregate/CensusPEPSurvey_PartialAggregate_RaceUpto1999]","1","Count_Person_Male_BlackOrAfricanAmericanAlone","[]","1960","[P1Y]","[]"
"[dcAggregate/CensusPEPSurvey_PartialAggregate_RaceUpto1999]","1","Count_Person_Female_AsianOrPacificIslander","[]","1981","[P1Y]","[]"
"[dcAggregate/CensusPEPSurvey_PartialAggregate_RaceUpto1999]","1","Count_Person_Female_WhiteAlone","[]","1900","[P1Y]","[]"
"[CensusPEPSurvey_RaceUpto1999]","1","Count_Person_Male_NonWhite","[]","1900","[P1Y]","[]"
