"MeasurementMethods","ScalingFactors","StatVar","MinDate","NumPlaces","observationPeriods","Units"
"[dcAggregate/CensusPEPSurvey_PartialAggregate_Race2000Onwards]","[]","Count_Person_Female_AsianAloneOrInCombinationWithOneOrMoreOtherRaces","2010","1","[P1Y]","[]"
"[dcAggregate/CensusPEPSurvey_PartialAggregate_Race2000Onwards]","[]","Count_Person_Male_NativeHawaiianAndOtherPacificIslanderAlone","2000","1","[P1Y]","[]"
"[dcAggregate/CensusPEPSurvey_PartialAggregate_Race2000Onwards]","[]","Count_Person_Female_NativeHawaiianAndOtherPacificIslanderAlone","2000","1","[P1Y]","[]"
"[dcAggregate/CensusPEPSurvey_PartialAggregate_Race2000Onwards]","[]","Count_Person_Female_AsianAlone","2000","1","[P1Y]","[]"
"[dcAggregate/CensusPEPSurvey_PartialAggregate_Race2000Onwards]","[]","Count_Person_Female_BlackOrAfricanAmericanAlone","2000","1","[P1Y]","[]"
"[dcAggregate/CensusPEPSurvey_PartialAggregate_Race2000Onwards]","[]","Count_Person_Male_AsianAloneOrInCombinationWithOneOrMoreOtherRaces","2010","1","[P1Y]","[]"
"[dcAggregate/CensusPEPSurvey_PartialAggregate_Race2000Onwards]","[]","Count_Person_Male_TwoOrMoreRaces","2000","1","[P1Y]","[]"
"[dcAggregate/CensusPEPSurvey_PartialAggregate_Race2000Onwards]","[]","Count_Person_Male_BlackOrAfricanAmericanAloneOrInCombinationWithOneOrMoreOtherRaces","2010","1","[P1Y]","[]"
"[dcAggregate/CensusPEPSurvey_PartialAggregate_Race2000Onwards]","[]","Count_Person_Male_AsianAlone","2000","1","[P1Y]","[]"
"[dcAggregate/CensusPEPSurvey_PartialAggregate_Race2000Onwards]","[]","Count_Person_Female_TwoOrMoreRaces","2000","1","[P1Y]","[]"
"[dcAggregate/CensusPEPSurvey_PartialAggregate_Race2000Onwards]","[]","Count_Person_Male_WhiteAloneOrInCombinationWithOneOrMoreOtherRaces","2010","1","[P1Y]","[]"
"[dcAggregate/CensusPEPSurvey_PartialAggregate_Race2000Onwards]","[]","Count_Person_Female_BlackOrAfricanAmericanAloneOrInCombinationWithOneOrMoreOtherRaces","2010","1","[P1Y]","[]"
"[dcAggregate/CensusPEPSurvey_PartialAggregate_Race2000Onwards]","[]","Count_Person_Male_AmericanIndianAndAlaskaNativeAlone","2000","1","[P1Y]","[]"
"[dcAggregate/CensusPEPSurvey_PartialAggregate_Race2000Onwards]","[]","Count_Person_Male_NativeHawaiianAndOtherPacificIslanderAloneOrInCombinationWithOneOrMoreOtherRaces","2010","1","[P1Y]","[]"
"[dcAggregate/CensusPEPSurvey_PartialAggregate_Race2000Onwards]","[]","Count_Person_Female_WhiteAloneOrInCombinationWithOneOrMoreOtherRaces","2010","1","[P1Y]","[]"
"[dcAggregate/CensusPEPSurvey_PartialAggregate_Race2000Onwards]","[]","Count_Person_Male_WhiteAlone","2000","1","[P1Y]","[]"
"[dcAggregate/CensusPEPSurvey_PartialAggregate_Race2000Onwards]","[]","Count_Person_Female_AmericanIndianAndAlaskaNativeAlone","2000","1","[P1Y]","[]"
"[dcAggregate/CensusPEPSurvey_PartialAggregate_Race2000Onwards]","[]","Count_Person_Male_AmericanIndianAndAlaskaNativeAloneOrInCombinationWithOneOrMoreOtherRaces","2010","1","[P1Y]","[]"
"[dcAggregate/CensusPEPSurvey_PartialAggregate_Race2000Onwards]","[]","Count_Person_Male_BlackOrAfricanAmericanAlone","2000","1","[P1Y]","[]"
"[dcAggregate/CensusPEPSurvey_PartialAggregate_Race2000Onwards]","[]","Count_Person_Female_WhiteAlone","2000","1","[P1Y]","[]"
"[dcAggregate/CensusPEPSurvey_PartialAggregate_Race2000Onwards]","[]","Count_Person_Female_AmericanIndianAndAlaskaNativeAloneOrInCombinationWithOneOrMoreOtherRaces","2010","1","[P1Y]","[]"
"[dcAggregate/CensusPEPSurvey_PartialAggregate_Race2000Onwards]","[]","Count_Person_Female_NativeHawaiianAndOtherPacificIslanderAloneOrInCombinationWithOneOrMoreOtherRaces","2010","1","[P1Y]","[]"
