wikidataId,country=India,districtName,wikidataName
Q4726845,True,Alipurduar,Alipurduar district
Q2088458,True,Bankura,Bankura district
Q2088440,True,Birbhum,Birbhum district
Q2728658,True,Cooch Behar,Cooch Behar district
Q533839,True,Dakshin Dinajpur,Dakshin Dinajpur district
Q1134759,True,Darjeeling,Darjeeling district
Q548518,True,Hooghly,Hooghly district
Q1478937,True,Howrah,Howrah district
Q1351487,True,Jalpaiguri,Jalpaiguri district
Q29168456,True,Jhargram,Jhargram district
Q28769140,True,Kalimpong,Kalimpong district
Q2088496,True,Kolkata,Kolkata district
Q2049820,True,Malda,Malda district
Q1546240,True,Murshidabad,Murshidabad district
Q1143880,True,Nadia,Nadia district
Q338425,True,North 24 Parganas,North 24 Parganas district
Q808023,True,Paschim Bardhaman,Bardhaman district
Q1855537,True,Paschim Medinipur,Paschim Medinipur district
Q29257278,True,Purba Bardhaman,Purba Bardhaman district
Q1431920,True,Purba Medinipur,Purba Medinipur district
Q307474,True,Purulia,Purulia district
Q2308319,True,South 24 Parganas,South 24 Parganas district
Q2019766,True,Uttar Dinajpur,Uttar Dinajpur district
Q1805066,True,Almora,Almora district
Q1815313,True,Bageshwar,Bageshwar district
Q1797372,True,Chamoli,Chamoli district
Q288278,True,Champawat,Champawat district
Q1815740,True,Dehradun,Dehradun district
Q2270438,True,Haridwar,Haridwar district
Q1797306,True,Nainital,Nainital district
Q2085474,True,Pauri Garhwal,Pauri Garhwal district
Q1945425,True,Pithoragarh,Pithoragarh district
Q1805059,True,Rudraprayag,Rudraprayag district
Q1357107,True,Tehri Garhwal,Tehri Garhwal district
Q1805082,True,Udham Singh Nagar,Udham Singh Nagar district
Q1773437,True,Uttarkashi,Uttarkashi district
Q606343,True,Agra,Agra district
Q766918,True,Aligarh,Aligarh district
Q456764,True,Ambedkar Nagar,Ambedkar Nagar district
Q1071494,True,Amethi,Amethi district
Q1891677,True,Amroha,Amroha district
Q1812533,True,Auraiya,Auraiya district
Q1814132,True,Ayodhya,Ayodhya district
Q793553,True,Azamgarh,Azamgarh district
Q1797363,True,Baghpat,Bagpat district
Q1812548,True,Bahraich,Bahraich district
Q584644,True,Ballia,Ballia district
Q1948380,True,Balrampur,Balrampur district
Q2131759,True,Banda,Banda district
Q633114,True,Barabanki,Barabanki district
Q1797378,True,Bareilly,Bareilly district
Q715267,True,Basti,Basti district
Q127533,True,Bhadohi,Bhadohi district
Q1937865,True,Bijnor,Bijnor district
Q1815262,True,Budaun,Budaun district
Q1752328,True,Bulandshahr,Bulandshahr district
Q2733369,True,Chandauli,Chandauli district
Q2089141,True,Chitrakoot,Chitrakoot district
Q731746,True,Deoria,Deoria district
Q1773429,True,Etah,Etah district
Q1815288,True,Etawah,Etawah district
Q1897251,True,Farrukhabad,Farrukhabad district
Q1946829,True,Fatehpur,Fatehpur district
Q1946950,True,Firozabad,Firozabad district
Q1785950,True,Gautam Buddha Nagar,Gautam Buddh Nagar district
Q1773444,True,Ghaziabad,Ghaziabad district
Q1287993,True,Ghazipur,Ghazipur district
Q1937857,True,Gonda,Gonda district
Q1144349,True,Gorakhpur,Gorakhpur district
Q2019757,True,Hamirpur,Hamirpur district
Q5653340,True,Hapur,Hapur district
Q1772822,True,Hardoi,Hardoi district
Q1814892,True,Hathras,Hathras district
Q2089115,True,Jalaun,Jalaun district
Q1356060,True,Jaunpur,Jaunpur district
Q1937885,True,Jhansi,Jhansi district
Q627979,True,Kannauj,Kannauj district
Q610612,True,Kanpur Dehat,Kanpur Dehat district
Q2089152,True,Kanpur Nagar,Kanpur Nagar district
Q890800,True,Kasganj,Kasganj district
Q1946937,True,Kaushambi,Kaushambi district
Q1840355,True,Kushinagar,Kushinagar district
Q1755447,True,Lakhimpur Kheri,Lakhimpur Kheri district
Q1947336,True,Lalitpur,Lalitpur district
Q1773416,True,Lucknow,Lucknow district
