key,p1,v1,p2,v2,p3,v3,p4,v4,p5,v5,p6,v6
Population 31 Dec,statType,measuredValue,measuredProperty,count,populationType,Person,,,,,,
Increase of population,statType,growthRate,measuredProperty,count,populationType,Person,,,,,,
"Increase of population, %",statType,growthRate,measuredProperty,percentage,populationType,Person,unit,Percent,,,,
"Share of persons aged under 15, %",statType,measuredValue,measuredProperty,percentage,populationType,Person,age,Years UpTo 15,unit,Percent,,
"Share of persons aged 15 to 64, %",statType,measuredValue,measuredProperty,percentage,populationType,Person,age,Years 15 To 64,unit,Percent,,
"Share of persons aged 65 or over, %",statType,measuredValue,measuredProperty,percentage,populationType,Person,age,Years 65 Onwards,unit,Percent,,
Demographic dependency ratio,statType,measuredValue,measuredProperty,Age dependency ratio,populationType,Person,,,,,,
Economic dependency ratio,statType,measuredValue,measuredProperty,Economic dependency ratio,populationType,Person,,,,,,
"Average age, both sexes",statType,meanValue,measuredProperty,age,gender,"""""",populationType,Person,,,,
"Average age, men",statType,meanValue,measuredProperty,age,gender,Male,populationType,Person,,,,
"Average age, women",statType,meanValue,measuredProperty,age,gender,Female,populationType,Person,,,,
Finnish speakers,statType,measuredValue,measuredProperty,count,languageSpokenAtHome,Finnish,populationType,Person,,,,
"Share of Finnish speakers, %",statType,measuredValue,measuredProperty,percentage,languageSpokenAtHome,Finnish,populationType,Person,unit,Percent,,
Swedish speakers,statType,measuredValue,measuredProperty,count,languageSpokenAtHome,Swedish,populationType,Person,,,,
"Share of Swedish speakers, %",statType,measuredValue,measuredProperty,percentage,languageSpokenAtHome,Swedish,populationType,Person,unit,Percent,,
Sami speakers,statType,measuredValue,measuredProperty,count,languageSpokenAtHome,Sami,populationType,Person,,,,
Foreign-language speakers,statType,measuredValue,measuredProperty,count,languageSpokenAtHome,LanguageOtherThanFinnishAndSwedishAndSami,populationType,Person,,,,
"Share of foreign-language speakers, %",statType,measuredValue,measuredProperty,percentage,languageSpokenAtHome,LanguageOtherThanFinnishAndSwedishAndSami,populationType,Person,unit,Percent,,
Citizens of foreign countries,statType,measuredValue,measuredProperty,count,citizenship,ForeignCitizen,populationType,Person,,,,
"Share of foreign citizens, %",statType,measuredValue,measuredProperty,percentage,citizenship,ForeignCitizen,populationType,Person,unit,Percent,,
Persons born abroad,statType,measuredValue,measuredProperty,count,placeOfBirth,ForeignBorn,populationType,Person,,,,
"Share of persons born abroad, %",statType,measuredValue,measuredProperty,percentage,placeOfBirth,ForeignBorn,populationType,Person,unit,Percent,,
Persons with foreign background,statType,measuredValue,measuredProperty,count,citizenship,ForeignBackground,populationType,Person,,,,
"Share of persons with foreign background , %",statType,measuredValue,measuredProperty,percentage,citizenship,ForeignBackground,populationType,Person,unit,Percent,,
"Share of persons belonging to the Evangelical Lutheran Church, %",statType,measuredValue,measuredProperty,percentage,religiousOrientation,Lutheran Church – Missouri Synod,populationType,Person,unit,Percent,,
