key,p1,v1,p2,v2,p3,v3
Aimag,observationAbout,{Data},populationType,Person,measuredProperty,count
,,,,,,
Education level:Total,employmentStatus,Unemployed,,,,
Not educated,educationalAttainment,NoEducation,employmentStatus,Unemployed,,
Primary,enrollmentLevel,PrimaryEducation,employmentStatus,Unemployed,,
Lower secondry,schoolGradeLevel,LowerSecondaryEducation,employmentStatus,Unemployed,,
Upper secondary,schoolGradeLevel,UpperSecondaryEducation,employmentStatus,Unemployed,,
Technical and vocational,schoolGradeLevel,UpperSecondaryEducation,employmentStatus,Unemployed,,
Specialized secondary,schoolGradeLevel,SpecializedSecondarySchool,employmentStatus,Unemployed,,
"Diploma, Bachelor",educationalAttainment,BachelorsDegree__Diploma,employmentStatus,Unemployed,,
"Master, Ph.D",educationalAttainment,MastersDegree__DoctorateDegree,employmentStatus,Unemployed,,
Men,gender,Male,,,,
Women,gender,Female,,,,
,,,,,,
,,,,,,
2008M06,observationDate,2008-06,value,{Number},,
2008-01,observationDate,2008-01,value,{Number},,
2008-02,observationDate,2008-02,value,{Number},,
2008-03,observationDate,2008-03,value,{Number},,
2008-04,observationDate,2008-04,value,{Number},,
2008-05,observationDate,2008-05,value,{Number},,
2008-07,observationDate,2008-07,value,{Number},,
2008-08,observationDate,2008-08,value,{Number},,
2008-09,observationDate,2008-09,value,{Number},,
2008-10,observationDate,2008-10,value,{Number},,
2008-11,observationDate,2008-11,value,{Number},,
2008-12,observationDate,2008-12,value,{Number},,
2009M08,observationDate,2009-08,value,{Number},,
2009M10,observationDate,2009-10,value,{Number},,
2009-01,observationDate,2009-01,value,{Number},,
2009-02,observationDate,2009-02,value,{Number},,
2009-03,observationDate,2009-03,value,{Number},,
2009-04,observationDate,2009-04,value,{Number},,
2009-05,observationDate,2009-05,value,{Number},,
2009-06,observationDate,2009-06,value,{Number},,
2009-07,observationDate,2009-07,value,{Number},,
2009-09,observationDate,2009-09,value,{Number},,
2009-11,observationDate,2009-11,value,{Number},,
2009-12,observationDate,2009-12,value,{Number},,
2010M02,observationDate,2010-02,value,{Number},,
2010M06,observationDate,2010-06,value,{Number},,
2010-01,observationDate,2010-01,value,{Number},,
2010-03,observationDate,2010-03,value,{Number},,
2010-04,observationDate,2010-04,value,{Number},,
2010-05,observationDate,2010-05,value,{Number},,
2010-07,observationDate,2010-07,value,{Number},,
2010-08,observationDate,2010-08,value,{Number},,
2010-09,observationDate,2010-09,value,{Number},,
2010-10,observationDate,2010-10,value,{Number},,
2010-11,observationDate,2010-11,value,{Number},,
2010-12,observationDate,2010-12,value,{Number},,
2011-01,observationDate,2011-01,value,{Number},,
2011-02,observationDate,2011-02,value,{Number},,
2011-03,observationDate,2011-03,value,{Number},,
2011-04,observationDate,2011-04,value,{Number},,
2011-05,observationDate,2011-05,value,{Number},,
2011-06,observationDate,2011-06,value,{Number},,
2011-07,observationDate,2011-07,value,{Number},,
2011-08,observationDate,2011-08,value,{Number},,
2011-09,observationDate,2011-09,value,{Number},,
2011-10,observationDate,2011-10,value,{Number},,
2011-11,observationDate,2011-11,value,{Number},,
2011-12,observationDate,2011-12,value,{Number},,
2012-01,observationDate,2012-01,value,{Number},,
2012-02,observationDate,2012-02,value,{Number},,
2012-03,observationDate,2012-03,value,{Number},,
2012-04,observationDate,2012-04,value,{Number},,
2012-05,observationDate,2012-05,value,{Number},,
2012-06,observationDate,2012-06,value,{Number},,
2012-07,observationDate,2012-07,value,{Number},,
2012-08,observationDate,2012-08,value,{Number},,
2012-09,observationDate,2012-09,value,{Number},,
2012-10,observationDate,2012-10,value,{Number},,
2012-11,observationDate,2012-11,value,{Number},,
2012-12,observationDate,2012-12,value,{Number},,
2013-01,observationDate,2013-01,value,{Number},,
2013-02,observationDate,2013-02,value,{Number},,
2013-03,observationDate,2013-03,value,{Number},,
2013-04,observationDate,2013-04,value,{Number},,
2013-05,observationDate,2013-05,value,{Number},,
2013-06,observationDate,2013-06,value,{Number},,
2013-07,observationDate,2013-07,value,{Number},,
2013-08,observationDate,2013-08,value,{Number},,
2013-09,observationDate,2013-09,value,{Number},,
2013-10,observationDate,2013-10,value,{Number},,
2013-11,observationDate,2013-11,value,{Number},,
2013-12,observationDate,2013-12,value,{Number},,
2014-01,observationDate,2014-01,value,{Number},,
2014-02,observationDate,2014-02,value,{Number},,
2014-03,observationDate,2014-03,value,{Number},,
2014-04,observationDate,2014-04,value,{Number},,
2014-05,observationDate,2014-05,value,{Number},,
2014-06,observationDate,2014-06,value,{Number},,
2014-07,observationDate,2014-07,value,{Number},,
2014-08,observationDate,2014-08,value,{Number},,
2014-09,observationDate,2014-09,value,{Number},,
2014-10,observationDate,2014-10,value,{Number},,
2014-11,observationDate,2014-11,value,{Number},,
2014-12,observationDate,2014-12,value,{Number},,
2015-01,observationDate,2015-01,value,{Number},,
2015-02,observationDate,2015-02,value,{Number},,
2015-03,observationDate,2015-03,value,{Number},,
2015-04,observationDate,2015-04,value,{Number},,
2015-05,observationDate,2015-05,value,{Number},,
2015-06,observationDate,2015-06,value,{Number},,
2015-07,observationDate,2015-07,value,{Number},,
2015-08,observationDate,2015-08,value,{Number},,
2015-09,observationDate,2015-09,value,{Number},,
2015-10,observationDate,2015-10,value,{Number},,
2015-11,observationDate,2015-11,value,{Number},,
2015-12,observationDate,2015-12,value,{Number},,
2016-01,observationDate,2016-01,value,{Number},,
2016-03,observationDate,2016-03,value,{Number},,
