key,prop,value,,,,,,,,,,,,,,,,,,,,
observationAbout,observationAbout,{Data},employment,Unemployed,populationType,Person,measuredProperty,count,statType,dcs:measuredValue,PlaceOfResidenceClassification,,Age,,Gender,,EducationalAttainment,,LevelOfSchool,,#End,#value
15–19 éves,age,[15 19 Years],Age,15–19 éves,,,,,,,,,,,,,,,,,,
20–24 éves,age,[20 24 Years],Age,20–24 éves,,,,,,,,,,,,,,,,,,
25–29 éves,age,[25 29 Years],Age,25–29 éves,,,,,,,,,,,,,,,,,,
30–34 éves,age,[30 34 Years],Age,30–34 éves,,,,,,,,,,,,,,,,,,
35–39 éves,age,[35 39 Years],Age,35–39 éves,,,,,,,,,,,,,,,,,,
40–44 éves,age,[40 44 Years],Age,40–44 éves,,,,,,,,,,,,,,,,,,
45–49 éves,age,[45 49 Years],Age,45–49 éves,,,,,,,,,,,,,,,,,,
50–54 éves,age,[50 54 Years],Age,50–54 éves,,,,,,,,,,,,,,,,,,
55–59 éves,age,[55 90 Years],Age,55–59 éves,,,,,,,,,,,,,,,,,,
60–64 éves,age,[60 64 Years],Age,60–64 éves,,,,,,,,,,,,,,,,,,
65–69 éves,age,[65 69 Years],Age,65–69 éves,,,,,,,,,,,,,,,,,,
70 éves és idősebb,age,[70 - Years],Age,70 éves és idősebb,,,,,,,,,,,,,,,,,,
2022,observationDate,2022,,,,,,,,,,,,,,,,,,,,
Összesen,value,{Number},nameWithLanguage,"""{Age} {Gender} {PlaceOfResidenceClassification} {LevelOfSchool} {EducationalAttainment} népesség @hu""",,,,,,,,,,,,,,,,,,
Férfi,value,{Number},gender,Male,Gender,Férfi,nameWithLanguage,"""{Age} {Gender} {PlaceOfResidenceClassification} {LevelOfSchool} {EducationalAttainment} népesség @hu""",,,,,,,,,,,,,,
Nő,value,{Number},gender,Female,Gender,Nő,nameWithLanguage,"""{Age} {Gender} {PlaceOfResidenceClassification} {LevelOfSchool} {EducationalAttainment} népesség @hu""",,,,,,,,,,,,,,
Város(ok),placeOfResidenceClassification,Urban,PlaceOfResidenceClassification,Város(ok),,,,,,,,,,,,,,,,,,
Község(ek),placeOfResidenceClassification,Rural,PlaceOfResidenceClassification,Község(ek),,,,,,,,,,,,,,,,,,
Általános iskola 8. évfolyamnál alacsonyabb,educationalAttainment,LowerThan8ThGrade,schoolGradeLevel,PrimarySchool,EducationalAttainment,Általános iskola 8. évfolyamnál alacsonyabb,,,,,,,,,,,,,,,,
Általános iskola 8. évfolyam,educationalAttainment,Completed8ThGrade,schoolGradeLevel,PrimarySchool,EducationalAttainment,Általános iskola 8. évfolyam,,,,,,,,,,,,,,,,
"Középfokú iskola érettségi nélkül, szakmai oklevéllel",levelOfSchool,SecondarySchool,examStatus,WithoutFinalExamination__WithFinalVocationalExam,LevelOfSchool,"Középfokú iskola érettségi nélkül, szakmai oklevéllel",populationType,School,measuredProperty,count,statType,dcs:measuredValue,,,,,,,,,,
Érettségi,levelOfSchool,SecondarySchool,examStatus,WithFinalExamination,LevelOfSchool,Érettségi,populationType,School,measuredProperty,count,statType,dcs:measuredValue,,,,,,,,,,
"Egyetem, főiskola stb. oklevéllel",educationalAttainment,TertiaryEducation,EducationalAttainment,Egyetem főiskola stb. oklevéllel,,,,,,,,,,,,,,,,,,
