place_name,dcid
Magyarország,country/HUN
Budapest,nuts/HU101
Budapest 01. ker.,wikidataId/Q1094308
Budapest 02. ker.,wikidataId/Q1068701
Budapest 03. ker.,wikidataId/Q580770
Budapest 04. ker.,wikidataId/Q330195
Budapest 05. ker.,wikidataId/Q1042732
Budapest 06. ker.,wikidataId/Q697679
Budapest 07. ker.,wikidataId/Q284541
Budapest 08. ker.,wikidataId/Q597182
Budapest 09. ker.,wikidataId/Q301411
Budapest 10. ker.,wikidataId/Q249498
Budapest 11. ker.,wikidataId/Q330026
Budapest 12. ker.,wikidataId/Q974038
Budapest 13. ker.,wikidataId/Q851023
Budapest 14. ker.,wikidataId/Q228445
Budapest 15. ker.,wikidataId/Q858351
Budapest 16. ker.,wikidataId/Q851040
Budapest 17. ker.,wikidataId/Q851045
Budapest 18. ker.,wikidataId/Q11384977
Budapest 19. ker.,wikidataId/Q857943
Budapest 20. ker.,wikidataId/Q851057
Budapest 21. ker.,wikidataId/Q613220
Budapest 22. ker.,wikidataId/Q370152
Budapest 23. ker.,wikidataId/Q851062
Budapest kerületre nem bontható adatai,
Pest,wikidataId/Q210205
Pest vármegye,wikidataId/Q188612
Aszódi járás,wikidataId/Q779802
Budakeszi járás,wikidataId/Q376273
Ceglédi járás,wikidataId/Q851960
Dabasi járás,wikidataId/Q854287
Dunakeszi járás,wikidataId/Q853136
Érdi járás,wikidataId/Q722573
Gödöllői járás,wikidataId/Q853188
Gyáli járás,wikidataId/Q853181
Monori járás,wikidataId/Q612006
Nagykátai járás,wikidataId/Q831162
Nagykőrösi járás,wikidataId/Q16522077
Pilisvörösvári járás,wikidataId/Q853874
Ráckevei járás,wikidataId/Q538324
Szentendrei járás,wikidataId/Q854326
Szigetszentmiklósi járás,wikidataId/Q14942540
Szobi járás,wikidataId/Q853088
Váci járás,wikidataId/Q742957
Vecsési járás,wikidataId/Q16523679
Közép-Dunántúl régió,nuts/HU21
Fejér vármegye,wikidataId/Q187693
Bicskei járás,wikidataId/Q794634
Dunaújvárosi járás,wikidataId/Q187812
Enyingi járás,wikidataId/Q659118
Gárdonyi járás,wikidataId/Q853097
Martonvásári járás,wikidataId/Q852256
Móri járás,wikidataId/Q659414
Sárbogárdi járás,wikidataId/Q852250
Székesfehérvári járás,wikidataId/Q853167
Komárom-Esztergom vármegye,wikidataId/Q190018
Esztergomi járás,wikidataId/Q509653
Kisbéri járás,wikidataId/Q15708845
Komáromi járás,wikidataId/Q586056
Oroszlányi járás,wikidataId/Q921248
Tatabányai járás,wikidataId/Q784421
Tatai járás,wikidataId/Q921300
Veszprém vármegye,wikidataId/Q188890
Ajkai járás,wikidataId/Q554544
Balatonalmádi járás,wikidataId/Q789244
Balatonfüredi járás,wikidataId/Q3030968
Devecseri járás,wikidataId/Q853744
Pápai járás,wikidataId/Q238748
Sümegi járás,wikidataId/Q176677
Tapolcai járás,wikidataId/Q830847
Várpalotai járás,wikidataId/Q668436
Veszprémi járás,wikidataId/Q585975
Zirci járás,wikidataId/Q3032015
Nyugat-Dunántúl régió,nuts/HU22
Győr-Moson-Sopron vármegye,wikidataId/Q187753
Csornai járás,wikidataId/Q874532
Győri járás,wikidataId/Q1030726
Kapuvári járás,wikidataId/Q681098
Mosonmagyaróvári járás,wikidataId/Q921261
Pannonhalmi járás,wikidataId/Q15275777
Soproni járás,wikidataId/Q694723
Téti járás,wikidataId/Q266289
Vas vármegye,wikidataId/Q187677
Celldömölki járás,wikidataId/Q3031098
Körmendi járás,wikidataId/Q536394
Kőszegi járás,wikidataId/Q831516
Sárvári járás,wikidataId/Q831501
Szentgotthárdi járás,wikidataId/Q830857
Szombathelyi járás,wikidataId/Q830871
Vasvári járás,wikidataId/Q774552
Zala vármegye,wikidataId/Q185374
Keszthelyi járás,wikidataId/Q15075381
Lenti járás,wikidataId/Q262110
Letenyei járás,wikidataId/Q656097
Nagykanizsai járás,wikidataId/Q388398
Zalaegerszegi járás,wikidataId/Q656093
Zalaszentgróti járás,wikidataId/Q3032008
Dél-Dunántúl régió,nuts/HU23
Baranya vármegye,wikidataId/Q186195
Bólyi járás,wikidataId/Q854943
Hegyháti járás,wikidataId/Q3031288
Komlói járás,wikidataId/Q1070048
Mohácsi járás,wikidataId/Q948656
Pécsi járás,wikidataId/Q594019
Pécsváradi járás,wikidataId/Q615758
