Date,StateCode,value,StatVar,unit
2017-03-01,country/IND,35945.76,Annual_Generation_Electricity_Coal,GigawattHour
2017-03-01,country/IND,1278.43,Annual_Generation_Electricity_PumpedHydro,GigawattHour
2017-03-01,country/IND,10069.73,Annual_Generation_Electricity_Coal,GigawattHour
2017-03-01,country/IND,25661.73,Annual_Generation_Electricity_Coal,GigawattHour
2017-03-01,country/IND,1560.85,Annual_Generation_Electricity_PumpedHydro,GigawattHour
2017-03-01,country/IND,1433.949,Annual_Generation_Electricity_Bagasse,GigawattHour
2017-03-01,country/IND,120.859,Annual_Generation_Electricity_PumpedHydro,GigawattHour
2017-03-01,country/IND,14.968,Annual_Generation_Electricity_Solar,GigawattHour
2017-03-01,country/IND,0.0,Annual_Generation_Electricity_RenewableEnergy,GigawattHour
2017-03-01,country/IND,0.0,Annual_Generation_Electricity_Wind,GigawattHour
2017-03-01,country/IND,0.0,Annual_Generation_Electricity_PumpedHydro,GigawattHour
2017-03-01,country/IND,1727.578,Annual_Generation_Electricity_Coal,GigawattHour
2017-03-01,country/IND,118.373,Annual_Generation_Electricity_DieselOil,GigawattHour
2017-03-01,country/IND,1198.321,Annual_Generation_Electricity_NaturalGas,GigawattHour
2017-03-01,country/IND,0.017,Annual_Generation_Electricity_Solar,GigawattHour
2017-03-01,country/IND,12.095,Annual_Generation_Electricity_Wind,GigawattHour
2018-03-01,country/IND,35565.81,Annual_Generation_Electricity_Coal,GigawattHour
2018-03-01,country/IND,996.43,Annual_Generation_Electricity_PumpedHydro,GigawattHour
2018-03-01,country/IND,10890.52,Annual_Generation_Electricity_Coal,GigawattHour
2018-03-01,country/IND,25970.44,Annual_Generation_Electricity_Coal,GigawattHour
2018-03-01,country/IND,1282.02,Annual_Generation_Electricity_PumpedHydro,GigawattHour
2018-03-01,country/IND,1387.01,Annual_Generation_Electricity_Bagasse,GigawattHour
2018-03-01,country/IND,183.05,Annual_Generation_Electricity_PumpedHydro,GigawattHour
2018-03-01,country/IND,20.55,Annual_Generation_Electricity_Solar,GigawattHour
2018-03-01,country/IND,0.0,Annual_Generation_Electricity_RenewableEnergy,GigawattHour
2018-03-01,country/IND,0.0,Annual_Generation_Electricity_Wind,GigawattHour
2018-03-01,country/IND,0.0,Annual_Generation_Electricity_PumpedHydro,GigawattHour
2018-03-01,country/IND,4391.72,Annual_Generation_Electricity_Coal,GigawattHour
2018-03-01,country/IND,35.839,Annual_Generation_Electricity_DieselOil,GigawattHour
2018-03-01,country/IND,1286.151,Annual_Generation_Electricity_NaturalGas,GigawattHour
2018-03-01,country/IND,0.162,Annual_Generation_Electricity_Solar,GigawattHour
2018-03-01,country/IND,0.0,Annual_Generation_Electricity_Wind,GigawattHour
2019-03-01,country/IND,38074.01,Annual_Generation_Electricity_Coal,GigawattHour
2019-03-01,country/IND,1381.87,Annual_Generation_Electricity_PumpedHydro,GigawattHour
2019-03-01,country/IND,10990.92,Annual_Generation_Electricity_Coal,GigawattHour
2019-03-01,country/IND,24967.32,Annual_Generation_Electricity_Coal,GigawattHour
2019-03-01,country/IND,1537.94,Annual_Generation_Electricity_PumpedHydro,GigawattHour
2019-03-01,country/IND,1284.494,Annual_Generation_Electricity_Bagasse,GigawattHour
2019-03-01,country/IND,161.854,Annual_Generation_Electricity_PumpedHydro,GigawattHour
2019-03-01,country/IND,40.651,Annual_Generation_Electricity_Solar,GigawattHour
2019-03-01,country/IND,0.0,Annual_Generation_Electricity_RenewableEnergy,GigawattHour
2019-03-01,country/IND,0.0,Annual_Generation_Electricity_Wind,GigawattHour
2019-03-01,country/IND,0.0,Annual_Generation_Electricity_PumpedHydro,GigawattHour
2019-03-01,country/IND,1046.833,Annual_Generation_Electricity_Coal,GigawattHour
2019-03-01,country/IND,62.321,Annual_Generation_Electricity_DieselOil,GigawattHour
2019-03-01,country/IND,1206.71,Annual_Generation_Electricity_NaturalGas,GigawattHour
2019-03-01,country/IND,8.146,Annual_Generation_Electricity_Solar,GigawattHour
2019-03-01,country/IND,0.0,Annual_Generation_Electricity_Wind,GigawattHour
2020-03-01,country/IND,37461.02,Annual_Generation_Electricity_Coal,GigawattHour
2020-03-01,country/IND,1404.63,Annual_Generation_Electricity_PumpedHydro,GigawattHour
2020-03-01,country/IND,10577.51,Annual_Generation_Electricity_Coal,GigawattHour
2020-03-01,country/IND,23356.86,Annual_Generation_Electricity_Coal,GigawattHour
2020-03-01,country/IND,1511.75,Annual_Generation_Electricity_PumpedHydro,GigawattHour
2020-03-01,country/IND,1296.344,Annual_Generation_Electricity_Bagasse,GigawattHour
2020-03-01,country/IND,115.681,Annual_Generation_Electricity_PumpedHydro,GigawattHour
2020-03-01,country/IND,64.291,Annual_Generation_Electricity_Solar,GigawattHour
2020-03-01,country/IND,0.0,Annual_Generation_Electricity_RenewableEnergy,GigawattHour
2020-03-01,country/IND,0.0,Annual_Generation_Electricity_Wind,GigawattHour
2020-03-01,country/IND,0.0,Annual_Generation_Electricity_PumpedHydro,GigawattHour
2020-03-01,country/IND,3445.807,Annual_Generation_Electricity_Coal,GigawattHour
2020-03-01,country/IND,37.479,Annual_Generation_Electricity_DieselOil,GigawattHour
2020-03-01,country/IND,1058.145,Annual_Generation_Electricity_NaturalGas,GigawattHour
2020-03-01,country/IND,22.197,Annual_Generation_Electricity_Solar,GigawattHour
2020-03-01,country/IND,0.0,Annual_Generation_Electricity_Wind,GigawattHour
2006-03-01,country/IND,7684.0,Annual_Generation_Electricity_Coal,GigawattHour
2006-03-01,country/IND,17284.85,Annual_Generation_Electricity_Coal,GigawattHour
2006-03-01,country/IND,468.21,Annual_Generation_Electricity_PumpedHydro,GigawattHour
2006-03-01,country/IND,7630.6,Annual_Generation_Electricity_Coal,GigawattHour
