"StatVar","Units","MeasurementMethods","ScalingFactors","MinDate","observationPeriods","NumPlaces"
"Offense_Count_CriminalIncidents_Robbery_IsHateCrime","[]","[]","[]","2020","[P1Y]","52"
"Offense_Count_CriminalIncidents_OtherCrimesAgainstProperty_IsHateCrime","[]","[]","[]","2020","[P1Y]","52"
"Offense_Count_CriminalIncidents_MotorVehicleTheft_IsHateCrime","[]","[]","[]","2020","[P1Y]","52"
"Offense_Count_CriminalIncidents_MurderAndNonNegligentManslaughter_IsHateCrime","[]","[]","[]","2020","[P1Y]","52"
"Offense_Count_CriminalIncidents_HumanTraffickingCommercialSexActs_IsHateCrime","[]","[]","[]","2022","[P1Y]","52"
"Offense_Count_CriminalIncidents_DestructionOrDamageOrVandalismOfProperty_IsHateCrime","[]","[]","[]","2020","[P1Y]","52"
"Offense_Count_CriminalIncidents_OtherCrimesAgainstPerson_IsHateCrime","[]","[]","[]","2020","[P1Y]","52"
"Offense_Count_CriminalIncidents_CrimeAgainstSociety_IsHateCrime","[]","[]","[]","2020","[P1Y]","52"
"Offense_Count_CriminalIncidents_SimpleAssault_IsHateCrime","[]","[]","[]","2020","[P1Y]","52"
"Offense_Count_CriminalIncidents_LarcenyTheft_IsHateCrime","[]","[]","[]","2020","[P1Y]","52"
"Offense_Count_CriminalIncidents_Arson_IsHateCrime","[]","[]","[]","2020","[P1Y]","52"
"Offense_Count_CriminalIncidents_IsHateCrime","[]","[]","[]","2020","[P1Y]","52"
"Offense_Count_CriminalIncidents_Burglary_IsHateCrime","[]","[]","[]","2020","[P1Y]","52"
"Offense_Count_CriminalIncidents_AggravatedAssault_IsHateCrime","[]","[]","[]","2020","[P1Y]","52"
"Offense_Count_CriminalIncidents_Intimidation_IsHateCrime","[]","[]","[]","2020","[P1Y]","52"
"Offense_Count_CriminalIncidents_ForcibleRape_IsHateCrime","[]","[]","[]","2020","[P1Y]","52"
