"ScalingFactors","Units","observationPeriods","StatVar","NumPlaces","MeasurementMethods","MinDate"
"[]","[]","[P1Y]","Offense_Count_CriminalIncidents_BiasMotivationSexualOrientation_CrimeAgainstSociety_IsHateCrime_Lesbian","1","[]","2020"
"[]","[]","[P1Y]","Offense_Count_CriminalIncidents_BiasMotivationSexualOrientation_IsHateCrime_OffenderRaceAmericanIndianOrAlaskaNativeAlone_Bisexual","1","[]","2020"
"[]","[]","[P1Y]","Victim_Count_CriminalIncidents_BiasMotivationRace_Burglary_IsHateCrime_TwoOrMoreRaces","1","[]","2020"
"[]","[]","[P1Y]","Offense_Count_CriminalIncidents_BiasMotivationReligion_CrimeAgainstSociety_IsHateCrime_Hinduism","1","[]","2020"
"[]","[]","[P1Y]","Offense_Count_CriminalIncidents_MurderAndNonNegligentManslaughter_IsHateCrime_OffenderRaceAsianAlone","1","[]","2020"
"[]","[]","[P1Y]","Victim_Count_CriminalIncidents_BiasMotivationGender_MotorVehicleTheft_IsHateCrime_Female","1","[]","2020"
"[]","[]","[P1Y]","Victim_Count_CriminalIncidents_SimpleAssault_IsHateCrime","1","[]","2020"
"[]","[]","[P1Y]","Offender_Count_CriminalIncidents_BiasMotivationRaceOrEthnicity_IsHateCrime_KnownOffender","1","[]","2020"
"[]","[]","[P1Y]","Offense_Count_CriminalIncidents_BiasMotivationGender_IsHateCrime_OffenderRaceWhiteAlone","1","[]","2020"
"[]","[]","[P1Y]","Victim_Count_CriminalIncidents_BiasMotivationMultipleBias_OtherCrimesAgainstPerson_IsHateCrime","1","[]","2020"
"[]","[]","[P1Y]","Offense_Count_CriminalIncidents_BiasMotivationRaceOrEthnicity_HumanTraffickingCommercialSexActs_IsHateCrime","1","[]","2022"
"[]","[]","[P1Y]","Victim_Count_CriminalIncidents_BiasMotivationReligion_CrimeAgainstSociety_IsHateCrime_Sikhism","1","[]","2020"
"[]","[]","[P1Y]","Offense_Count_CriminalIncidents_BiasMotivationDisabilityStatus_IsHateCrime_OffenderRaceUnknownRace_PhysicalDisability","1","[]","2020"
"[]","[]","[P1Y]","Offense_Count_CriminalIncidents_BiasMotivationGender_HumanTraffickingCommercialSexActs_IsHateCrime_Male","1","[]","2022"
"[]","[]","[P1Y]","Offense_Count_CriminalIncidents_BiasMotivationSexualOrientation_IsHateCrime_OffenderRaceUnknownRace","1","[]","2020"
"[]","[]","[P1Y]","Offense_Count_CriminalIncidents_BiasMotivationRace_IsHateCrime_UnknownOffender_WhiteAlone","1","[]","2020"
"[]","[]","[P1Y]","Offense_Count_CriminalIncidents_BiasMotivationSexualOrientation_IsHateCrime_UnknownOffender_Lesbian","1","[]","2020"
"[]","[]","[P1Y]","Offense_Count_CriminalIncidents_BiasMotivationMultipleBias_MotorVehicleTheft_IsHateCrime","1","[]","2020"
"[]","[]","[P1Y]","Offense_Count_CriminalIncidents_BiasMotivationReligion_IsHateCrime_OffenderEthnicityMultipleEthnicity_EasternChristianity","1","[]","2020"
"[]","[]","[P1Y]","Offense_Count_CriminalIncidents_MurderAndNonNegligentManslaughter_IsHateCrime_OffenderEthnicityUnknownEthnicity_UnknownOffender","1","[]","2020"
"[]","[]","[P1Y]","Victim_Count_CriminalIncidents_BiasMotivationRace_Arson_IsHateCrime_Arab","1","[]","2020"
"[]","[]","[P1Y]","Offense_Count_CriminalIncidents_BiasMotivationSexualOrientation_MurderAndNonNegligentManslaughter_IsHateCrime_LGBT","1","[]","2020"
"[]","[]","[P1Y]","Offense_Count_CriminalIncidents_BiasMotivationReligion_IsHateCrime_OffenderRaceAsianAlone_Judaism","1","[]","2020"
"[]","[]","[P1Y]","Offense_Count_CriminalIncidents_CrimeAgainstProperty_IsHateCrime_VictimTypeBusiness","1","[]","2020"
"[]","[]","[P1Y]","Offense_Count_CriminalIncidents_BiasMotivationReligion_IsHateCrime_OffenderRaceAsianAlone_Catholicism","1","[]","2020"
"[]","[]","[P1Y]","Offense_Count_CriminalIncidents_BiasMotivationSexualOrientation_IsHateCrime_OffenderRaceAsianAlone_LGBT","1","[]","2020"
"[]","[]","[P1Y]","Count_CriminalIncidents_BiasMotivationSexualOrientation_IsHateCrime_LocationOfCrimeCommunityCenter","1","[]","2020"
"[]","[]","[P1Y]","Offense_Count_CriminalIncidents_BiasMotivationTransgenderOrGenderNonConforming_IsHateCrime_OffenderEthnicityHispanicOrLatino","1","[]","2020"
"[]","[]","[P1Y]","Victim_Count_CriminalIncidents_BiasMotivationReligion_OtherCrimesAgainstPerson_IsHateCrime","1","[]","2020"
"[]","[]","[P1Y]","Offense_Count_CriminalIncidents_BiasMotivationTransgenderOrGenderNonConforming_DestructionOrDamageOrVandalismOfProperty_IsHateCrime","1","[]","2020"
"[]","[]","[P1Y]","Offense_Count_CriminalIncidents_BiasMotivationMultipleBias_SimpleAssault_IsHateCrime","1","[]","2020"
"[]","[]","[P1Y]","Offense_Count_CriminalIncidents_BiasMotivationGender_MotorVehicleTheft_IsHateCrime_GenderNonConforming","1","[]","2020"
"[]","[]","[P1Y]","Count_CriminalIncidents_BiasMotivationMultipleBias_IsHateCrime_LocationOfCrimeTribalLands","1","[]","2020"
"[]","[]","[P1Y]","Offense_Count_CriminalIncidents_BiasMotivationReligion_IsHateCrime_OffenderRaceWhiteAlone_OtherReligion","1","[]","2020"
"[]","[]","[P1Y]","Offender_Count_CriminalIncidents_IsHateCrime_18OrMoreYears_KnownOffenderAge","1","[]","2020"
"[]","[]","[P1Y]","Offense_Count_CriminalIncidents_BiasMotivationReligion_AggravatedAssault_IsHateCrime","1","[]","2020"
"[]","[]","[P1Y]","Victim_Count_CriminalIncidents_DestructionOrDamageOrVandalismOfProperty_IsHateCrime","1","[]","2020"
"[]","[]","[P1Y]","Victim_Count_CriminalIncidents_BiasMotivationSexualOrientation_LarcenyTheft_IsHateCrime_LGBT","1","[]","2020"
"[]","[]","[P1Y]","Victim_Count_CriminalIncidents_BiasMotivationRace_MotorVehicleTheft_IsHateCrime_White","1","[]","2020"
"[]","[]","[P1Y]","Victim_Count_CriminalIncidents_BiasMotivationSexualOrientation_ForcibleRape_IsHateCrime","1","[]","2020"
"[]","[]","[P1Y]","Victim_Count_CriminalIncidents_BiasMotivationGender_Arson_IsHateCrime_Male","1","[]","2020"
"[]","[]","[P1Y]","Offense_Count_CriminalIncidents_BiasMotivationMultipleBias_ForcibleRape_IsHateCrime","1","[]","2020"
"[]","[]","[P1Y]","Offense_Count_CriminalIncidents_BiasMotivationReligion_CrimeAgainstSociety_IsHateCrime_Mormonism","1","[]","2020"
"[]","[]","[P1Y]","Offense_Count_CriminalIncidents_BiasMotivationGender_MotorVehicleTheft_IsHateCrime_Male","1","[]","2020"
"[]","[]","[P1Y]","Count_CriminalIncidents_BiasMotivationSexualOrientation_IsHateCrime_LocationOfCrimeBankOrSavingsAndLoan","1","[]","2020"
"[]","[]","[P1Y]","Count_CriminalIncidents_BiasMotivationReligion_IsHateCrime_VictimTypePerson","1","[]","2020"
"[]","[]","[P1Y]","Victim_Count_CriminalIncidents_BiasMotivationRace_OtherCrimesAgainstProperty_IsHateCrime_White","1","[]","2020"
"[]","[]","[P1Y]","Offense_Count_CriminalIncidents_HumanTraffickingCommercialSexActs_IsHateCrime_OffenderRaceAmericanIndianOrAlaskaNativeAlone","1","[]","2022"
"[]","[]","[P1Y]","Offense_Count_CriminalIncidents_BiasMotivationGender_IsHateCrime_OffenderRaceAmericanIndianOrAlaskaNativeAlone_Female","1","[]","2020"
"[]","[]","[P1Y]","Victim_Count_CriminalIncidents_BiasMotivationSexualOrientation_Robbery_IsHateCrime_LGBT","1","[]","2020"
"[]","[]","[P1Y]","Victim_Count_CriminalIncidents_MotorVehicleTheft_IsHateCrime","1","[]","2020"
"[]","[]","[P1Y]","Victim_Count_CriminalIncidents_BiasMotivationReligion_LarcenyTheft_IsHateCrime_Judaism","1","[]","2020"
"[]","[]","[P1Y]","Count_CriminalIncidents_BiasMotivationMultipleBias_IsHateCrime","1","[]","2020"
"[]","[]","[P1Y]","Offense_Count_CriminalIncidents_BiasMotivationGender_ForcibleRape_IsHateCrime_Male","1","[]","2020"
"[]","[]","[P1Y]","Victim_Count_CriminalIncidents_BiasMotivationReligion_DestructionOrDamageOrVandalismOfProperty_IsHateCrime_Sikhism","1","[]","2020"
"[]","[]","[P1Y]","Offense_Count_CriminalIncidents_BiasMotivationRace_MotorVehicleTheft_IsHateCrime_Arab","1","[]","2020"
"[]","[]","[P1Y]","Victim_Count_CriminalIncidents_BiasMotivationSexualOrientation_Intimidation_IsHateCrime_Heterosexual","1","[]","2020"
"[]","[]","[P1Y]","Count_CriminalIncidents_BiasMotivationMultipleBias_IsHateCrime_LocationOfCrimeIndustrialSite","1","[]","2020"
"[]","[]","[P1Y]","Victim_Count_CriminalIncidents_BiasMotivationSingleBias_HumanTraffickingCommercialSexActs_IsHateCrime","1","[]","2022"
"[]","[]","[P1Y]","Offense_Count_CriminalIncidents_BiasMotivationSexualOrientation_IsHateCrime_OffenderRaceBlackOrAfricanAmericanAlone_Lesbian","1","[]","2020"
"[]","[]","[P1Y]","Count_CriminalIncidents_BiasMotivationRaceOrEthnicity_IsHateCrime_VictimTypePerson","1","[]","2020"
"[]","[]","[P1Y]","Count_CriminalIncidents_BiasMotivationTransgenderOrGenderNonConforming_IsHateCrime_LocationOfCrimeLodgingBusiness","1","[]","2020"
"[]","[]","[P1Y]","Count_CriminalIncidents_BiasMotivationMultipleBias_IsHateCrime_LocationOfCrimeAmusementPark","1","[]","2020"
"[]","[]","[P1Y]","Offense_Count_CriminalIncidents_BiasMotivationEthnicity_IsHateCrime_OffenderRaceAmericanIndianOrAlaskaNativeAlone_NotHispanicOrLatino","1","[]","2020"
"[]","[]","[P1Y]","Count_CriminalIncidents_BiasMotivationSexualOrientation_IsHateCrime_Gay","1","[]","2020"
"[]","[]","[P1Y]","Count_CriminalIncidents_BiasMotivationRaceOrEthnicity_IsHateCrime_LocationOfCrimeSelfStorage","1","[]","2020"
"[]","[]","[P1Y]","Count_CriminalIncidents_BiasMotivationReligion_IsHateCrime_VictimTypeBusiness","1","[]","2020"
"[]","[]","[P1Y]","Offense_Count_CriminalIncidents_BiasMotivationRace_IsHateCrime_OffenderRaceTwoOrMoreRaces_BlackOrAfricanAmericanAlone","1","[]","2020"
"[]","[]","[P1Y]","Offense_Count_CriminalIncidents_BiasMotivationSexualOrientation_IsHateCrime_OffenderEthnicityHispanicOrLatino_Gay","1","[]","2020"
"[]","[]","[P1Y]","Offense_Count_CriminalIncidents_BiasMotivationSingleBias_IsHateCrime_OffenderEthnicityNotHispanicOrLatino","1","[]","2020"
"[]","[]","[P1Y]","Offense_Count_CriminalIncidents_BiasMotivationDisabilityStatus_DestructionOrDamageOrVandalismOfProperty_IsHateCrime_MentalDisability","1","[]","2020"
"[]","[]","[P1Y]","Offense_Count_CriminalIncidents_BiasMotivationRace_Robbery_IsHateCrime_AmericanIndianOrAlaskaNativeAlone","1","[]","2020"
"[]","[]","[P1Y]","Offense_Count_CriminalIncidents_AggravatedAssault_IsHateCrime_OffenderRaceAmericanIndianOrAlaskaNativeAlone","1","[]","2020"
"[]","[]","[P1Y]","Offense_Count_CriminalIncidents_BiasMotivationReligion_HumanTraffickingCommercialSexActs_IsHateCrime_EasternChristianity","1","[]","2022"
"[]","[]","[P1Y]","Offense_Count_CriminalIncidents_BiasMotivationDisabilityStatus_Robbery_IsHateCrime_MentalDisability","1","[]","2020"
"[]","[]","[P1Y]","Victim_Count_CriminalIncidents_BiasMotivationRace_Burglary_IsHateCrime_White","1","[]","2020"
"[]","[]","[P1Y]","Offense_Count_CriminalIncidents_BiasMotivationRace_LarcenyTheft_IsHateCrime_TwoOrMoreRaces","1","[]","2020"
"[]","[]","[P1Y]","Offense_Count_CriminalIncidents_IsHateCrime_OffenderRaceUnknownRace_UnknownOffender","1","[]","2020"
"[]","[]","[P1Y]","Count_CriminalIncidents_BiasMotivationTransgenderOrGenderNonConforming_IsHateCrime_LocationOfCrimeAutoDealer","1","[]","2020"
"[]","[]","[P1Y]","Count_CriminalIncidents_BiasMotivationMultipleBias_IsHateCrime_VictimTypeSociety","1","[]","2020"
"[]","[]","[P1Y]","Victim_Count_CriminalIncidents_BiasMotivationReligion_ForcibleRape_IsHateCrime_OtherReligion","1","[]","2020"
