"Units","observationPeriods","MinDate","ScalingFactors","MeasurementMethods","StatVar","NumPlaces"
"[]","[]","2019","[]","[]","Count_Person_50To54Years_LaborUnderutilized_Female","1"
"[]","[]","2019","[]","[]","Count_Person_35To39Years_LaborUnderutilized","1"
"[]","[]","2019","[]","[]","Count_Person_45To49Years_LaborUnderutilized_Male","1"
"[]","[]","2019","[]","[]","Count_Person_35To39Years_LaborUnderutilized_Male","1"
"[]","[]","2019","[]","[]","Count_Person_55To59Years_LaborUnderutilized_Female","1"
"[]","[]","2019","[]","[]","Count_Person_45To49Years_LaborUnderutilized_Female","1"
"[]","[]","2019","[]","[]","Count_Person_35To39Years_LaborUnderutilized_Female","1"
"[]","[]","2019","[]","[]","Count_Person_40To44Years_LaborUnderutilized_Female","1"
"[]","[]","2019","[]","[]","Count_Person_30To34Years_LaborUnderutilized_Female","1"
"[]","[]","2019","[]","[]","Count_Person_40To44Years_LaborUnderutilized_Male","1"
"[]","[]","2019","[]","[]","Count_Person_55To59Years_LaborUnderutilized","1"
"[]","[]","2019","[]","[]","Count_Person_50To54Years_LaborUnderutilized_Male","1"
"[]","[]","2019","[]","[]","Count_Person_55To59Years_LaborUnderutilized_Male","1"
"[]","[]","2019","[]","[]","Count_Person_45To49Years_LaborUnderutilized","1"
"[]","[]","2019","[]","[]","Count_Person_50To54Years_LaborUnderutilized","1"
"[]","[]","2019","[]","[]","Count_Person_40To44Years_LaborUnderutilized","1"
