"Units","MeasurementMethods","MinDate","observationPeriods","NumPlaces","StatVar","ScalingFactors"
"[]","[]","2009","[]","1","Count_Person_25To29Years_Employed_Manager","[]"
"[]","[]","2009","[]","1","Count_Person_70OrMoreYears_Employed_Male_Manager","[]"
"[]","[]","2009","[]","1","Count_Person_40To44Years_Employed_Female_Manager","[]"
"[]","[]","2009","[]","1","Count_Person_Employed_Female_Manager","[]"
"[]","[]","2009","[]","1","Count_Person_30To34Years_Employed_Female_Manager","[]"
"[]","[]","2009","[]","1","Count_Person_55To59Years_Employed_Male_Manager","[]"
"[]","[]","2009","[]","1","Count_Person_45To49Years_Employed_Male_Manager","[]"
"[]","[]","2009","[]","1","Count_Person_Employed_Male_Manager","[]"
"[]","[]","2009","[]","1","Count_Person_40To44Years_Employed_Manager","[]"
"[]","[]","2009","[]","1","Count_Person_20To24Years_Employed_Manager","[]"
"[]","[]","2009","[]","1","Count_Person_50To54Years_Employed_Male_Manager","[]"
"[]","[]","2009","[]","1","Count_Person_35To39Years_Employed_Female_Manager","[]"
"[]","[]","2009","[]","1","Count_Person_15To19Years_Employed_Female_Manager","[]"
"[]","[]","2009","[]","1","Count_Person_35To39Years_Employed_Manager","[]"
"[]","[]","2009","[]","1","Count_Person_15To19Years_Employed_Manager","[]"
"[]","[]","2009","[]","1","Count_Person_25To29Years_Employed_Female_Manager","[]"
"[]","[]","2009","[]","1","Count_Person_Employed_Manager","[]"
"[]","[]","2009","[]","1","Count_Person_20To24Years_Employed_Female_Manager","[]"
"[]","[]","2009","[]","1","Count_Person_60To64Years_Employed_Male_Manager","[]"
"[]","[]","2009","[]","1","Count_Person_65To69Years_Employed_Male_Manager","[]"
"[]","[]","2009","[]","1","Count_Person_30To34Years_Employed_Manager","[]"
