"StatVar","MinDate","NumPlaces","observationPeriods","ScalingFactors","Units","MeasurementMethods"
"Count_MedicalConditionIncident_HepatitisA_SuspectedCase_FoodborneTransmission","2000-08","3","[P1Y]","[]","[]","[dcAggregate/NORSNonInfectiousDisease]"
"Count_MedicalConditionIncident_CleaningAgents_FoodborneTransmission","2006-06","6","[P1Y]","[]","[]","[dcAggregate/NORSNonInfectiousDisease]"
"Count_MedicalConditionIncident_EColiEnteropathogenicEtiology_PatientHospitalized_PersonToPersonTransmission","2016-06","10","[P1Y]","[]","[]","[dcAggregate/NORSNonInfectiousDisease]"
"Count_MedicalConditionIncident_NORSUnknownChemical_Toxin_PatientDeceased_WaterborneTransmission","2007-05","6","[P1Y]","[]","[]","[dcAggregate/NORSNonInfectiousDisease]"
"Count_MedicalConditionIncident_MycobacteriumOther_PatientDeceased_ConfirmedCase_WaterborneTransmission","2016-10","2","[P1Y]","[]","[]","[dcAggregate/NORSNonInfectiousDisease]"
"Count_MedicalConditionIncident_MicrocystisUnknown_SuspectedCase_WaterborneTransmission","2021-06","2","[P1Y]","[]","[]","[dcAggregate/NORSNonInfectiousDisease]"
"Count_MedicalConditionIncident_LegionellaUnknown_PatientHospitalized_SuspectedCase_WaterborneTransmission","2006-10","7","[P1Y]","[]","[]","[dcAggregate/NORSNonInfectiousDisease]"
"Count_MedicalConditionIncident_ShigellaEtiology_SuspectedCase_PersonToPersonTransmission","2012-01","12","[P1Y]","[]","[]","[dcAggregate/NORSNonInfectiousDisease]"
"Count_MedicalConditionIncident_StaphylococcusEtiology_PatientDeceased_Indeterminate_Other_UnknownTramissionMode","2014-02","2","[P1Y]","[]","[]","[dcAggregate/NORSNonInfectiousDisease]"
"Count_MedicalConditionIncident_CampylobacterEtiology_WaterborneTransmission","2018-07","3","[P1Y]","[]","[]","[dcAggregate/NORSNonInfectiousDisease]"
"Count_MedicalConditionIncident_Arsenic_PatientDeceased_ConfirmedCase_WaterborneTransmission","1972-05","3","[P1Y]","[]","[]","[dcAggregate/NORSNonInfectiousDisease]"
"Count_MedicalConditionIncident_NorovirusGenogroupIX_PatientHospitalized_PersonToPersonTransmission","2021-01","4","[P1Y]","[]","[]","[dcAggregate/NORSNonInfectiousDisease]"
"Count_MedicalConditionIncident_EColiOther_ConfirmedCase_Indeterminate_Other_UnknownTramissionMode","2012-07","4","[P1Y]","[]","[]","[dcAggregate/NORSNonInfectiousDisease]"
