"variableMeasured","observationPeriod","measurementMethod","observationDate","observationAbout"
"Count_MedicalConditionIncident_WaterborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","1971-02","geoId/06"
"Count_MedicalConditionIncident_WaterborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","1971-06","geoId/01"
"Count_MedicalConditionIncident_WaterborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","1971-06","geoId/05"
"Count_MedicalConditionIncident_WaterborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","1971-06","geoId/29"
"Count_MedicalConditionIncident_WaterborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","1971-06","geoId/41"
"Count_MedicalConditionIncident_WaterborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","1971-06","geoId/50"
"Count_MedicalConditionIncident_WaterborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","1971-07","geoId/06"
"Count_MedicalConditionIncident_WaterborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","1971-07","geoId/21"
"Count_MedicalConditionIncident_WaterborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","1971-07","geoId/28"
"Count_MedicalConditionIncident_WaterborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","1971-07","geoId/34"
"Count_MedicalConditionIncident_WaterborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","1971-08","geoId/34"
"Count_MedicalConditionIncident_WaterborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","1971-08","geoId/35"
"Count_MedicalConditionIncident_WaterborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","1971-08","geoId/40"
"Count_MedicalConditionIncident_WaterborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","1971-09","geoId/37"
"Count_MedicalConditionIncident_WaterborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","1971-11","geoId/02"
"Count_MedicalConditionIncident_WaterborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","1971-11","geoId/36"
"Count_MedicalConditionIncident_WaterborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","1971-11","geoId/40"
"Count_MedicalConditionIncident_WaterborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","1971-11","geoId/48"
"Count_MedicalConditionIncident_WaterborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","1971-12","geoId/06"
"Count_MedicalConditionIncident_WaterborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","1972-03","geoId/02"
"Count_MedicalConditionIncident_WaterborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","1972-03","geoId/36"
"Count_MedicalConditionIncident_WaterborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","1972-04","geoId/08"
"Count_MedicalConditionIncident_FoodborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","1998-01","geoId/06"
"Count_MedicalConditionIncident_FoodborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","1998-01","geoId/08"
"Count_MedicalConditionIncident_FoodborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","1998-01","geoId/12"
"Count_MedicalConditionIncident_FoodborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","1998-01","geoId/15"
"Count_MedicalConditionIncident_FoodborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","1998-01","geoId/17"
"Count_MedicalConditionIncident_FoodborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2004-08","geoId/37"
"Count_MedicalConditionIncident_FoodborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2007-11","geoId/09"
"Count_MedicalConditionIncident_PersonToPersonTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2009-01","geoId/02"
"Count_MedicalConditionIncident_PersonToPersonTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2009-01","geoId/05"
"Count_MedicalConditionIncident_AnimalContactTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2009-01","geoId/08"
"Count_MedicalConditionIncident_PersonToPersonTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2009-01","geoId/11"
"Count_MedicalConditionIncident_Indeterminate_Other_UnknownTramissionMode","P1Y","dcAggregate/NORSNonInfectiousDisease","2009-01","geoId/15"
"Count_MedicalConditionIncident_PersonToPersonTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2009-01","geoId/19"
"Count_MedicalConditionIncident_PersonToPersonTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2009-01","geoId/21"
"Count_MedicalConditionIncident_Indeterminate_Other_UnknownTramissionMode","P1Y","dcAggregate/NORSNonInfectiousDisease","2009-01","geoId/22"
"Count_MedicalConditionIncident_Indeterminate_Other_UnknownTramissionMode","P1Y","dcAggregate/NORSNonInfectiousDisease","2009-01","geoId/25"
"Count_MedicalConditionIncident_Indeterminate_Other_UnknownTramissionMode","P1Y","dcAggregate/NORSNonInfectiousDisease","2009-01","geoId/27"
"Count_MedicalConditionIncident_Indeterminate_Other_UnknownTramissionMode","P1Y","dcAggregate/NORSNonInfectiousDisease","2009-01","geoId/28"
"Count_MedicalConditionIncident_AnimalContactTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2009-01","geoId/39"
"Count_MedicalConditionIncident_AnimalContactTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2009-02","geoId/56"
"Count_MedicalConditionIncident_AnimalContactTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2009-03","geoId/08"
"Count_MedicalConditionIncident_AnimalContactTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2009-03","geoId/30"
