"observationPeriods","StatVar","Units","MeasurementMethods","ScalingFactors","NumPlaces","MinDate"
"[]","Mean_Score_Student_Female_SchoolGrade5_Mathematics","[]","[]","[]","828","2006"
"[]","Mean_Score_Student_Female_SchoolGrade3_Mathematics","[]","[]","[]","803","2006"
"[]","Mean_Score_Student_Female_SchoolGrade6_Mathematics","[]","[]","[]","664","2006"
"[]","Count_Student_AssessmentLevel1_HispanicOrLatino_SchoolGrade7_Mathematics_AsAFractionOf_Count_Student_HispanicOrLatino_SchoolGrade7_Mathematics","[]","[]","[]","493","2006"
"[]","Count_Student_AssessmentLevel1_Asian_SchoolGrade7_Mathematics_AsAFractionOf_Count_Student_Asian_SchoolGrade7_Mathematics","[]","[]","[]","227","2006"
"[]","Mean_Score_Student_Female_SchoolGrade7_Mathematics","[]","[]","[]","567","2006"
"[]","Count_Student_AcademicAssessmentEvent_Black_SchoolGrade8_Mathematics","[]","[]","[]","558","2006"
"[]","Count_Student_AssessmentLevel2_Asian_SchoolGrade6_Mathematics_AsAFractionOf_Count_Student_Asian_SchoolGrade6_Mathematics","[]","[]","[]","275","2006"
"[]","Mean_Score_Student_Female_SchoolGrade8_Mathematics","[]","[]","[]","564","2006"
"[]","Count_Student_AssessmentLevel4_EnglishLearner_SchoolGrade4_Mathematics_AsAFractionOf_Count_Student_EnglishLearner_SchoolGrade4_Mathematics","[]","[]","[]","586","2006"
"[]","Mean_Score_Student_Female_SchoolGrade4_Mathematics","[]","[]","[]","806","2006"
"[]","Count_Student_AssessmentLevel2_FluentProficient_EnglishLearner_SchoolGrade5_Mathematics_AsAFractionOf_Count_Student_FluentProficient_EnglishLearner_SchoolGrade5_Mathematics","[]","[]","[]","746","2006"
"[]","Count_Student_AssessmentLevel4_Asian_SchoolGrade4_Mathematics_AsAFractionOf_Count_Student_Asian_SchoolGrade4_Mathematics","[]","[]","[]","363","2006"
"[]","Count_Student_AssessmentLevel1_NoDisability_SchoolGrade4_Mathematics_AsAFractionOf_Count_Student_NoDisability_SchoolGrade4_Mathematics","[]","[]","[]","703","2006"
"[]","Count_Student_AcademicAssessmentEvent_Black_SchoolGrade6_Mathematics","[]","[]","[]","660","2006"
"[]","Count_Student_AcademicAssessmentEvent_Black_SchoolGrade7_Mathematics","[]","[]","[]","563","2006"
"[]","Count_Student_AcademicAssessmentEvent_Black_SchoolGrade5_Mathematics","[]","[]","[]","793","2006"
"[]","Count_Student_AcademicAssessmentEvent_Black_SchoolGrade3_Mathematics","[]","[]","[]","776","2006"
"[]","Count_Student_AssessmentLevel1_Female_SchoolGrade8_Mathematics_AsAFractionOf_Count_Student_Female_SchoolGrade8_Mathematics","[]","[]","[]","500","2006"
"[]","Count_Student_AcademicAssessmentEvent_Black_SchoolGrade4_Mathematics","[]","[]","[]","772","2006"
"[]","Count_Student_AssessmentLevel4_Black_SchoolGrade6_Mathematics_AsAFractionOf_Count_Student_Black_SchoolGrade6_Mathematics","[]","[]","[]","561","2006"
"[]","Count_Student_AssessmentLevel1_Female_SchoolGrade7_Mathematics_AsAFractionOf_Count_Student_Female_SchoolGrade7_Mathematics","[]","[]","[]","504","2006"
"[]","Count_Student_AssessmentLevel1_EnglishLearner_SchoolGrade3_Mathematics","[]","[]","[]","625","2006"
"[]","Count_Student_AssessmentLevel3AndLevel4_EnglishLearner_SchoolGrade7_Mathematics","[]","[]","[]","361","2006"
"[]","Count_Student_AssessmentLevel3_Black_SchoolGrade7_Mathematics_AsAFractionOf_Count_Student_Black_SchoolGrade7_Mathematics","[]","[]","[]","480","2006"
"[]","Count_Student_AssessmentLevel3AndLevel4_EnglishLearner_SchoolGrade7_Mathematics_AsAFractionOf_Count_Student_EnglishLearner_SchoolGrade7_Mathematics","[]","[]","[]","361","2006"
"[]","Count_Student_AssessmentLevel3AndLevel4_NoDisability_SchoolGrade6_Mathematics_AsAFractionOf_Count_Student_NoDisability_SchoolGrade6_Mathematics","[]","[]","[]","590","2006"
"[]","Count_Student_AssessmentLevel3AndLevel4_EnglishLearner_SchoolGrade8_Mathematics","[]","[]","[]","344","2006"
"[]","Count_Student_AssessmentLevel1_EnglishLearner_SchoolGrade4_Mathematics","[]","[]","[]","586","2006"
"[]","Count_Student_AssessmentLevel3AndLevel4_EnglishLearner_SchoolGrade5_Mathematics","[]","[]","[]","579","2006"
"[]","Count_Student_AssessmentLevel4_Female_SchoolGrade3_Mathematics","[]","[]","[]","734","2006"
"[]","Count_Student_AssessmentLevel4_Female_SchoolGrade4_Mathematics","[]","[]","[]","723","2006"
"[]","Count_Student_AssessmentLevel3AndLevel4_EnglishLearner_SchoolGrade6_Mathematics","[]","[]","[]","453","2006"
"[]","Count_Student_AssessmentLevel4_Female_SchoolGrade6_Mathematics","[]","[]","[]","613","2006"
"[]","Count_Student_AssessmentLevel1_White_SchoolGrade3_Mathematics_AsAFractionOf_Count_Student_White_SchoolGrade3_Mathematics","[]","[]","[]","369","2006"
