"MeasurementMethods","observationPeriods","StatVar","Units","MinDate","ScalingFactors","NumPlaces"
"[]","[]","Count_MortalityEvent_5To14Years_COVID19","[]","2020-01-01","[]","162"
"[]","[]","Count_MortalityEvent_15To64Years_COVID19","[]","2020-01-01","[]","185"
"[]","[]","Count_MortalityEvent_0To4Years_COVID19","[]","2020-01-01","[]","156"
"[]","[]","Count_MortalityEvent_65OrMoreYears_COVID19","[]","2020-01-01","[]","175"
