"ScalingFactors","Units","NumPlaces","StatVar","MinDate","MeasurementMethods","observationPeriods"
"[100]","[Percent]","111","Count_Person_OlderAdults_COVID19_AtLeastOneVaccineDose_AsAFractionOf_Count_Person_OlderAdults_COVID19","2024-04-01","[]","[]"
"[]","[]","56","Count_Person_COVID19_ConditionPregnant_AtLeastOneVaccineDose","2024-04-01","[]","[]"
"[]","[]","71","Count_Person_COVID19","2024-04-01","[]","[]"
"[]","[]","66","Count_Person_Male_COVID19_AtLeastOneVaccineDose","2024-04-01","[]","[]"
"[]","[]","50","Count_Person_Other_COVID19_AtLeastOneVaccineDose","2024-04-01","[]","[]"
"[]","[]","75","Count_Person_COVID19_AtLeastOneVaccineDose","2024-04-01","[]","[]"
"[100]","[Percent]","71","Count_Person_COVID19_AtLeastOneVaccineDose_AsAFractionOf_Count_Person_COVID19","2024-04-01","[]","[]"
"[]","[]","72","Count_Person_COVID19_ConditionChronicCondition_AtLeastOneVaccineDose","2024-04-01","[]","[]"
"[]","[]","111","Count_Person_OlderAdults_COVID19","2024-04-01","[]","[]"
"[]","[]","65","Count_Person_Female_COVID19_AtLeastOneVaccineDose","2024-04-01","[]","[]"
"[]","[]","112","Count_Person_OlderAdults_COVID19_AtLeastOneVaccineDose","2024-04-01","[]","[]"
