place_name,dcid,
ABADIA DE GOIAS,wikidataId/Q304652,
ABADIA DOS DOURADOS,wikidataId/Q582223,
ABADIANIA,wikidataId/Q304716,
ABAETE,wikidataId/Q1615444,
ABAETETUBA,wikidataId/Q1615298,
ABAIARA,wikidataId/Q1796441,
ABAIRA,wikidataId/Q1645077,
ABARE,wikidataId/Q1647789,
ABATIA,wikidataId/Q784855,
ABDON BATISTA,wikidataId/Q1637414,
ABEL FIGUEIREDO,wikidataId/Q942803,
ABELARDO LUZ,wikidataId/Q1637506,
ABRE CAMPO,wikidataId/Q1749816,
ABREU E LIMA PERNAMBUCO,wikidataId/Q536569,
TO ABREULANDIA,wikidataId/Q1784836,
ACAIACA,wikidataId/Q1749743,
ACAILANDIA,wikidataId/Q1763534,
ACAJUTIBA,wikidataId/Q1761962,
ACARA,wikidataId/Q1804839,
ACARAPE,wikidataId/Q1808379,
ACARAÚ,wikidataId/Q1796706,
RN ACARI,wikidataId/Q2008611,
ACAUA,wikidataId/Q2066143,
ACEGUA,wikidataId/Q913259,
ACOPIARA,wikidataId/Q544694,
ACORIZAL,wikidataId/Q507567,
ACRELANDIA,wikidataId/Q953086,
ACREÚNA,wikidataId/Q342682,
ACUCENA,wikidataId/Q1791887,
ADAMANTINA,wikidataId/Q1637498,
ADELANDIA,wikidataId/Q986273,
ADOLFO,wikidataId/Q676044,
ADRIANOPOLIS,wikidataId/Q1779965,
ADUSTINA,wikidataId/Q1762152,
AFOGADOS DA INGAZEIRA,wikidataId/Q1761348,
AFONSO BEZERRA,wikidataId/Q1788960,
AFONSO CLAUDIO,wikidataId/Q1793672,
AFONSO CUNHA,wikidataId/Q532160,
AFRANIO,wikidataId/Q2065815,
AFUA,wikidataId/Q389536,
AGRESTINA,wikidataId/Q1787629,
AGRICOLANDIA,wikidataId/Q1936312,
AGROLANDIA,wikidataId/Q397387,
SC AGRONOMICA,wikidataId/Q1754594,
AGUA AZUL DO NORTE,wikidataId/Q1804899,
MT AGUA BOA,wikidataId/Q2059260,
MG AGUA BOA,wikidataId/Q1988205,
PI AGUA BRANCA,wikidataId/Q578114,
PB AGUA BRANCA,wikidataId/Q1847056,
AL AGUA BRANCA,wikidataId/Q1808899,
AGUA CLARA,wikidataId/Q1796727,
AGUA COMPRIDA,wikidataId/Q1756079,
AGUA DOCE,wikidataId/Q1750762,
AGUA DOCE DO MARANHAO,wikidataId/Q2013406,
AGUA DOCE DO NORTE ESPIRITO SANTO,wikidataId/Q652959,
AGUA FRIA,wikidataId/Q1762459,
AGUA FRIA DE GOIAS,wikidataId/Q249738,
AGUA LIMPA,wikidataId/Q249765,
AGUA NOVA,wikidataId/Q1786703,
AGUA PRETA,wikidataId/Q1804038,
AGUA SANTA,wikidataId/Q249795,
AGUAI,wikidataId/Q1760037,
AGUANIL,wikidataId/Q691275,
AGUAS BELAS,wikidataId/Q2013722,
AGUAS DA PRATA,wikidataId/Q1647805,
AGUAS DE CHAPECO,wikidataId/Q1750761,
AGUAS DE LINDOIA,wikidataId/Q249869,
AGUAS DE SANTA BARBARA,wikidataId/Q22066,
AGUAS DE SAO PEDRO,wikidataId/Q249900,
AGUAS FORMOSAS,wikidataId/Q1756605,
AGUAS FRIAS,wikidataId/Q1796824,
AGUAS LINDAS DE GOIAS,wikidataId/Q249830,
AGUAS MORNAS,wikidataId/Q249844,
AGUAS VERMELHAS,wikidataId/Q1756246,
AGUDO,wikidataId/Q398173,
AGUDOS,wikidataId/Q1750166,
AGUDOS DO SUL,wikidataId/Q398170,
AGUIA BRANCA,wikidataId/Q1982827,
AGUIAR,wikidataId/Q1998462,
TO AGUIARNOPOLIS,wikidataId/Q1802133,
AIMORES,wikidataId/Q1650790,
AIQUARA,wikidataId/Q560381,
AIUABA,wikidataId/Q641440,
AIURUOCA,wikidataId/Q1749739,
AJURICABA,wikidataId/Q413408,
ALAGOA GRANDE,wikidataId/Q1998976,
ALAGOA NOVA,wikidataId/Q1816238,
ALAGOA MINAS GERAIS,wikidataId/Q678420,
PE ALAGOINHA,wikidataId/Q938278,
PB ALAGOINHA,wikidataId/Q2065239,
ALAGOINHA DO PIAUI,wikidataId/Q2064226,
