variableMeasured,observationAbout,value,unit
dcs:Count_Farm,dcid:geoId/51191,634,
dcs:Count_Farm,dcid:geoId/627,7,
dcs:Count_Farm,dcid:geoId/48115,6,
dcs:Count_Farm,dcid:geoId/21,22127,
dcs:Count_Farm,dcid:geoId/38,345,
dcs:Count_Farm,dcid:geoId/5173,19,
dcs:Count_Farm,dcid:geoId/17131,15,
dcs:Count_Farm,dcid:geoId/48149,206,
dcs:Count_Farm,dcid:geoId/48485,2,
dcs:Count_Farm,dcid:geoId/27,232,
dcs:Count_Farm,dcid:geoId/2,1,
dcs:Count_Farm,dcid:geoId/5137,20,
dcs:Count_Farm,dcid:geoId/3727,2,
dcs:Count_Farm,dcid:geoId/39,605,
dcs:Count_Farm,dcid:geoId/9,13,
dcs:Count_1000OnwardsAcre,dcid:geoId/837,19,
dcs:Count_Farm,dcid:geoId/30,29,
