model,forecast_date,target,target_week_end_date,location_name,point,quantile_0.025,quantile_0.975
COVIDhub-ensemble,2020-05-04,1 wk ahead cum death,2020-05-09,AL,351,319,426
COVIDhub-ensemble,2020-05-04,1 wk ahead cum death,2020-05-09,Alabama,351,319,426
COVIDhub-ensemble,2020-05-04,1 wk ahead cum death,2020-05-09,Alaska,11,11,15
COVIDhub-ensemble,2020-05-04,1 wk ahead cum death,2020-05-09,AR,89,79,115
COVIDhub-ensemble,2020-05-04,1 wk ahead cum death,2020-05-09,Arizona,432,396,502
COVIDhub-ensemble,2020-05-04,1 wk ahead cum death,2020-05-09,Arkansas,89,79,115
COVIDhub-ensemble,2020-05-04,1 wk ahead cum death,2020-05-09,CA,2708,2513,3045
COVIDhub-ensemble,2020-05-04,1 wk ahead cum death,2020-05-09,California,2708,2513,3045
COVIDhub-ensemble,2020-05-04,1 wk ahead cum death,2020-05-09,CO,1011,922,1191
COVIDhub-ensemble,2020-05-04,1 wk ahead cum death,2020-05-09,Colorado,1011,922,1191
COVIDhub-ensemble,2020-05-04,1 wk ahead cum death,2020-05-09,Connecticut,2948,2701,3378
COVIDhub-ensemble,2020-05-04,1 wk ahead cum death,2020-05-09,CT,2948,2701,3378
COVIDhub-ensemble,2020-05-04,1 wk ahead cum death,2020-05-09,DC,315,283,390
COVIDhub-ensemble,2020-05-04,1 wk ahead cum death,2020-05-09,DE,229,206,277
COVIDhub-ensemble,2020-05-04,1 wk ahead cum death,2020-05-09,Delaware,229,206,277
COVIDhub-ensemble,2020-05-04,1 wk ahead cum death,2020-05-09,District of Columbia,315,283,390
COVIDhub-ensemble,2020-05-04,1 wk ahead cum death,2020-05-09,FL,1599,1504,1754
COVIDhub-ensemble,2020-05-04,1 wk ahead cum death,2020-05-09,Florida,1599,1504,1754
COVIDhub-ensemble,2020-05-04,1 wk ahead cum death,2020-05-09,GA,1374,1273,1570
COVIDhub-ensemble,2020-05-04,1 wk ahead cum death,2020-05-09,Georgia,1374,1273,1570
COVIDhub-ensemble,2020-05-04,1 wk ahead cum death,2020-05-09,Hawaii,19,18,22
COVIDhub-ensemble,2020-05-04,1 wk ahead cum death,2020-05-09,IA,271,227,357
COVIDhub-ensemble,2020-05-04,1 wk ahead cum death,2020-05-09,Idaho,71,67,81
COVIDhub-ensemble,2020-05-04,1 wk ahead cum death,2020-05-09,IL,3304,2979,3816
COVIDhub-ensemble,2020-05-04,1 wk ahead cum death,2020-05-09,Illinois,3304,2979,3816
COVIDhub-ensemble,2020-05-04,1 wk ahead cum death,2020-05-09,IN,1420,1270,1730
COVIDhub-ensemble,2020-05-04,1 wk ahead cum death,2020-05-09,Indiana,1420,1270,1730
COVIDhub-ensemble,2020-05-04,1 wk ahead cum death,2020-05-09,Iowa,271,227,357
COVIDhub-ensemble,2020-05-04,1 wk ahead cum death,2020-05-09,Kansas,183,153,236
COVIDhub-ensemble,2020-05-04,1 wk ahead cum death,2020-05-09,Kentucky,296,273,341
COVIDhub-ensemble,2020-05-04,1 wk ahead cum death,2020-05-09,KS,183,153,236
COVIDhub-ensemble,2020-05-04,1 wk ahead cum death,2020-05-09,KY,296,273,341
COVIDhub-ensemble,2020-05-04,1 wk ahead cum death,2020-05-09,LA,2171,2073,2391
COVIDhub-ensemble,2020-05-04,1 wk ahead cum death,2020-05-09,Louisiana,2171,2073,2391
COVIDhub-ensemble,2020-05-04,1 wk ahead cum death,2020-05-09,MA,4957,4551,5590
COVIDhub-ensemble,2020-05-04,1 wk ahead cum death,2020-05-09,Maine,67,61,82
COVIDhub-ensemble,2020-05-04,1 wk ahead cum death,2020-05-09,Maryland,1599,1426,1899
COVIDhub-ensemble,2020-05-04,1 wk ahead cum death,2020-05-09,Massachusetts,4957,4551,5590
COVIDhub-ensemble,2020-05-04,1 wk ahead cum death,2020-05-09,MD,1599,1426,1899
COVIDhub-ensemble,2020-05-04,1 wk ahead cum death,2020-05-09,ME,67,61,82
COVIDhub-ensemble,2020-05-04,1 wk ahead cum death,2020-05-09,MI,4572,4335,5112
COVIDhub-ensemble,2020-05-04,1 wk ahead cum death,2020-05-09,Michigan,4572,4335,5112
COVIDhub-ensemble,2020-05-04,1 wk ahead cum death,2020-05-09,Minnesota,571,498,741
COVIDhub-ensemble,2020-05-04,1 wk ahead cum death,2020-05-09,Mississippi,359,327,435
COVIDhub-ensemble,2020-05-04,1 wk ahead cum death,2020-05-09,Missouri,446,411,551
COVIDhub-ensemble,2020-05-04,1 wk ahead cum death,2020-05-09,MN,571,498,741
COVIDhub-ensemble,2020-05-04,1 wk ahead cum death,2020-05-09,MO,446,411,551
COVIDhub-ensemble,2020-05-04,1 wk ahead cum death,2020-05-09,Montana,18,17,21
COVIDhub-ensemble,2020-05-04,1 wk ahead cum death,2020-05-09,MS,359,327,435
COVIDhub-ensemble,2020-05-04,1 wk ahead cum death,2020-05-09,MT,18,17,21
COVIDhub-ensemble,2020-05-04,1 wk ahead cum death,2020-05-09,National,76460,73183,80405
COVIDhub-ensemble,2020-05-04,1 wk ahead cum death,2020-05-09,NC,550,501,643
COVIDhub-ensemble,2020-05-04,1 wk ahead cum death,2020-05-09,ND,32,28,44
COVIDhub-ensemble,2020-05-04,1 wk ahead cum death,2020-05-09,NE,113,90,156
COVIDhub-ensemble,2020-05-04,1 wk ahead cum death,2020-05-09,Nebraska,113,90,156
COVIDhub-ensemble,2020-05-04,1 wk ahead cum death,2020-05-09,Nevada,300,283,330
COVIDhub-ensemble,2020-05-04,1 wk ahead cum death,2020-05-09,New Hampshire,112,96,146
COVIDhub-ensemble,2020-05-04,1 wk ahead cum death,2020-05-09,New Jersey,9107,8563,10139
COVIDhub-ensemble,2020-05-04,1 wk ahead cum death,2020-05-09,New Mexico,195,171,250
COVIDhub-ensemble,2020-05-04,1 wk ahead cum death,2020-05-09,New York,26131,25366,27176
COVIDhub-ensemble,2020-05-04,1 wk ahead cum death,2020-05-09,NH,112,96,146
COVIDhub-ensemble,2020-05-04,1 wk ahead cum death,2020-05-09,NJ,9107,8563,10139
COVIDhub-ensemble,2020-05-04,1 wk ahead cum death,2020-05-09,NM,195,171,250
COVIDhub-ensemble,2020-05-04,1 wk ahead cum death,2020-05-09,North Carolina,550,501,643
COVIDhub-ensemble,2020-05-04,1 wk ahead cum death,2020-05-09,North Dakota,32,28,44
COVIDhub-ensemble,2020-05-04,1 wk ahead cum death,2020-05-09,NV,300,283,330
COVIDhub-ensemble,2020-05-04,1 wk ahead cum death,2020-05-09,NY,26131,25366,27176
COVIDhub-ensemble,2020-05-04,1 wk ahead cum death,2020-05-09,OH,1319,1208,1550
COVIDhub-ensemble,2020-05-04,1 wk ahead cum death,2020-05-09,Ohio,1319,1208,1550
