model,forecast_date,target,target_week_end_date,location_name,point,quantile_0.025,quantile_0.975
Auquan,2020-06-01,1 wk ahead cum death,2020-06-06,Alabama,813,562,1066
Auquan,2020-06-01,1 wk ahead cum death,2020-06-06,Alaska,15,10,21
Auquan,2020-06-01,1 wk ahead cum death,2020-06-06,Arizona,1168,813,1474
Auquan,2020-06-01,1 wk ahead cum death,2020-06-06,Arkansas,201,118,278
Auquan,2020-06-01,1 wk ahead cum death,2020-06-06,California,5289,3754,6815
Auquan,2020-06-01,1 wk ahead cum death,2020-06-06,Colorado,1858,1332,2344
Auquan,2020-06-01,1 wk ahead cum death,2020-06-06,Connecticut,4474,3725,5155
Auquan,2020-06-01,1 wk ahead cum death,2020-06-06,Delaware,485,339,616
Auquan,2020-06-01,1 wk ahead cum death,2020-06-06,District of Columbia,582,433,715
Auquan,2020-06-01,1 wk ahead cum death,2020-06-06,Florida,3001,2247,3710
Auquan,2020-06-01,1 wk ahead cum death,2020-06-06,Georgia,2448,1827,2988
Auquan,2020-06-01,1 wk ahead cum death,2020-06-06,Hawaii,25,17,33
Auquan,2020-06-01,1 wk ahead cum death,2020-06-06,Idaho,116,79,147
Auquan,2020-06-01,1 wk ahead cum death,2020-06-06,Illinois,6950,4871,8813
Auquan,2020-06-01,1 wk ahead cum death,2020-06-06,Indiana,2559,2028,3069
Auquan,2020-06-01,1 wk ahead cum death,2020-06-06,Iowa,738,457,985
Auquan,2020-06-01,1 wk ahead cum death,2020-06-06,Kansas,327,206,448
Auquan,2020-06-01,1 wk ahead cum death,2020-06-06,Kentucky,517,391,625
Auquan,2020-06-01,1 wk ahead cum death,2020-06-06,Louisiana,3225,2691,3699
Auquan,2020-06-01,1 wk ahead cum death,2020-06-06,Maine,109,78,137
Auquan,2020-06-01,1 wk ahead cum death,2020-06-06,Maryland,3102,2326,3863
Auquan,2020-06-01,1 wk ahead cum death,2020-06-06,Massachusetts,7823,6474,9049
Auquan,2020-06-01,1 wk ahead cum death,2020-06-06,Michigan,6056,5253,6816
Auquan,2020-06-01,1 wk ahead cum death,2020-06-06,Minnesota,1435,929,1962
Auquan,2020-06-01,1 wk ahead cum death,2020-06-06,Mississippi,884,634,1138
Auquan,2020-06-01,1 wk ahead cum death,2020-06-06,Missouri,881,692,1040
Auquan,2020-06-01,1 wk ahead cum death,2020-06-06,Montana,22,16,28
Auquan,2020-06-01,1 wk ahead cum death,2020-06-06,National,116559,108644,123625
Auquan,2020-06-01,1 wk ahead cum death,2020-06-06,Nebraska,325,147,481
Auquan,2020-06-01,1 wk ahead cum death,2020-06-06,Nevada,499,380,604
