model,forecast_date,target,target_week_end_date,location_name,point,quantile_0.025,quantile_0.975
University of Geneva,2020-04-20,1 wk ahead cum death,2020-04-25,US,49766,NA,NA
CU 40% contact reduction,2020-04-20,1 wk ahead cum death,2020-04-25,Alabama,184,157,226
CU 40% contact reduction,2020-04-20,1 wk ahead cum death,2020-04-25,Alaska,15,15,18
CU 40% contact reduction,2020-04-20,1 wk ahead cum death,2020-04-25,Arizona,265,222,325
CU 40% contact reduction,2020-04-20,1 wk ahead cum death,2020-04-25,Arkansas,50,42,62
CU 40% contact reduction,2020-04-20,1 wk ahead cum death,2020-04-25,California,2012,1792,2520
CU 40% contact reduction,2020-04-20,1 wk ahead cum death,2020-04-25,Colorado,585,525,650
CU 40% contact reduction,2020-04-20,1 wk ahead cum death,2020-04-25,Connecticut,2153,1748,2483
CU 40% contact reduction,2020-04-20,1 wk ahead cum death,2020-04-25,Delaware,232,175,306
CU 40% contact reduction,2020-04-20,1 wk ahead cum death,2020-04-25,Florida,1419,1162,1715
CU 40% contact reduction,2020-04-20,1 wk ahead cum death,2020-04-25,Georgia,927,843,1026
CU 40% contact reduction,2020-04-20,1 wk ahead cum death,2020-04-25,Hawaii,14,10,24
CU 40% contact reduction,2020-04-20,1 wk ahead cum death,2020-04-25,Idaho,54,47,71
CU 40% contact reduction,2020-04-20,1 wk ahead cum death,2020-04-25,Illinois,2426,1836,2808
CU 40% contact reduction,2020-04-20,1 wk ahead cum death,2020-04-25,Indiana,815,703,894
CU 40% contact reduction,2020-04-20,1 wk ahead cum death,2020-04-25,Iowa,103,88,131
CU 40% contact reduction,2020-04-20,1 wk ahead cum death,2020-04-25,Kansas,113,98,130
CU 40% contact reduction,2020-04-20,1 wk ahead cum death,2020-04-25,Kentucky,165,154,183
CU 40% contact reduction,2020-04-20,1 wk ahead cum death,2020-04-25,Louisiana,1832,1604,1983
CU 40% contact reduction,2020-04-20,1 wk ahead cum death,2020-04-25,Maine,37,33,51
CU 40% contact reduction,2020-04-20,1 wk ahead cum death,2020-04-25,Maryland,1036,892,1227
CU 40% contact reduction,2020-04-20,1 wk ahead cum death,2020-04-25,Massachusetts,3305,2683,3899
CU 40% contact reduction,2020-04-20,1 wk ahead cum death,2020-04-25,Michigan,3191,2809,3644
CU 40% contact reduction,2020-04-20,1 wk ahead cum death,2020-04-25,Minnesota,148,131,170
CU 40% contact reduction,2020-04-20,1 wk ahead cum death,2020-04-25,Mississippi,163,155,181
CU 40% contact reduction,2020-04-20,1 wk ahead cum death,2020-04-25,Missouri,347,267,430
CU 40% contact reduction,2020-04-20,1 wk ahead cum death,2020-04-25,Montana,12,11,20
CU 40% contact reduction,2020-04-20,1 wk ahead cum death,2020-04-25,Nebraska,12,6,19
CU 40% contact reduction,2020-04-20,1 wk ahead cum death,2020-04-25,Nevada,214,182,265
CU 40% contact reduction,2020-04-20,1 wk ahead cum death,2020-04-25,New Hampshire,76,61,111
CU 40% contact reduction,2020-04-20,1 wk ahead cum death,2020-04-25,New Jersey,7469,6195,8672
CU 40% contact reduction,2020-04-20,1 wk ahead cum death,2020-04-25,New Mexico,81,65,103
CU 40% contact reduction,2020-04-20,1 wk ahead cum death,2020-04-25,New York,19217,16444,21285
