model,forecast_date,target,target_week_end_date,location_name,point,quantile_0.025,quantile_0.975
Ensemble,5/11/2020,1 wk ahead cum death,5/16/2020,Alabama,470,433,526
Ensemble,5/11/2020,1 wk ahead cum death,5/16/2020,Alaska,12,11,13
Ensemble,5/11/2020,1 wk ahead cum death,5/16/2020,Arizona,644,590,773
Ensemble,5/11/2020,1 wk ahead cum death,5/16/2020,Arkansas,105,96,122
Ensemble,5/11/2020,1 wk ahead cum death,5/16/2020,California,3164,3027,3335
Ensemble,5/11/2020,1 wk ahead cum death,5/16/2020,Colorado,1111,1051,1243
Ensemble,5/11/2020,1 wk ahead cum death,5/16/2020,Connecticut,3354,3196,3564
Ensemble,5/11/2020,1 wk ahead cum death,5/16/2020,Delaware,267,251,287
Ensemble,5/11/2020,1 wk ahead cum death,5/16/2020,District of Columbia,391,365,426
Ensemble,5/11/2020,1 wk ahead cum death,5/16/2020,Florida,1983,1876,2121
Ensemble,5/11/2020,1 wk ahead cum death,5/16/2020,Georgia,1585,1511,1696
Ensemble,5/11/2020,1 wk ahead cum death,5/16/2020,Hawaii,19,18,20
Ensemble,5/11/2020,1 wk ahead cum death,5/16/2020,Idaho,73,70,78
Ensemble,5/11/2020,1 wk ahead cum death,5/16/2020,Illinois,3702,3347,4097
Ensemble,5/11/2020,1 wk ahead cum death,5/16/2020,Indiana,1797,1696,1933
Ensemble,5/11/2020,1 wk ahead cum death,5/16/2020,Iowa,354,320,398
Ensemble,5/11/2020,1 wk ahead cum death,5/16/2020,Kansas,217,192,252
Ensemble,5/11/2020,1 wk ahead cum death,5/16/2020,Kentucky,358,337,388
Ensemble,5/11/2020,1 wk ahead cum death,5/16/2020,Louisiana,2466,2386,2580
Ensemble,5/11/2020,1 wk ahead cum death,5/16/2020,Maine,74,69,83
Ensemble,5/11/2020,1 wk ahead cum death,5/16/2020,Maryland,2016,1858,2245
Ensemble,5/11/2020,1 wk ahead cum death,5/16/2020,Massachusetts,5781,5406,6313
Ensemble,5/11/2020,1 wk ahead cum death,5/16/2020,Michigan,4915,4769,5132
Ensemble,5/11/2020,1 wk ahead cum death,5/16/2020,Minnesota,780,691,888
Ensemble,5/11/2020,1 wk ahead cum death,5/16/2020,Mississippi,514,473,577
Ensemble,5/11/2020,1 wk ahead cum death,5/16/2020,Missouri,583,553,633
Ensemble,5/11/2020,1 wk ahead cum death,5/16/2020,Montana,17,17,18
Ensemble,5/11/2020,1 wk ahead cum death,5/16/2020,National,88770,85789,92300
Ensemble,5/11/2020,1 wk ahead cum death,5/16/2020,Nebraska,135,113,168
Ensemble,5/11/2020,1 wk ahead cum death,5/16/2020,Nevada,356,338,405
Ensemble,5/11/2020,1 wk ahead cum death,5/16/2020,New Hampshire,168,151,201
Ensemble,5/11/2020,1 wk ahead cum death,5/16/2020,New Jersey,10285,9929,10709
Ensemble,5/11/2020,1 wk ahead cum death,5/16/2020,New Mexico,241,228,265
Ensemble,5/11/2020,1 wk ahead cum death,5/16/2020,New York,28354,27605,29322
Ensemble,5/11/2020,1 wk ahead cum death,5/16/2020,North Carolina,682,640,747
Ensemble,5/11/2020,1 wk ahead cum death,5/16/2020,North Dakota,44,40,52
Ensemble,5/11/2020,1 wk ahead cum death,5/16/2020,Ohio,1602,1506,1716
Ensemble,5/11/2020,1 wk ahead cum death,5/16/2020,Oklahoma,303,288,324
Ensemble,5/11/2020,1 wk ahead cum death,5/16/2020,Oregon,144,135,159
Ensemble,5/11/2020,1 wk ahead cum death,5/16/2020,Pennsylvania,4596,4333,4911
Ensemble,5/11/2020,1 wk ahead cum death,5/16/2020,Puerto Rico,123,116,136
Ensemble,5/11/2020,1 wk ahead cum death,5/16/2020,Rhode Island,539,493,590
Ensemble,5/11/2020,1 wk ahead cum death,5/16/2020,South Carolina,389,360,442
Ensemble,5/11/2020,1 wk ahead cum death,5/16/2020,South Dakota,48,41,62
Ensemble,5/11/2020,1 wk ahead cum death,5/16/2020,Tennessee,281,265,305
Ensemble,5/11/2020,1 wk ahead cum death,5/16/2020,Texas,1280,1208,1386
Ensemble,5/11/2020,1 wk ahead cum death,5/16/2020,Utah,83,76,97
Ensemble,5/11/2020,1 wk ahead cum death,5/16/2020,Vermont,56,55,59
Ensemble,5/11/2020,1 wk ahead cum death,5/16/2020,Virgin Islands,4,4,5
Ensemble,5/11/2020,1 wk ahead cum death,5/16/2020,Virginia,1052,981,1144
Ensemble,5/11/2020,1 wk ahead cum death,5/16/2020,Washington,1004,975,1051
Ensemble,5/11/2020,1 wk ahead cum death,5/16/2020,West Virginia,62,57,71
Ensemble,5/11/2020,1 wk ahead cum death,5/16/2020,Wisconsin,479,443,528
Ensemble,5/11/2020,1 wk ahead cum death,5/16/2020,Wyoming,9,8,12
Ensemble,5/11/2020,2 wk ahead cum death,5/23/2020,Alabama,561,481,745
Ensemble,5/11/2020,2 wk ahead cum death,5/23/2020,Alaska,12,12,14
Ensemble,5/11/2020,2 wk ahead cum death,5/23/2020,Arizona,775,662,1168
Ensemble,5/11/2020,2 wk ahead cum death,5/23/2020,Arkansas,122,105,165
Ensemble,5/11/2020,2 wk ahead cum death,5/23/2020,California,3591,3315,4043
Ensemble,5/11/2020,2 wk ahead cum death,5/23/2020,Colorado,1245,1126,1571
Ensemble,5/11/2020,2 wk ahead cum death,5/23/2020,Connecticut,3703,3393,4196
Ensemble,5/11/2020,2 wk ahead cum death,5/23/2020,Delaware,312,280,366
Ensemble,5/11/2020,2 wk ahead cum death,5/23/2020,District of Columbia,462,410,570
Ensemble,5/11/2020,2 wk ahead cum death,5/23/2020,Florida,2248,2050,2611
Ensemble,5/11/2020,2 wk ahead cum death,5/23/2020,Georgia,1754,1606,2018
Ensemble,5/11/2020,2 wk ahead cum death,5/23/2020,Hawaii,20,19,23
Ensemble,5/11/2020,2 wk ahead cum death,5/23/2020,Idaho,78,73,87
Ensemble,5/11/2020,2 wk ahead cum death,5/23/2020,Illinois,4356,3935,4828
Ensemble,5/11/2020,2 wk ahead cum death,5/23/2020,Indiana,2100,1899,2411
Ensemble,5/11/2020,2 wk ahead cum death,5/23/2020,Iowa,467,395,582
Ensemble,5/11/2020,2 wk ahead cum death,5/23/2020,Kansas,260,216,334
Ensemble,5/11/2020,2 wk ahead cum death,5/23/2020,Kentucky,411,369,486
Ensemble,5/11/2020,2 wk ahead cum death,5/23/2020,Louisiana,2638,2480,2935
Ensemble,5/11/2020,2 wk ahead cum death,5/23/2020,Maine,85,75,105
Ensemble,5/11/2020,2 wk ahead cum death,5/23/2020,Maryland,2406,2084,2964
Ensemble,5/11/2020,2 wk ahead cum death,5/23/2020,Massachusetts,6538,5857,7660
Ensemble,5/11/2020,2 wk ahead cum death,5/23/2020,Michigan,5222,4972,5678
Ensemble,5/11/2020,2 wk ahead cum death,5/23/2020,Minnesota,1045,855,1383
Ensemble,5/11/2020,2 wk ahead cum death,5/23/2020,Mississippi,612,525,780
Ensemble,5/11/2020,2 wk ahead cum death,5/23/2020,Missouri,672,610,826
Ensemble,5/11/2020,2 wk ahead cum death,5/23/2020,Montana,18,17,20
Ensemble,5/11/2020,2 wk ahead cum death,5/23/2020,National,97788,91745,105287
Ensemble,5/11/2020,2 wk ahead cum death,5/23/2020,Nebraska,194,146,281
Ensemble,5/11/2020,2 wk ahead cum death,5/23/2020,Nevada,406,369,682
Ensemble,5/11/2020,2 wk ahead cum death,5/23/2020,New Hampshire,212,176,332
Ensemble,5/11/2020,2 wk ahead cum death,5/23/2020,New Jersey,11185,10526,12071
Ensemble,5/11/2020,2 wk ahead cum death,5/23/2020,New Mexico,288,262,364
Ensemble,5/11/2020,2 wk ahead cum death,5/23/2020,New York,29811,28437,31806
Ensemble,5/11/2020,2 wk ahead cum death,5/23/2020,North Carolina,809,722,999
Ensemble,5/11/2020,2 wk ahead cum death,5/23/2020,North Dakota,56,47,76
Ensemble,5/11/2020,2 wk ahead cum death,5/23/2020,Ohio,1866,1671,2161
Ensemble,5/11/2020,2 wk ahead cum death,5/23/2020,Oklahoma,333,306,383
Ensemble,5/11/2020,2 wk ahead cum death,5/23/2020,Oregon,161,144,204
Ensemble,5/11/2020,2 wk ahead cum death,5/23/2020,Pennsylvania,5403,4913,6172
Ensemble,5/11/2020,2 wk ahead cum death,5/23/2020,Puerto Rico,135,121,164
