model,forecast_date,target,target_week_end_date,location_name,point,quantile_0.025,quantile_0.975
Auquan,2020-05-18,1 wk ahead cum death,2020-05-23,Alabama,659,488,990
Auquan,2020-05-18,1 wk ahead cum death,2020-05-23,Alaska,12,10,18
Auquan,2020-05-18,1 wk ahead cum death,2020-05-23,Arizona,844,680,1158
Auquan,2020-05-18,1 wk ahead cum death,2020-05-23,Arkansas,139,98,206
Auquan,2020-05-18,1 wk ahead cum death,2020-05-23,California,4020,3240,5528
Auquan,2020-05-18,1 wk ahead cum death,2020-05-23,Colorado,1447,1215,1828
Auquan,2020-05-18,1 wk ahead cum death,2020-05-23,Connecticut,3737,3408,4292
Auquan,2020-05-18,1 wk ahead cum death,2020-05-23,Delaware,366,290,510
Auquan,2020-05-18,1 wk ahead cum death,2020-05-23,District of Columbia,468,383,621
Auquan,2020-05-18,1 wk ahead cum death,2020-05-23,Florida,2397,1973,3158
Auquan,2020-05-18,1 wk ahead cum death,2020-05-23,Georgia,1919,1610,2507
Auquan,2020-05-18,1 wk ahead cum death,2020-05-23,Hawaii,21,17,30
Auquan,2020-05-18,1 wk ahead cum death,2020-05-23,Idaho,92,73,125
Auquan,2020-05-18,1 wk ahead cum death,2020-05-23,Illinois,5392,4177,7558
Auquan,2020-05-18,1 wk ahead cum death,2020-05-23,Indiana,2178,1751,2980
Auquan,2020-05-18,1 wk ahead cum death,2020-05-23,Iowa,494,351,726
Auquan,2020-05-18,1 wk ahead cum death,2020-05-23,Kansas,261,195,377
Auquan,2020-05-18,1 wk ahead cum death,2020-05-23,Kentucky,404,334,520
Auquan,2020-05-18,1 wk ahead cum death,2020-05-23,Louisiana,2812,2491,3399
Auquan,2020-05-18,1 wk ahead cum death,2020-05-23,Maine,84,70,110
Auquan,2020-05-18,1 wk ahead cum death,2020-05-23,Maryland,2418,1992,3164
Auquan,2020-05-18,1 wk ahead cum death,2020-05-23,Massachusetts,6893,5797,8856
Auquan,2020-05-18,1 wk ahead cum death,2020-05-23,Michigan,5380,4891,6136
Auquan,2020-05-18,1 wk ahead cum death,2020-05-23,Minnesota,1041,731,1514
Auquan,2020-05-18,1 wk ahead cum death,2020-05-23,Mississippi,671,521,927
Auquan,2020-05-18,1 wk ahead cum death,2020-05-23,Missouri,757,600,1076
Auquan,2020-05-18,1 wk ahead cum death,2020-05-23,Montana,19,16,26
Auquan,2020-05-18,1 wk ahead cum death,2020-05-23,Nebraska,209,123,362
Auquan,2020-05-18,1 wk ahead cum death,2020-05-23,Nevada,409,350,512
Auquan,2020-05-18,1 wk ahead cum death,2020-05-23,New Hampshire,218,172,301
Auquan,2020-05-18,1 wk ahead cum death,2020-05-23,New Jersey,12043,10363,15029
Auquan,2020-05-18,1 wk ahead cum death,2020-05-23,New Mexico,324,265,417
Auquan,2020-05-18,1 wk ahead cum death,2020-05-23,New York,30957,28232,36002
Auquan,2020-05-18,1 wk ahead cum death,2020-05-23,North Carolina,907,686,1283
Auquan,2020-05-18,1 wk ahead cum death,2020-05-23,North Dakota,59,43,89
Auquan,2020-05-18,1 wk ahead cum death,2020-05-23,Ohio,1881,1625,2377
Auquan,2020-05-18,1 wk ahead cum death,2020-05-23,Oklahoma,334,288,418
Auquan,2020-05-18,1 wk ahead cum death,2020-05-23,Oregon,170,137,224
Auquan,2020-05-18,1 wk ahead cum death,2020-05-23,Pennsylvania,5287,4495,6713
Auquan,2020-05-18,1 wk ahead cum death,2020-05-23,Rhode Island,621,499,821
Auquan,2020-05-18,1 wk ahead cum death,2020-05-23,South Carolina,461,385,602
Auquan,2020-05-18,1 wk ahead cum death,2020-05-23,South Dakota,76,44,134
Auquan,2020-05-18,1 wk ahead cum death,2020-05-23,Tennessee,438,298,686
Auquan,2020-05-18,1 wk ahead cum death,2020-05-23,Texas,1768,1343,2555
Auquan,2020-05-18,1 wk ahead cum death,2020-05-23,Utah,138,80,241
Auquan,2020-05-18,1 wk ahead cum death,2020-05-23,Vermont,61,54,75
Auquan,2020-05-18,1 wk ahead cum death,2020-05-23,Virginia,1302,1010,1842
Auquan,2020-05-18,1 wk ahead cum death,2020-05-23,Washington,1148,1001,1426
Auquan,2020-05-18,1 wk ahead cum death,2020-05-23,West Virginia,79,67,102
Auquan,2020-05-18,1 wk ahead cum death,2020-05-23,Wisconsin,563,453,769
Auquan,2020-05-18,1 wk ahead cum death,2020-05-23,Wyoming,14,8,25
Auquan,2020-05-18,2 wk ahead cum death,2020-05-30,Alabama,803,488,1408
Auquan,2020-05-18,2 wk ahead cum death,2020-05-30,Alaska,15,10,25
Auquan,2020-05-18,2 wk ahead cum death,2020-05-30,Arizona,1006,680,1630
Auquan,2020-05-18,2 wk ahead cum death,2020-05-30,Arkansas,170,98,286
Auquan,2020-05-18,2 wk ahead cum death,2020-05-30,California,4752,3240,7661
Auquan,2020-05-18,2 wk ahead cum death,2020-05-30,Colorado,1673,1215,2426
Auquan,2020-05-18,2 wk ahead cum death,2020-05-30,Connecticut,4066,3408,5159
Auquan,2020-05-18,2 wk ahead cum death,2020-05-30,Delaware,442,290,729
Auquan,2020-05-18,2 wk ahead cum death,2020-05-30,District of Columbia,540,383,824
Auquan,2020-05-18,2 wk ahead cum death,2020-05-30,Florida,2772,1973,4219
Auquan,2020-05-18,2 wk ahead cum death,2020-05-30,Georgia,2174,1610,3253
Auquan,2020-05-18,2 wk ahead cum death,2020-05-30,Hawaii,25,17,41
Auquan,2020-05-18,2 wk ahead cum death,2020-05-30,Idaho,106,73,164
Auquan,2020-05-18,2 wk ahead cum death,2020-05-30,Illinois,6430,4177,10445
