model,forecast_date,target,target_week_end_date,location_name,point,quantile_0.025,quantile_0.975
Auquan,2020-05-25,1 wk ahead cum death,2020-05-30,Alabama,803,488,1408
Auquan,2020-05-25,1 wk ahead cum death,2020-05-30,Alaska,15,10,25
Auquan,2020-05-25,1 wk ahead cum death,2020-05-30,Arizona,1006,680,1630
Auquan,2020-05-25,1 wk ahead cum death,2020-05-30,Arkansas,170,98,286
Auquan,2020-05-25,1 wk ahead cum death,2020-05-30,California,4752,3240,7661
Auquan,2020-05-25,1 wk ahead cum death,2020-05-30,Colorado,1673,1215,2426
Auquan,2020-05-25,1 wk ahead cum death,2020-05-30,Connecticut,4066,3408,5159
Auquan,2020-05-25,1 wk ahead cum death,2020-05-30,Delaware,442,290,729
Auquan,2020-05-25,1 wk ahead cum death,2020-05-30,District of Columbia,540,383,824
Auquan,2020-05-25,1 wk ahead cum death,2020-05-30,Florida,2772,1973,4219
Auquan,2020-05-25,1 wk ahead cum death,2020-05-30,Georgia,2174,1610,3253
Auquan,2020-05-25,1 wk ahead cum death,2020-05-30,Hawaii,25,17,41
Auquan,2020-05-25,1 wk ahead cum death,2020-05-30,Idaho,106,73,164
Auquan,2020-05-25,1 wk ahead cum death,2020-05-30,Illinois,6430,4177,10445
Auquan,2020-05-25,1 wk ahead cum death,2020-05-30,Indiana,2508,1751,3921
Auquan,2020-05-25,1 wk ahead cum death,2020-05-30,Iowa,625,351,1070
Auquan,2020-05-25,1 wk ahead cum death,2020-05-30,Kansas,310,195,514
Auquan,2020-05-25,1 wk ahead cum death,2020-05-30,Kentucky,457,334,662
Auquan,2020-05-25,1 wk ahead cum death,2020-05-30,Louisiana,3076,2491,4148
Auquan,2020-05-25,1 wk ahead cum death,2020-05-30,Maine,98,70,149
Auquan,2020-05-25,1 wk ahead cum death,2020-05-30,Maryland,2790,1992,4180
Auquan,2020-05-25,1 wk ahead cum death,2020-05-30,Massachusetts,7871,5797,11538
Auquan,2020-05-25,1 wk ahead cum death,2020-05-30,Michigan,5857,4891,7353
Auquan,2020-05-25,1 wk ahead cum death,2020-05-30,Minnesota,1332,731,2266
Auquan,2020-05-25,1 wk ahead cum death,2020-05-30,Mississippi,817,521,1318
Auquan,2020-05-25,1 wk ahead cum death,2020-05-30,Missouri,887,600,1468
Auquan,2020-05-25,1 wk ahead cum death,2020-05-30,Montana,22,16,33
Auquan,2020-05-25,1 wk ahead cum death,2020-05-30,Nebraska,273,123,541
Auquan,2020-05-25,1 wk ahead cum death,2020-05-30,Nevada,461,350,656
Auquan,2020-05-25,1 wk ahead cum death,2020-05-30,New Hampshire,259,172,417
Auquan,2020-05-25,1 wk ahead cum death,2020-05-30,New Jersey,13341,10363,18622
Auquan,2020-05-25,1 wk ahead cum death,2020-05-30,New Mexico,383,265,565
Auquan,2020-05-25,1 wk ahead cum death,2020-05-30,New York,33004,28232,41903
Auquan,2020-05-25,1 wk ahead cum death,2020-05-30,North Carolina,1124,686,1869
Auquan,2020-05-25,1 wk ahead cum death,2020-05-30,North Dakota,73,43,129
Auquan,2020-05-25,1 wk ahead cum death,2020-05-30,Ohio,2098,1625,3017
Auquan,2020-05-25,1 wk ahead cum death,2020-05-30,Oklahoma,374,288,537
Auquan,2020-05-25,1 wk ahead cum death,2020-05-30,Oregon,203,137,305
Auquan,2020-05-25,1 wk ahead cum death,2020-05-30,Pennsylvania,5918,4495,8497
Auquan,2020-05-25,1 wk ahead cum death,2020-05-30,Rhode Island,728,499,1099
Auquan,2020-05-25,1 wk ahead cum death,2020-05-30,South Carolina,523,385,782
Auquan,2020-05-25,1 wk ahead cum death,2020-05-30,South Dakota,101,44,201
Auquan,2020-05-25,1 wk ahead cum death,2020-05-30,Tennessee,542,298,976
Auquan,2020-05-25,1 wk ahead cum death,2020-05-30,Texas,2159,1343,3683
Auquan,2020-05-25,1 wk ahead cum death,2020-05-30,Utah,182,80,362
Auquan,2020-05-25,1 wk ahead cum death,2020-05-30,Vermont,66,54,91
Auquan,2020-05-25,1 wk ahead cum death,2020-05-30,Virginia,1570,1010,2648
Auquan,2020-05-25,1 wk ahead cum death,2020-05-30,Washington,1268,1001,1778
Auquan,2020-05-25,1 wk ahead cum death,2020-05-30,West Virginia,90,67,134
Auquan,2020-05-25,1 wk ahead cum death,2020-05-30,Wisconsin,677,453,1115
Auquan,2020-05-25,1 wk ahead cum death,2020-05-30,Wyoming,18,8,38
Auquan,2020-05-25,2 wk ahead cum death,2020-06-06,Alabama,905,488,1695
Auquan,2020-05-25,2 wk ahead cum death,2020-06-06,Alaska,16,10,29
