model,forecast_date,target,target_week_end_date,location_name,point,quantile_0.025,quantile_0.975
COVIDhub-ensemble,2020-04-27,1 wk ahead cum death,2020-05-02,Alabama,287,221,361
COVIDhub-ensemble,2020-04-27,1 wk ahead cum death,2020-05-02,Alaska,12,10,17
COVIDhub-ensemble,2020-04-27,1 wk ahead cum death,2020-05-02,Arizona,364,295,463
COVIDhub-ensemble,2020-04-27,1 wk ahead cum death,2020-05-02,Arkansas,74,58,127
COVIDhub-ensemble,2020-04-27,1 wk ahead cum death,2020-05-02,California,2232,1823,2661
COVIDhub-ensemble,2020-04-27,1 wk ahead cum death,2020-05-02,Colorado,885,716,1106
COVIDhub-ensemble,2020-04-27,1 wk ahead cum death,2020-05-02,Connecticut,2546,2107,3276
COVIDhub-ensemble,2020-04-27,1 wk ahead cum death,2020-05-02,Delaware,177,146,300
COVIDhub-ensemble,2020-04-27,1 wk ahead cum death,2020-05-02,District of Columbia,241,190,323
COVIDhub-ensemble,2020-04-27,1 wk ahead cum death,2020-05-02,Florida,1347,1149,1656
COVIDhub-ensemble,2020-04-27,1 wk ahead cum death,2020-05-02,Georgia,1126,930,1400
COVIDhub-ensemble,2020-04-27,1 wk ahead cum death,2020-05-02,Hawaii,16,13,21
COVIDhub-ensemble,2020-04-27,1 wk ahead cum death,2020-05-02,Idaho,68,58,126
COVIDhub-ensemble,2020-04-27,1 wk ahead cum death,2020-05-02,Illinois,2659,2126,3275
COVIDhub-ensemble,2020-04-27,1 wk ahead cum death,2020-05-02,Indiana,1034,887,1312
COVIDhub-ensemble,2020-04-27,1 wk ahead cum death,2020-05-02,Iowa,208,165,294
COVIDhub-ensemble,2020-04-27,1 wk ahead cum death,2020-05-02,Kansas,172,137,260
COVIDhub-ensemble,2020-04-27,1 wk ahead cum death,2020-05-02,Kentucky,274,219,360
COVIDhub-ensemble,2020-04-27,1 wk ahead cum death,2020-05-02,Louisiana,1916,1690,2562
COVIDhub-ensemble,2020-04-27,1 wk ahead cum death,2020-05-02,Maine,59,48,83
COVIDhub-ensemble,2020-04-27,1 wk ahead cum death,2020-05-02,Maryland,1256,975,1692
COVIDhub-ensemble,2020-04-27,1 wk ahead cum death,2020-05-02,Massachusetts,4041,3052,4888
