Date,GeoId,Count_Person_25To64Years_EnrolledInEducationOrTraining_Female_AsAFractionOfCount_Person_25To64Years_Female,Count_Person_25To64Years_EnrolledInEducationOrTraining_Male_AsAFractionOfCount_Person_25To64Years_Male,Count_Person_25To64Years_EnrolledInEducationOrTraining_AsAFractionOfCount_Person_25To64Years
2000,dcid:nuts/AT,7.4,9.2,8.3
2001,dcid:nuts/AT,7.7,8.7,8.2
2002,dcid:nuts/AT,7.3,7.6,7.5
2003,dcid:nuts/AT,8.6,8.6,8.6
2004,dcid:nuts/AT,12.3,11.0,11.6
2005,dcid:nuts/AT,13.6,12.3,12.9
2006,dcid:nuts/AT,14.1,12.4,13.2
2007,dcid:nuts/AT,14.1,11.7,12.9
2008,dcid:nuts/AT,14.2,12.4,13.3
2009,dcid:nuts/AT,14.9,12.9,13.9
2010,dcid:nuts/AT,14.9,12.8,13.8
2011,dcid:nuts/AT,14.6,12.3,13.5
2012,dcid:nuts/AT,15.3,13.2,14.2
2013,dcid:nuts/AT,15.4,12.8,14.1
2014,dcid:nuts/AT,15.4,13.2,14.3
2015,dcid:nuts/AT,15.4,13.3,14.4
2016,dcid:nuts/AT,16.3,13.5,14.9
2017,dcid:nuts/AT,17.3,14.2,15.8
2018,dcid:nuts/AT,16.5,13.7,15.1
2019,dcid:nuts/AT,16.3,13.1,14.7
2000,dcid:nuts/AT1,7.4,10.3,8.8
2001,dcid:nuts/AT1,7.8,8.8,8.3
2002,dcid:nuts/AT1,7.6,7.7,7.7
2003,dcid:nuts/AT1,8.6,8.4,8.5
2004,dcid:nuts/AT1,12.5,11.2,11.8
2005,dcid:nuts/AT1,13.9,13.0,13.5
2006,dcid:nuts/AT1,14.6,12.6,13.6
2007,dcid:nuts/AT1,14.5,12.4,13.4
2008,dcid:nuts/AT1,15.3,12.9,14.2
2009,dcid:nuts/AT1,16.2,13.3,14.8
2010,dcid:nuts/AT1,16.0,13.4,14.7
2011,dcid:nuts/AT1,15.8,13.1,14.5
2012,dcid:nuts/AT1,15.9,14.3,15.1
2013,dcid:nuts/AT1,16.7,13.9,15.3
2014,dcid:nuts/AT1,17.0,14.9,16.0
2015,dcid:nuts/AT1,16.7,15.0,15.9
2016,dcid:nuts/AT1,17.7,14.8,16.3
2017,dcid:nuts/AT1,18.9,15.8,17.4
2018,dcid:nuts/AT1,18.0,15.6,16.8
2019,dcid:nuts/AT1,18.1,14.2,16.2
2000,dcid:nuts/AT11,4.2,6.1,5.2
2001,dcid:nuts/AT11,5.2,6.0,5.6
2002,dcid:nuts/AT11,4.7,,4.3
2003,dcid:nuts/AT11,5.6,6.1,5.8
2004,dcid:nuts/AT11,8.6,8.5,8.6
2005,dcid:nuts/AT11,9.5,9.3,9.4
