"MinDate","Units","NumPlaces","ScalingFactors","StatVar","observationPeriods","MeasurementMethods"
"2011","[]","1","[]","Count_Person_BachelorOfVisualAndPerformingArtsMajor_EducationalAttainmentBachelorsDegree_Male_Black","[P1Y]","[]"
"2011","[]","1","[]","Count_Person_BachelorOfPhilosophyReligiousStudiesMajor_EducationalAttainmentBachelorsDegree_Male_WhiteAlone","[P1Y]","[]"
"2011","[]","1","[]","Count_Person_EducationalAttainmentBachelorsDegree_Male_TwoOrMoreRaces","[P1Y]","[]"
"2011","[]","1","[]","Count_Person_BachelorOfMilitaryTechnologiesMajor_EducationalAttainmentBachelorsDegree_Male_HispanicOrLatino","[P1Y]","[]"
"2011","[]","1","[]","Count_Person_BachelorOfPsychologyMajor_EducationalAttainmentBachelorsDegree_Male_TwoOrMoreRaces","[P1Y]","[]"
"2011","[]","1","[]","Count_Person_BachelorOfPublicAdminSocialServicesMajor_EducationalAttainmentBachelorsDegree_Male_TwoOrMoreRaces","[P1Y]","[]"
"2011","[]","1","[]","Count_Person_BachelorOfParksRecFitnessKinesiologyMajor_EducationalAttainmentBachelorsDegree_Male","[P1Y]","[]"
"2011","[]","1","[]","Count_Person_BachelorOfVisualAndPerformingArtsMajor_EducationalAttainmentBachelorsDegree_Male_AmericanIndianOrAlaskaNative","[P1Y]","[]"
"2011","[]","1","[]","Count_Person_BachelorOfCommunicationJournalismAndRelatedMajor_EducationalAttainmentBachelorsDegree_Male_TwoOrMoreRaces","[P1Y]","[]"
"2011","[]","1","[]","Count_Person_BachelorOfBiologicalAndBiomedicalSciencesMajor_EducationalAttainmentBachelorsDegree_Male_HispanicOrLatino","[P1Y]","[]"
"2011","[]","1","[]","Count_Person_BachelorOfMathAndStatisticsMajor_EducationalAttainmentBachelorsDegree_Male_HawaiianNativeOrPacificIslander","[P1Y]","[]"
"2011","[]","1","[]","Count_Person_BachelorOfArchitectureAndRelatedServicesMajor_EducationalAttainmentBachelorsDegree_Male","[P1Y]","[]"
"2011","[]","1","[]","Count_Person_BachelorOfPhysicalSciencesAndTechnologiesMajor_EducationalAttainmentBachelorsDegree_Male_Asian","[P1Y]","[]"
"2011","[]","1","[]","Count_Person_BachelorOfCommunicationsTechnologiesMajor_EducationalAttainmentBachelorsDegree_Male_Asian","[P1Y]","[]"
"2011","[]","1","[]","Count_Person_BachelorOfPrecisionProductionMajor_EducationalAttainmentBachelorsDegree_Male_HispanicOrLatino","[P1Y]","[]"
"2011","[]","1","[]","Count_Person_BachelorOfBiologicalAndBiomedicalSciencesMajor_EducationalAttainmentBachelorsDegree_Male","[P1Y]","[]"
"2011","[]","1","[]","Count_Person_BachelorOfTransportationAndMaterialsMovingMajor_EducationalAttainmentBachelorsDegree_Male_NonUSResident","[P1Y]","[]"
"2011","[]","1","[]","Count_Person_BachelorOfHomelandSecurityLawEnforcementFirefightingMajor_EducationalAttainmentBachelorsDegree_Male_HawaiianNativeOrPacificIslander","[P1Y]","[]"
