SportsAndRecreation,economicSector,SportAndRecreation,value,{Number},#Multiply,1000,unit,ZAR
Total,value,{Number},#Multiply,1000,unit,ZAR,,
AreaBasedServiceDelivery,economicSector,AreaBasedDeliveryService,value,{Number},#Multiply,1000,unit,ZAR
AssetsAndFacilitiesManagement,economicSector,AssetAndFacilityManagement,value,{Number},#Multiply,1000,unit,ZAR
OfficeOfTheCityManager,economicSector,OfficeCityManagerService,value,{Number},#Multiply,1000,unit,ZAR
Energy,economicSector,EnergyService,value,{Number},#Multiply,1000,unit,ZAR
Finance,economicSector,FinanceService,value,{Number},#Multiply,1000,unit,ZAR
InformalSettlementsWaterAndWasteServices,economicSector,InformalSettlementWaterAndWasteService,value,{Number},#Multiply,1000,unit,ZAR
SafetyAndSecurity,economicSector,SafetyAndSecurityService,value,{Number},#Multiply,1000,unit,ZAR
SocialServices,economicSector,SocialService,value,{Number},#Multiply,1000,unit,ZAR
TransportAndUrbanDevelopmentAuthority,economicSector,TransportAndUrbanDevelopmentAuthority,value,{Number},#Multiply,1000,unit,ZAR
SpatialPlanningAndEnvironment,economicSector,EnvironmentAndSpatialPlanning,value,{Number},#Multiply,1000,unit,ZAR
TransportPlanningAndProvisioning,economicSector,ProvisioningAndTransportPlanning,value,{Number},#Multiply,1000,unit,ZAR
UrbanManagement,economicSector,UrbanManagement,value,{Number},#Multiply,1000,unit,ZAR
WaterAndWaste,economicSector,WaterAndWasteService,value,{Number},#Multiply,1000,unit,ZAR
CommunityServicesAndHealth,economicSector,HealthService__CommunityService,value,{Number},#Multiply,1000,unit,ZAR
EconomicOpportunitiesAndAssetManagemnt,economicSector,EconomicOpportunityAndAssetManagement,value,{Number},#Multiply,1000,unit,ZAR
EnergyAndClimateChange,economicSector,EnergyAndClimateChangeSector,value,{Number},#Multiply,1000,unit,ZAR
FuturePlanningAndResilience,economicSector,FuturePlanningAndResilienceSector,value,{Number},#Multiply,1000,unit,ZAR
UrbanMobility,economicSector,UrbanMobilityService,value,{Number},#Multiply,1000,unit,ZAR
WaterAndSanitation,economicSector,WaterService__SanitationService,value,{Number},#Multiply,1000,unit,ZAR
EconomicGrowth,economicSector,EconomicGrowth,value,{Number},#Multiply,1000,unit,ZAR
ExecutiveAndCouncil,economicSector,ExecutiveOrCouncilService,value,{Number},#Multiply,1000,unit,ZAR
FinanceAndCorporateServices,economicSector,FinanceService__CorporateService,value,{Number},#Multiply,1000,unit,ZAR
WasteAndFleetManagement,economicSector,WasteAndFleetManagement,value,{Number},#Multiply,1000,unit,ZAR
CityPlanning,economicSector,CityPlanning,value,{Number},#Multiply,1000,unit,ZAR
EconomicDevelopment,economicSector,EconomicDevelopment,value,{Number},#Multiply,1000,unit,ZAR
DisasterAndEmergencyManagement,economicSector,DisasterOrEmergencyManagement,value,{Number},#Multiply,1000,unit,ZAR
HealthAndSocialDevelopment,economicSector,HealthService__SocialDevelopment,value,{Number},#Multiply,1000,unit,ZAR
EnvironmentalResourceManagement,economicSector,EnvironmentalResourceManagement,value,{Number},#Multiply,1000,unit,ZAR
MetroPolice,economicSector,MetroPoliceService,value,{Number},#Multiply,1000,unit,ZAR
RoadsAndStormwater,economicSector,RoadOrStormwater,value,{Number},#Multiply,1000,unit,ZAR
Other,economicSector,ZA_OtherService,value,{Number},#Multiply,1000,unit,ZAR
CityManagerOperations,economicSector,CityManagerOperation,value,{Number},#Multiply,1000,unit,ZAR
OfficeOfTheStrategicManagement,economicSector,StrategicManagementOffice,value,{Number},#Multiply,1000,unit,ZAR
Governance,economicSector,Governance,value,{Number},#Multiply,1000,unit,ZAR
CorporateAndHumanServices,economicSector,CorporateAndHumanService,value,{Number},#Multiply,1000,unit,ZAR
CommunityAndEmergencyServices,economicSector,CommunityAndEmergencyService,value,{Number},#Multiply,1000,unit,ZAR
TradingServices,economicSector,TradingService,value,{Number},#Multiply,1000,unit,ZAR
DurbanICC,economicSector,DurbanICC,value,{Number},#Multiply,1000,unit,ZAR
UshakaMarine,economicSector,UshakaMarine,value,{Number},#Multiply,1000,unit,ZAR
CommunityDevelopment,economicSector,CommunityDevelopment,value,{Number},#Multiply,1000,unit,ZAR
HealthDepartment,economicSector,HealthDepartment,value,{Number},#Multiply,1000,unit,ZAR
SocialDevelopment,economicSector,SocialDevelopment,value,{Number},#Multiply,1000,unit,ZAR
ForensicInvestigationServices,economicSector,ForensicInvestigationService,value,{Number},#Multiply,1000,unit,ZAR
OfficeOfTheOmbudsman,economicSector,OmbudsmanOffice,value,{Number},#Multiply,1000,unit,ZAR
SpeakerLegislativeArmOfCouncil,economicSector,SpeakerLegislativeArmOfCouncilService,value,{Number},#Multiply,1000,unit,ZAR
InformationAndCommunicationTechnology,economicSector,InformationAndCommunicationTechnology,value,{Number},#Multiply,1000,unit,ZAR
CorporateAndSharedServices,economicSector,CorporateAndSharedService,value,{Number},#Multiply,1000,unit,ZAR
DevelopmentPlanning,economicSector,DevelopmentPlanning,value,{Number},#Multiply,1000,unit,ZAR
MunicipalEntitiesAccounts,economicSector,MunicipalEntitiesAccount,value,{Number},#Multiply,1000,unit,ZAR
Electricty,economicSector,ElectricitySector,value,{Number},#Multiply,1000,unit,ZAR
Water,economicSector,WaterService,value,{Number},#Multiply,1000,unit,ZAR
RoadsAndTransportDepartment,economicSector,RoadsAndTransportDepartment,value,{Number},#Multiply,1000,unit,ZAR
Metrobus,economicSector,MetrobusService,value,{Number},#Multiply,1000,unit,ZAR
JohannesburgCityParksAndZoo,economicSector,JohannesburgCityParksAndZooService,value,{Number},#Multiply,1000,unit,ZAR
JohannesburgDevelopmentAgency,economicSector,JohannesburgDevelopmentAgency,value,{Number},#Multiply,1000,unit,ZAR
PropertyManagementDepartment,economicSector,PropertyManagementDepartment,value,{Number},#Multiply,1000,unit,ZAR
MetropolitanTradingCompany,economicSector,MetropolitanTradingCompany,value,{Number},#Multiply,1000,unit,ZAR
JoburgMarket,economicSector,JoburgMarket,value,{Number},#Multiply,1000,unit,ZAR
JohannesburgSocialHousingCompany,economicSector,JohannesburgSocialHousingCompany,value,{Number},#Multiply,1000,unit,ZAR
JoburgCityTheatres,economicSector,JoburgCityTheatre,value,{Number},#Multiply,1000,unit,ZAR
JohannesburgTourismCompany,economicSector,JohannesburgTourismCompany,value,{Number},#Multiply,1000,unit,ZAR
OfficeOfTheExecutiveMayor,economicSector,ExecutiveMayorOfficeService,value,{Number},#Multiply,1000,unit,ZAR
Engineering,economicSector,EngineeringService,value,{Number},#Multiply,1000,unit,ZAR
Miscellaneous,economicSector,ZA_MiscellaneousService,value,{Number},#Multiply,1000,unit,ZAR
NalediAndSoutpan,economicSector,NalediAndSoutpan,value,{Number},#Multiply,1000,unit,ZAR
StrategicProjects,economicSector,StrategicProject,value,{Number},#Multiply,1000,unit,ZAR
CommunityAndSocialDevelopmentServiceDepartment,economicSector,CommunityAndSocialDevelopmentServiceDepartment,value,{Number},#Multiply,1000,unit,ZAR
EmergencyServicesDepartment,economicSector,EmergencyServicesDepartment,value,{Number},#Multiply,1000,unit,ZAR
EnvironmentAndAgricultureManagementDepartment,economicSector,EnvironmentAndAgricultureManagementDepartment,value,{Number},#Multiply,1000,unit,ZAR
AuditAndRiskDepartment,economicSector,AuditAndRiskDepartment,value,{Number},#Multiply,1000,unit,ZAR
RegionalOperationsAndCoordinationDepartment,economicSector,RegionalOperationsAndCoordinationDepartment,value,{Number},#Multiply,1000,unit,ZAR
SharedServicesDepartment,economicSector,SharedServicesDepartment,value,{Number},#Multiply,1000,unit,ZAR
UtilityServicesDepartment,economicSector,UtilityServicesDepartment,value,{Number},#Multiply,1000,unit,ZAR
EconomicDevelopmentTourismAndAgriculture,economicSector,EconomicDevelopmentTourismAndAgriculture,value,{Number},#Multiply,1000,unit,ZAR
InfrastructureAndEngineeringUnit,economicSector,InfrastructureService__EngineeringService,value,{Number},#Multiply,1000,unit,ZAR
Sanitation,economicSector,SanitationService,value,{Number},#Multiply,1000,unit,ZAR
ElectricityAndEnergy,economicSector,ElectricitySector__EnergySector,value,{Number},#Multiply,1000,unit,ZAR
MandelaBayStadium,economicSector,MandelaBayStadium,value,{Number},#Multiply,1000,unit,ZAR
SpecialProjectsAndProgrammes,economicSector,SpecialProjectAndProgram,value,{Number},#Multiply,1000,unit,ZAR
BudgetAndTreasury,economicSector,BudgetAndTreasury,value,{Number},#Multiply,1000,unit,ZAR
