observationAbout,observationDate,value,variableMeasured,unit,scalingFactor
country/NGA,1995-01,13.70487,dcid:ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_AllItems,IndexPointBasePeriodJanuary2013Equals100,
country/NGA,1995-02,14.11993,dcid:ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_AllItems,IndexPointBasePeriodJanuary2013Equals100,
country/NGA,1995-03,14.6115,dcid:ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_AllItems,IndexPointBasePeriodJanuary2013Equals100,
country/NGA,1995-04,15.95829,dcid:ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_AllItems,IndexPointBasePeriodJanuary2013Equals100,
country/NGA,1995-05,16.64977,dcid:ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_AllItems,IndexPointBasePeriodJanuary2013Equals100,
country/NGA,1995-06,17.1025,dcid:ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_AllItems,IndexPointBasePeriodJanuary2013Equals100,
country/NGA,1995-07,18.03673,dcid:ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_AllItems,IndexPointBasePeriodJanuary2013Equals100,
country/NGA,1995-08,18.25167,dcid:ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_AllItems,IndexPointBasePeriodJanuary2013Equals100,
country/NGA,1995-09,18.25272,dcid:ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_AllItems,IndexPointBasePeriodJanuary2013Equals100,
country/NGA,1995-10,18.52183,dcid:ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_AllItems,IndexPointBasePeriodJanuary2013Equals100,
country/NGA,1995-11,18.71598,dcid:ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_AllItems,IndexPointBasePeriodJanuary2013Equals100,
country/NGA,1995-12,19.25703,dcid:ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_AllItems,IndexPointBasePeriodJanuary2013Equals100,
country/NGA,1996-01,19.92884,dcid:ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_AllItems,IndexPointBasePeriodJanuary2013Equals100,
country/NGA,1996-02,20.23051,dcid:ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_AllItems,IndexPointBasePeriodJanuary2013Equals100,
country/NGA,1996-03,20.6531,dcid:ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_AllItems,IndexPointBasePeriodJanuary2013Equals100,
country/NGA,1996-04,20.824,dcid:ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_AllItems,IndexPointBasePeriodJanuary2013Equals100,
country/NGA,1996-05,22.09417,dcid:ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_AllItems,IndexPointBasePeriodJanuary2013Equals100,
country/NGA,1996-06,22.74378,dcid:ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_AllItems,IndexPointBasePeriodJanuary2013Equals100,
country/NGA,1996-07,22.85139,dcid:ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_AllItems,IndexPointBasePeriodJanuary2013Equals100,
country/NGA,1996-08,23.06193,dcid:ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_AllItems,IndexPointBasePeriodJanuary2013Equals100,
country/NGA,1996-09,22.86791,dcid:ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_AllItems,IndexPointBasePeriodJanuary2013Equals100,
country/NGA,1996-10,22.92658,dcid:ConsumerPriceIndex_ConsumerGoodsAndServices_UrbanConsumer_AllItems,IndexPointBasePeriodJanuary2013Equals100,
