key,prop,val,,,,,,,,,,
RCDTS,observationAbout,{Data},measuredProperty,count,populationType,Student,assessmentType,DynamicLearningMaps,observationDate,2022,measurementDenominator,"-schoolSubject,-educationalAchievementLevel"
% Female students DLM Mathematics Approaching Target Grade 8,value,{Number},gender,Female,schoolSubject,Mathematics,educationalAchievementLevel,ApproachingTarget,schoolGradeLevel,SchoolGrade8,,
% Female students DLM Mathematics At Target Grade 8,value,{Number},gender,Female,schoolSubject,Mathematics,educationalAchievementLevel,AtTarget,schoolGradeLevel,SchoolGrade8,,
% Female students DLM Mathematics Advanced Grade 8,value,{Number},gender,Female,schoolSubject,Mathematics,educationalAchievementLevel,Advanced,schoolGradeLevel,SchoolGrade8,,
% Female students DLM Science Emerging Grade 8,value,{Number},gender,Female,schoolSubject,Science,educationalAchievementLevel,Emerging,schoolGradeLevel,SchoolGrade8,,
% Female students DLM Science Approaching Target Grade 8,value,{Number},gender,Female,schoolSubject,Science,educationalAchievementLevel,ApproachingTarget,schoolGradeLevel,SchoolGrade8,,
% Female students DLM Science At Target Grade 8,value,{Number},gender,Female,schoolSubject,Science,educationalAchievementLevel,AtTarget,schoolGradeLevel,SchoolGrade8,,
% Female students DLM Science Advanced Grade 8,value,{Number},gender,Female,schoolSubject,Science,educationalAchievementLevel,Advanced,schoolGradeLevel,SchoolGrade8,,
% White students DLM ELA Emerging Grade 8,value,{Number},race,White,schoolSubject,EnglishLanguageArts,educationalAchievementLevel,Emerging,schoolGradeLevel,SchoolGrade8,,
% White students DLM ELA Approaching Target Grade 8,value,{Number},race,White,schoolSubject,EnglishLanguageArts,educationalAchievementLevel,ApproachingTarget,schoolGradeLevel,SchoolGrade8,,
% White students DLM ELA At Target Grade 8,value,{Number},race,White,schoolSubject,EnglishLanguageArts,educationalAchievementLevel,AtTarget,schoolGradeLevel,SchoolGrade8,,
% White students DLM ELA Advanced Grade 8,value,{Number},race,White,schoolSubject,EnglishLanguageArts,educationalAchievementLevel,Advanced,schoolGradeLevel,SchoolGrade8,,
% White students DLM Mathematics Emerging Grade 8,value,{Number},race,White,schoolSubject,Mathematics,educationalAchievementLevel,Emerging,schoolGradeLevel,SchoolGrade8,,
% White students DLM Mathematics Approaching Target Grade 8,value,{Number},race,White,schoolSubject,Mathematics,educationalAchievementLevel,ApproachingTarget,schoolGradeLevel,SchoolGrade8,,
% White students DLM Mathematics At Target Grade 8,value,{Number},race,White,schoolSubject,Mathematics,educationalAchievementLevel,AtTarget,schoolGradeLevel,SchoolGrade8,,
% White students DLM Mathematics Advanced Grade 8,value,{Number},race,White,schoolSubject,Mathematics,educationalAchievementLevel,Advanced,schoolGradeLevel,SchoolGrade8,,
% White students DLM Science Emerging Grade 8,value,{Number},race,White,schoolSubject,Science,educationalAchievementLevel,Emerging,schoolGradeLevel,SchoolGrade8,,
% White students DLM Science Approaching Target Grade 8,value,{Number},race,White,schoolSubject,Science,educationalAchievementLevel,ApproachingTarget,schoolGradeLevel,SchoolGrade8,,
% White students DLM Science At Target Grade 8,value,{Number},race,White,schoolSubject,Science,educationalAchievementLevel,AtTarget,schoolGradeLevel,SchoolGrade8,,
% White students DLM Science Advanced Grade 8,value,{Number},race,White,schoolSubject,Science,educationalAchievementLevel,Advanced,schoolGradeLevel,SchoolGrade8,,
% Black or African American students DLM ELA Emerging Grade 8,value,{Number},race,BlackOrAfricanAmericanAlone,schoolSubject,EnglishLanguageArts,educationalAchievementLevel,Emerging,schoolGradeLevel,SchoolGrade8,,
% Black or African American students DLM ELA Approaching Target Grade 8,value,{Number},race,BlackOrAfricanAmericanAlone,schoolSubject,EnglishLanguageArts,educationalAchievementLevel,ApproachingTarget,schoolGradeLevel,SchoolGrade8,,
% Black or African American students DLM ELA At Target Grade 8,value,{Number},race,BlackOrAfricanAmericanAlone,schoolSubject,EnglishLanguageArts,educationalAchievementLevel,AtTarget,schoolGradeLevel,SchoolGrade8,,
% Black or African American students DLM ELA Advanced Grade 8,value,{Number},race,BlackOrAfricanAmericanAlone,schoolSubject,EnglishLanguageArts,educationalAchievementLevel,Advanced,schoolGradeLevel,SchoolGrade8,,
% Black or African American students DLM Mathematics Emerging Grade 8,value,{Number},race,BlackOrAfricanAmericanAlone,schoolSubject,Mathematics,educationalAchievementLevel,Emerging,schoolGradeLevel,SchoolGrade8,,
% Black or African American students DLM Mathematics Approaching Target Grade 8,value,{Number},race,BlackOrAfricanAmericanAlone,schoolSubject,Mathematics,educationalAchievementLevel,ApproachingTarget,schoolGradeLevel,SchoolGrade8,,
% Black or African American students DLM Mathematics At Target Grade 8,value,{Number},race,BlackOrAfricanAmericanAlone,schoolSubject,Mathematics,educationalAchievementLevel,AtTarget,schoolGradeLevel,SchoolGrade8,,
% Black or African American students DLM Mathematics Advanced Grade 8,value,{Number},race,BlackOrAfricanAmericanAlone,schoolSubject,Mathematics,educationalAchievementLevel,Advanced,schoolGradeLevel,SchoolGrade8,,
% Black or African American students DLM Science Emerging Grade 8,value,{Number},race,BlackOrAfricanAmericanAlone,schoolSubject,Science,educationalAchievementLevel,Emerging,schoolGradeLevel,SchoolGrade8,,
% Black or African American students DLM Science Approaching Target Grade 8,value,{Number},race,BlackOrAfricanAmericanAlone,schoolSubject,Science,educationalAchievementLevel,ApproachingTarget,schoolGradeLevel,SchoolGrade8,,
% Black or African American students DLM Science At Target Grade 8,value,{Number},race,BlackOrAfricanAmericanAlone,schoolSubject,Science,educationalAchievementLevel,AtTarget,schoolGradeLevel,SchoolGrade8,,
% Black or African American students DLM Science Advanced Grade 8,value,{Number},race,BlackOrAfricanAmericanAlone,schoolSubject,Science,educationalAchievementLevel,Advanced,schoolGradeLevel,SchoolGrade8,,
% Hispanic or Latino students DLM ELA Emerging Grade 8,value,{Number},ethnicity,HispanicOrLatino,schoolSubject,EnglishLanguageArts,educationalAchievementLevel,Emerging,schoolGradeLevel,SchoolGrade8,,
% Hispanic or Latino students DLM ELA Approaching Target Grade 8,value,{Number},ethnicity,HispanicOrLatino,schoolSubject,EnglishLanguageArts,educationalAchievementLevel,ApproachingTarget,schoolGradeLevel,SchoolGrade8,,
% Hispanic or Latino students DLM ELA At Target Grade 8,value,{Number},ethnicity,HispanicOrLatino,schoolSubject,EnglishLanguageArts,educationalAchievementLevel,AtTarget,schoolGradeLevel,SchoolGrade8,,
% Hispanic or Latino students DLM ELA Advanced Grade 8,value,{Number},ethnicity,HispanicOrLatino,schoolSubject,EnglishLanguageArts,educationalAchievementLevel,Advanced,schoolGradeLevel,SchoolGrade8,,
% Hispanic or Latino students DLM Mathematics Emerging Grade 8,value,{Number},ethnicity,HispanicOrLatino,schoolSubject,Mathematics,educationalAchievementLevel,Emerging,schoolGradeLevel,SchoolGrade8,,
% Hispanic or Latino students DLM Mathematics Approaching Target Grade 8,value,{Number},ethnicity,HispanicOrLatino,schoolSubject,Mathematics,educationalAchievementLevel,ApproachingTarget,schoolGradeLevel,SchoolGrade8,,
