srcStateName,srcDistrictName,Year,StateCode,StateName,DistrictCode,DistrictName,censusyear,CensusStateCode,CensusDistrictCode,TotalPopulation,TotalPopulationUrban,TotalPopulationRural,TotalPopulationMale,TotalPopulationMaleUrban,TotalPopulationMaleRural,TotalPopulationFemale,TotalPopulationFemaleUrban,TotalPopulationFemaleRural,NumberOfHouseholds,NumberOfHouseholdsUrban,NumberOfHouseholdsRural,LandAreaUrban,LandAreaRural,LandArea,JoinYear,NumberOfChildren,NumberOfParents,TotalPopulationMappingError%,TotalPopulationUrbanMappingError%,TotalPopulationRuralMappingError%,TotalPopulationMaleMappingError%,TotalPopulationMaleUrbanMappingError%,TotalPopulationMaleRuralMappingError%,TotalPopulationFemaleMappingError%,TotalPopulationFemaleUrbanMappingError%,TotalPopulationFemaleRuralMappingError%,NumberOfHouseholdsMappingError%,NumberOfHouseholdsUrbanMappingError%,NumberOfHouseholdsRuralMappingError%,LandAreaUrbanMappingError%,LandAreaRuralMappingError%,LandAreaMappingError%,WeighingRatio_TotalPopulation,WeighingRatio_Percentage_TotalPopulation,WeighingRatio_TotalPopulationUrban,WeighingRatio_Percentage_TotalPopulationUrban,WeighingRatio_TotalPopulationRural,WeighingRatio_Percentage_TotalPopulationRural,WeighingRatio_TotalPopulationMale,WeighingRatio_Percentage_TotalPopulationMale,WeighingRatio_TotalPopulationMaleUrban,WeighingRatio_Percentage_TotalPopulationMaleUrban,WeighingRatio_TotalPopulationMaleRural,WeighingRatio_Percentage_TotalPopulationMaleRural,WeighingRatio_TotalPopulationFemale,WeighingRatio_Percentage_TotalPopulationFemale,WeighingRatio_TotalPopulationFemaleUrban,WeighingRatio_Percentage_TotalPopulationFemaleUrban,WeighingRatio_TotalPopulationFemaleRural,WeighingRatio_Percentage_TotalPopulationFemaleRural,WeighingRatio_NumberOfHouseholds,WeighingRatio_Percentage_NumberOfHouseholds,WeighingRatio_NumberOfHouseholdsUrban,WeighingRatio_Percentage_NumberOfHouseholdsUrban,WeighingRatio_NumberOfHouseholdsRural,WeighingRatio_Percentage_NumberOfHouseholdsRural,WeighingRatio_LandAreaUrban,WeighingRatio_Percentage_LandAreaUrban,WeighingRatio_LandAreaRural,WeighingRatio_Percentage_LandAreaRural,WeighingRatio_LandArea,WeighingRatio_Percentage_LandArea
Andaman and Nicobar Island,Nicobars,2019-20,35,ANDAMAN AND NICOBAR ISLANDS,603,NICOBARS,2011,35,603,36842,0,36842,20727,0,20727,16115,0,16115,9288,0,9288,0,,,2019-20,1,1,0.000000000000000000000000,0,0.000000000000000000000000,0.000000000000000000000000,0,0.000000000000000000000000,0.000000000000000000000000,0,0.000000000000000000000000,0.00000000000000000000,0,0.00000000000000000000,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andaman and Nicobar Island,North & Middle Andaman,2019-20,35,ANDAMAN AND NICOBAR ISLANDS,632,NORTH AND MIDDLE ANDAMAN,2011,35,632,105597,2741,102856,54861,1404,53457,50736,1337,49399,26199,724,25475,595,,,2019-20,1,1,0.000000000000000000000000,0.00000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.00000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.00000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.00000000000000000000,0.000000000000000000000000,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andaman and Nicobar Island,South Andaman,2019-20,35,ANDAMAN AND NICOBAR ISLANDS,602,SOUTH ANDAMANS,2011,35,602,238142,140747,97395,127283,75180,52103,110859,65567,45292,59064,35297,23767,3204.37,,,2019-20,1,1,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andhra Pradesh,Anantapur,2019-20,28,ANDHRA PRADESH,502,ANANTAPUR,2011,28,502,4081148,1145711,2935437,2064495,575338,1489157,2016653,570373,1446280,968160,267794,700366,37694,1.75134e+06,1789033,2019-20,1,1,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andhra Pradesh,Chittoor,2019-20,28,ANDHRA PRADESH,503,CHITTOOR,2011,28,503,4174064,1231386,2942678,2090204,616152,1474052,2083860,615234,1468626,1039953,302631,737322,31862,1.13135e+06,1163209,2019-20,1,1,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andhra Pradesh,East Godavari,2019-20,28,ANDHRA PRADESH,505,EAST GODAVARI,2011,28,505,5285824,1313972,3971852,2633304,647395,1985909,2652520,666577,1985943,1465351,354755,1110596,30044,755027,785071,2019-20,1,1,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andhra Pradesh,Guntur,2019-20,28,ANDHRA PRADESH,506,GUNTUR,2011,28,506,4887813,1652738,3235075,2440521,819030,1621491,2447292,833708,1613584,1296609,419145,877464,31549,974408,1005957,2019-20,1,1,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andhra Pradesh,Krishna,2019-20,28,ANDHRA PRADESH,510,KRISHNA,2011,28,510,4517398,1843660,2673738,2267375,923841,1343534,2250023,919819,1330204,1243293,489371,753922,36385,801625,838010,2019-20,1,1,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andhra Pradesh,Kurnool,2019-20,28,ANDHRA PRADESH,511,KURNOOL,2011,28,511,4053463,1149286,2904177,2039227,574658,1464569,2014236,574628,1439608,887652,248532,639120,34739,1.42737e+06,1462108,2019-20,1,1,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andhra Pradesh,Prakasam,2019-20,28,ANDHRA PRADESH,517,PRAKASAM,2011,28,517,3397448,664582,2732866,1714764,332123,1382641,1682684,332459,1350225,860463,168650,691813,26863,1.33477e+06,1361634,2019-20,1,1,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andhra Pradesh,Srikakulam,2019-20,28,ANDHRA PRADESH,519,SRIKAKULAM,2011,28,519,2703114,436703,2266411,1341738,214850,1126888,1361376,221853,1139523,681330,108948,572382,18604,499232,517836,2019-20,1,1,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andhra Pradesh,Sri Potti Sriramulu Nellore,2019-20,28,ANDHRA PRADESH,515,SPSR NELLORE,2011,28,515,2963557,857630,2105927,1492974,432164,1060810,1470583,425466,1045117,776854,209734,567120,23206,1.16333e+06,1186537,2019-20,1,1,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andhra Pradesh,Visakhapatnam,2019-20,28,ANDHRA PRADESH,520,VISAKHAPATANAM,2011,28,520,4290589,2035922,2254667,2138910,1025676,1113234,2151679,1010246,1141433,1097042,517625,579417,63216,749446,812662,2019-20,1,1,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andhra Pradesh,Vizianagaram,2019-20,28,ANDHRA PRADESH,521,VIZIANAGARAM,2011,28,521,2344474,490911,1853563,1161477,241049,920428,1182997,249862,933135,587149,123623,463526,14008,535368,549376,2019-20,1,1,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andhra Pradesh,West Godavari,2019-20,28,ANDHRA PRADESH,523,WEST GODAVARI,2011,28,523,3995742,808777,3186965,1993747,397905,1595842,2001995,410872,1591123,1108916,214318,894598,15539,740395,755934,2019-20,1,1,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andhra Pradesh,Y.S.R.,2019-20,28,ANDHRA PRADESH,504,Y.S.R.,2011,28,504,2882469,979132,1903337,1451777,492084,959693,1430692,487048,943644,706204,228492,477712,48225,1.16028e+06,1208508,2019-20,1,1,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Arunachal Pradesh,Anjaw,2019-20,12,ARUNACHAL PRADESH,628,ANJAW,2011,12,628,21167,982,20185,11507,625,10882,9660,357,9303,4612,187,4425,,,,2019-20,1,1,0.000000000000000000000000,0.00000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.00000000000000000000,0.000000000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Arunachal Pradesh,Changlang,2019-20,12,ARUNACHAL PRADESH,229,CHANGLANG,2011,12,229,159386,30497,128889,81655,15420,66235,77731,15077,62654,31766,6930,24836,,0,,2019-20,1,1,0.07353635664458327100,0.000000000000000000000000,0.08449743406874525200,0.06237978894838072500,0.000000000000000000000000,0.07241675844485011200,0.08558040349055809600,0.00000000000000000000,0.09726540699992027400,0.07452322075810440000,0.00000000000000000000,0.08850269530935714900,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Arunachal Pradesh,Dibang Valley,2019-20,12,ARUNACHAL PRADESH,230,DIBANG VALLEY,2011,12,230,14240,8620,5620,7921,4823,3098,6319,3797,2522,3450,2119,1331,,0,,2019-20,1,1,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Arunachal Pradesh,East Kameng,2019-20,12,ARUNACHAL PRADESH,723,PAKKE KESSANG,2011,12,247,12098,0,12098,5957,0,5957,6141,0,6141,2158,0,2158,0,,,2019-20,2,1,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.00000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.00000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.00000000000000000000,0.000000000000000000000000,0,0,0,0.15374253399415427627,1,0.000000000000000000000000,1,0.20049718263175339741,1,0.15362991618310767247,1,0.00000000000000000000,1,0.20189114078492509998,1,0.15385193536264562195,1,0.00000000000000000000,1,0.19916326133489005643,1,0.14874551971326164875,1,0.00000000000000000000,1,0.19801798495136722334,1,,1,,1,,1
Arunachal Pradesh,East Kameng,2019-20,12,ARUNACHAL PRADESH,231,EAST KAMENG,2011,12,231,66592,18350,48242,32818,9269,23549,33774,9081,24693,12350,3610,8740,,,,2019-20,2,1,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.00000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.00000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.00000000000000000000,0.000000000000000000000000,0,0,0,0.84625746600584572373,1,1.00000000000000000000,1,0.79950281736824660259,1,0.84637008381689232753,1,1.00000000000000000000,1,0.79810885921507490002,1,0.84614806463735437805,1,1.00000000000000000000,1,0.80083673866510994357,1,0.85125448028673835125,1,1.00000000000000000000,1,0.80198201504863277666,1,,1,,1,,1
Arunachal Pradesh,East Siang,2019-20,12,ARUNACHAL PRADESH,719,LOWER SIANG,2011,12,251,9412,0,9412,4753,0,4753,4659,0,4659,1460,0,1460,0,,,2019-20,2,2,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.00000000000000000000,0.000000000000000000000000,0,0,0,0.12080605827236554999,0.44572835764349308581,0.000000000000000000000000,0,0.16447069513857337574,0.44572835764349308581,0.11879233210867011572,0.44144144144144144144,0.000000000000000000000000,0,0.16498316498316498316,0.44144144144144144144,0.12293200348294150241,0.45018842400231906464,0.00000000000000000000,0,0.16395115599817010944,0.45018842400231906464,0.09977448233444953188,0.38573315719947159841,0.00000000000000000000,0,0.14261990817622350298,0.38573315719947159841,0,0,,,,
Arunachal Pradesh,East Siang,2019-20,12,ARUNACHAL PRADESH,232,EAST SIANG,2011,12,232,68498,20684,47814,35258,11202,24056,33240,9482,23758,13173,4396,8777,0,0,,2019-20,2,1,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.00000000000000000000,0.000000000000000000000000,0,0,0,0.87919394172763445001,1,1.00000000000000000000,1,0.83552930486142662426,1,0.88120766789132988428,1,1.00000000000000000000,1,0.83501683501683501684,1,0.87706799651705849759,1,1.00000000000000000000,1,0.83604884400182989056,1,0.90022551766555046812,1,1.00000000000000000000,1,0.85738009182377649702,1,0,1,,1,,1
