"StatVar","ScalingFactors","MeasurementMethods","Units","NumPlaces","MinDate","observationPeriods"
"Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainmentDoctorateDegree_Male_Asian","[]","[]","[]","1","2013","[]"
"Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainmentCollegeGraduate_Female_TwoOrMoreRaces","[]","[]","[]","1","2013","[]"
"Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainmentCollegeGraduate_Black_AsAFractionOf_Count_Person_EducationalAttainmentCollegeGraduate","[100]","[]","[Percent]","1","2013","[]"
"Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainmentBachelorsDegree_Male_AsianOrPacificIslander","[]","[]","[]","1","2013","[]"
"Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainmentCollegeGraduate_Male_Black_AsAFractionOf_Count_Person_EducationalAttainmentCollegeGraduate_Male","[100]","[]","[Percent]","1","2013","[]"
"Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainmentMastersDegree_HispanicOrLatino_Female_AsAFractionOf_Count_Person_EducationalAttainmentMastersDegree_Female","[100]","[]","[Percent]","1","2013","[]"
"Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainmentCollegeGraduate_HispanicOrLatino_Female_AsAFractionOf_Count_Person_EducationalAttainmentCollegeGraduate_Female","[100]","[]","[Percent]","1","2013","[]"
"Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainment9ThTo12ThGradeNoDiploma_Male_AmericanIndianOrAlaskaNativeAlone","[]","[]","[]","1","2013","[]"
"Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainmentDoctorateDegree_Female_TwoOrMoreRaces","[]","[]","[]","1","2013","[]"
"Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainmentCollegeGraduate_Female_HawaiianNativeOrPacificIslander","[]","[]","[]","1","2013","[]"
"Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainmentBachelorsDegree_HispanicOrLatino_Female_AsAFractionOf_Count_Person_EducationalAttainmentBachelorsDegree_Female","[100]","[]","[Percent]","1","2013","[]"
"Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainmentDoctorateDegree_Male_AmericanIndianOrAlaskaNativeAlone_AsAFractionOf_Count_Person_EducationalAttainmentDoctorateDegree_Male","[100]","[]","[Percent]","1","2013","[]"
