"MinDate","observationPeriods","NumPlaces","StatVar","Units","MeasurementMethods","ScalingFactors"
"1990","[]","1","Count_Person_AreaOfBirth_AsAFractionOf_Count_Person","[Percent]","[]","[]"
"1990","[]","1","Count_Person_65OrMoreYears_AsAFractionOf_Count_Person","[Percent]","[]","[]"
"1990","[]","1","Count_Person_ForeignBorn","[]","[]","[]"
"1990","[]","1","Count_Person_FinnishSpokenAtHome_AsAFractionOf_Count_Person","[Percent]","[]","[]"
"1990","[]","1","IncrementalCount_Person","[]","[]","[]"
"1990","[]","1","Count_Person_15To64Years_AsAFractionOf_Count_Person","[Percent]","[]","[]"
"1990","[]","1","Count_Person_15OrLessYears_AsAFractionOf_Count_Person","[Percent]","[]","[]"
"1990","[]","1","Count_Person_SwedishSpokenAtHome","[]","[]","[]"
"1990","[]","1","Count_Person_PlaceOfBirthForeignBorn_AsAFractionOf_Count_Person","[Percent]","[]","[]"
"1990","[]","1","Count_Person_Rural_AsAFractionOf_Count_Person","[Percent]","[]","[]"
"1990","[]","1","Count_Person_PlaceOfBirthCountryFIN","[]","[]","[]"
"1990","[]","1","Count_Person_PlaceOfBirthBornOutsideAreaOfResidence","[]","[]","[]"
"1990","[]","1","Count_Person_YearsUpto14OrYears65Onwards_AsAFractionOf_Count_Person_15To64Years","[Percent]","[]","[]"
"1990","[]","1","Count_Person_ForeignBackground_AsAFractionOf_Count_Person","[Percent]","[]","[]"
"1990","[]","1","Count_Person_FinnishSpokenAtHome","[]","[]","[]"
"1990","[]","1","Area_LandCover","[SquareKilometer]","[]","[]"
"1990","[]","1","Count_Person_SamiSpokenAtHome","[]","[]","[]"
"1990","[]","1","Count_Person_InnerUrban_AsAFractionOf_Count_Person","[Percent]","[]","[]"
"1990","[]","1","Count_Person_NotACitizen_AsAFractionOf_Count_Person","[Percent]","[]","[]"
"1990","[]","1","Count_Person_FINOtherLanguagesSpokenAtHome_AsAFractionOf_Count_Person","[Percent]","[]","[]"
"1990","[]","1","Count_Person_NoReligiousAffiliation_AsAFractionOf_Count_Person","[Percent]","[]","[]"
"1990","[]","1","Mean_Age_Person_Female","[]","[]","[]"
"1990","[]","1","Count_Person_LutheranChurchMissouriSynod_AsAFractionOf_Count_Person","[Percent]","[]","[]"
"1990","[]","1","Count_Person","[]","[]","[]"
"1990","[]","1","Mean_Age_Person_Male","[]","[]","[]"
"1990","[]","1","Count_Person_LocalCentreRural_AsAFractionOf_Count_Person","[Percent]","[]","[]"
"1990","[]","1","Count_Person_NotACitizen","[]","[]","[]"
"1990","[]","1","Count_Person_FINOtherReligiousGroup_AsAFractionOf_Count_Person","[Percent]","[]","[]"
"1990","[]","1","Count_Person_RuralHeartland_AsAFractionOf_Count_Person","[Percent]","[]","[]"
"1990","[]","1","Count_Person_RuralCloseToUrban_AsAFractionOf_Count_Person","[Percent]","[]","[]"
"1990","[]","1","GrowthRate_Count_Person","[Percent]","[]","[]"
"1990","[]","1","Count_Person_PerArea","[PersonPerSquareKilometer]","[]","[]"
"1990","[]","1","Count_Person_ForeignBackground","[]","[]","[]"
"1990","[]","1","Count_Person_PeriUrban_AsAFractionOf_Count_Person","[Percent]","[]","[]"
"1990","[]","1","Count_Person_Urban_AsAFractionOf_Count_Person","[Percent]","[]","[]"
"1990","[]","1","Count_Person_SwedishSpokenAtHome_AsAFractionOf_Count_Person","[Percent]","[]","[]"
"1990","[]","1","Count_Person_YearsUpto14OrYears65Onwards_Unemployed_AsAFractionOf_Count_Person_15To64Years_Employed","[Percent]","[]","[]"
"1990","[]","1","Count_Person_PlaceOfBirthBornInAreaOfResidence_AsAFractionOf_Count_Person","[Percent]","[]","[]"
"1990","[]","1","Mean_Age_Person","[]","[]","[]"
"1990","[]","1","Count_Person_PlaceOfBirthBornInAreaOfResidence","[]","[]","[]"
"1990","[]","1","Count_Person_OuterUrban_AsAFractionOf_Count_Person","[Percent]","[]","[]"
"1990","[]","1","Count_Person_SparseRural_AsAFractionOf_Count_Person","[Percent]","[]","[]"
"1990","[]","1","Count_Person_FINOtherLanguagesSpokenAtHome","[]","[]","[]"
