observationDate,observationAbout,variableMeasured,value
2022,nces/010000500870,dcid:Count_Student_EnrolledInEducationOrTraining_Male_LimitedEnglishProficient_EnglishLearner_HispanicOrLatino,96
2022,nces/010000500870,dcid:Count_Student_EnrolledInEducationOrTraining_Female_LimitedEnglishProficient_EnglishLearner_HispanicOrLatino,101
2022,nces/010000500870,dcid:Count_Student_EnrolledInEducationOrTraining_Male_LimitedEnglishProficient_EnglishLearner_AmericanIndianOrAlaskaNativeAlone,1
2022,nces/010000500870,dcid:Count_Student_EnrolledInEducationOrTraining_Female_LimitedEnglishProficient_EnglishLearner_AmericanIndianOrAlaskaNativeAlone,0
2022,nces/010000500870,dcid:Count_Student_EnrolledInEducationOrTraining_Male_LimitedEnglishProficient_EnglishLearner_AsianAlone,1
2022,nces/010000500870,dcid:Count_Student_EnrolledInEducationOrTraining_Female_LimitedEnglishProficient_EnglishLearner_AsianAlone,1
2022,nces/010000500870,dcid:Count_Student_EnrolledInEducationOrTraining_Male_LimitedEnglishProficient_EnglishLearner_NativeHawaiianOrOtherPacificIslanderAlone,0
2022,nces/010000500870,dcid:Count_Student_EnrolledInEducationOrTraining_Female_LimitedEnglishProficient_EnglishLearner_NativeHawaiianOrOtherPacificIslanderAlone,0
2022,nces/010000500870,dcid:Count_Student_EnrolledInEducationOrTraining_Male_LimitedEnglishProficient_EnglishLearner_BlackOrAfricanAmericanAlone,4
2022,nces/010000500870,dcid:Count_Student_EnrolledInEducationOrTraining_Female_LimitedEnglishProficient_EnglishLearner_BlackOrAfricanAmericanAlone,8
2022,nces/010000500870,dcid:Count_Student_EnrolledInEducationOrTraining_Male_LimitedEnglishProficient_EnglishLearner_WhiteAlone,1
2022,nces/010000500870,dcid:Count_Student_EnrolledInEducationOrTraining_Female_LimitedEnglishProficient_EnglishLearner_WhiteAlone,2
2022,nces/010000500870,dcid:Count_Student_EnrolledInEducationOrTraining_Male_LimitedEnglishProficient_EnglishLearner_TwoOrMoreRaces,0
2022,nces/010000500870,dcid:Count_Student_EnrolledInEducationOrTraining_Female_LimitedEnglishProficient_EnglishLearner_TwoOrMoreRaces,0
