value,date,duration,statvar,unit
100.0,1999-12,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
100.3,2000-01,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
100.9,2000-02,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
101.6,2000-03,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
101.6,2000-04,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
101.7,2000-05,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
102.1,2000-06,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
102.3,2000-07,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
102.3,2000-08,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
102.8,2000-09,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
102.9,2000-10,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
102.8,2000-11,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
102.6,2000-12,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
103.3,2001-01,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
103.7,2001-02,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
103.9,2001-03,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
104.2,2001-04,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
104.6,2001-05,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
104.8,2001-06,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
104.5,2001-07,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
104.6,2001-08,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
104.9,2001-09,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
104.7,2001-10,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
104.4,2001-11,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
103.9,2001-12,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
104.2,2002-01,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
104.5,2002-02,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
105.1,2002-03,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
105.6,2002-04,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
105.6,2002-05,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
105.6,2002-06,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
105.7,2002-07,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
106.0,2002-08,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
106.3,2002-09,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
106.4,2002-10,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
106.3,2002-11,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
106.0,2002-12,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
106.5,2003-01,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
107.3,2003-02,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
107.9,2003-03,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
107.7,2003-04,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
107.5,2003-05,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
107.6,2003-06,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
107.7,2003-07,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
108.2,2003-08,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
