"MinDate","observationPeriods","MeasurementMethods","NumPlaces","StatVar","ScalingFactors","Units"
"1978","[P1Y, P1M]","[dcAggregate/NFIPInsuranceClaims]","2266","SettlementAmount_NaturalHazardInsurance_FEMAFloodZoneA10_BuildingStructureAndContents_FloodEvent","[]","[USDollar]"
"1978","[P1Y, P1M]","[dcAggregate/NFIPInsuranceClaims]","472","CountOfClaims_NaturalHazardInsurance_FEMAFloodZoneV10_BuildingStructureAndContents_FloodEvent","[]","[]"
"1978","[P1Y, P1M]","[dcAggregate/NFIPInsuranceClaims]","103","CountOfClaims_NaturalHazardInsurance_FEMAFloodZoneV04_BuildingStructureAndContents_FloodEvent","[]","[]"
"1978","[P1Y, P1M]","[dcAggregate/NFIPInsuranceClaims]","72","SettlementAmount_NaturalHazardInsurance_FEMAFloodZoneV03_BuildingContents_FloodEvent","[]","[USDollar]"
"1978","[P1Y, P1M]","[dcAggregate/NFIPInsuranceClaims]","43600","SettlementAmount_NaturalHazardInsurance_FEMALowRiskFloodZone_BuildingStructureAndContents_FloodEvent","[]","[USDollar]"
"1978","[P1Y, P1M]","[dcAggregate/NFIPInsuranceClaims]","1659","SettlementAmount_NaturalHazardInsurance_FEMAFloodZoneAH_BuildingStructureAndContents_FloodEvent","[]","[USDollar]"
"1981","[P1Y, P1M]","[dcAggregate/NFIPInsuranceClaims]","5","SettlementAmount_NaturalHazardInsurance_FEMAFloodZoneV27_BuildingStructureAndContents_FloodEvent","[]","[USDollar]"
"1978","[P1Y, P1M]","[dcAggregate/NFIPInsuranceClaims]","199","SettlementAmount_NaturalHazardInsurance_FEMAFloodZoneA19_BuildingContents_FloodEvent","[]","[USDollar]"
"1978","[P1Y, P1M]","[dcAggregate/NFIPInsuranceClaims]","2214","CountOfClaims_NaturalHazardInsurance_FEMAFloodZoneA09_BuildingStructureAndContents_FloodEvent","[]","[]"
"1982","[P1Y, P1M]","[dcAggregate/NFIPInsuranceClaims]","15","SettlementAmount_NaturalHazardInsurance_FEMAFloodZoneV01_BuildingStructure_FloodEvent","[]","[USDollar]"
"1983","[P1Y, P1M]","[dcAggregate/NFIPInsuranceClaims]","956","SettlementAmount_NaturalHazardInsurance_FEMAFloodZoneAHB_BuildingContents_FloodEvent","[]","[USDollar]"
"1978","[P1Y, P1M]","[dcAggregate/NFIPInsuranceClaims]","1399","CountOfClaims_NaturalHazardInsurance_FEMAFloodZoneA13_BuildingStructureAndContents_FloodEvent","[]","[]"
"1980","[P1Y, P1M]","[dcAggregate/NFIPInsuranceClaims]","10","SettlementAmount_NaturalHazardInsurance_FEMAFloodZoneV24_BuildingStructure_FloodEvent","[]","[USDollar]"
"1978","[P1Y, P1M]","[dcAggregate/NFIPInsuranceClaims]","1362","SettlementAmount_NaturalHazardInsurance_FEMAFloodZoneA14_BuildingContents_FloodEvent","[]","[USDollar]"
"1978","[P1Y, P1M]","[dcAggregate/NFIPInsuranceClaims]","97","SettlementAmount_NaturalHazardInsurance_FEMAFloodZoneV18_BuildingStructure_FloodEvent","[]","[USDollar]"
"1978","[P1Y, P1M]","[dcAggregate/NFIPInsuranceClaims]","81","CountOfClaims_NaturalHazardInsurance_FEMAFloodZoneA24_BuildingStructureAndContents_FloodEvent","[]","[]"
"1978","[P1Y, P1M]","[dcAggregate/NFIPInsuranceClaims]","581","CountOfClaims_NaturalHazardInsurance_FEMAFloodZoneA99_BuildingStructureAndContents_FloodEvent","[]","[]"
"1978","[P1Y, P1M]","[dcAggregate/NFIPInsuranceClaims]","1093","SettlementAmount_NaturalHazardInsurance_FEMAFloodZoneA15_BuildingStructureAndContents_FloodEvent","[]","[USDollar]"
"1998","[P1Y, P1M]","[dcAggregate/NFIPInsuranceClaims]","9","SettlementAmount_NaturalHazardInsurance_FEMAFloodZoneV23_BuildingContents_FloodEvent","[]","[USDollar]"
"1985","[P1Y, P1M]","[dcAggregate/NFIPInsuranceClaims]","18","SettlementAmount_NaturalHazardInsurance_FEMAFloodZoneA28_BuildingStructure_FloodEvent","[]","[USDollar]"
"1978","[P1Y, P1M]","[dcAggregate/NFIPInsuranceClaims]","180","SettlementAmount_NaturalHazardInsurance_FEMAFloodZoneV05_BuildingContents_FloodEvent","[]","[USDollar]"
"1978","[P1Y, P1M]","[dcAggregate/NFIPInsuranceClaims]","228","CountOfClaims_NaturalHazardInsurance_FEMAFloodZoneV05_BuildingStructureAndContents_FloodEvent","[]","[]"
"1978","[P1Y, P1M]","[dcAggregate/NFIPInsuranceClaims]","154","SettlementAmount_NaturalHazardInsurance_FEMAFloodZoneV07_BuildingStructureAndContents_FloodEvent","[]","[USDollar]"
"1978","[P1Y, P1M]","[dcAggregate/NFIPInsuranceClaims]","140","SettlementAmount_NaturalHazardInsurance_FEMAFloodZoneV_BuildingStructureAndContents_FloodEvent","[]","[USDollar]"
"1983","[P1Y, P1M]","[dcAggregate/NFIPInsuranceClaims]","27433","SettlementAmount_NaturalHazardInsurance_FEMAFloodZoneAE_BuildingStructure_FloodEvent","[]","[USDollar]"
"1978","[P1Y, P1M]","[dcAggregate/NFIPInsuranceClaims]","1758","SettlementAmount_NaturalHazardInsurance_FEMAFloodZoneA11_BuildingStructure_FloodEvent","[]","[USDollar]"
"1978","[P1Y, P1M]","[dcAggregate/NFIPInsuranceClaims]","4311","CountOfClaims_NaturalHazardInsurance_FEMAFloodZoneA04_BuildingStructureAndContents_FloodEvent","[]","[]"
"1978","[P1Y, P1M]","[dcAggregate/NFIPInsuranceClaims]","398","CountOfClaims_NaturalHazardInsurance_FEMAFloodZoneA18_BuildingStructureAndContents_FloodEvent","[]","[]"
"1978","[P1Y, P1M]","[dcAggregate/NFIPInsuranceClaims]","1815","SettlementAmount_NaturalHazardInsurance_FEMAFloodZoneAO_BuildingStructure_FloodEvent","[]","[USDollar]"
"1978","[P1Y, P1M]","[dcAggregate/NFIPInsuranceClaims]","2449","SettlementAmount_NaturalHazardInsurance_FEMAFloodZoneA08_BuildingContents_FloodEvent","[]","[USDollar]"
"1997","[P1Y, P1M]","[dcAggregate/NFIPInsuranceClaims]","33","SettlementAmount_NaturalHazardInsurance_FEMAFloodZoneAR_BuildingContents_FloodEvent","[]","[USDollar]"
"1978","[P1Y, P1M]","[dcAggregate/NFIPInsuranceClaims]","264","SettlementAmount_NaturalHazardInsurance_FEMAFloodZoneA21_BuildingStructure_FloodEvent","[]","[USDollar]"
"1985","[P1Y, P1M]","[dcAggregate/NFIPInsuranceClaims]","12","SettlementAmount_NaturalHazardInsurance_FEMAFloodZoneAA_BuildingStructure_FloodEvent","[]","[USDollar]"
"1979","[P1Y, P1M]","[dcAggregate/NFIPInsuranceClaims]","22","SettlementAmount_NaturalHazardInsurance_FEMAFloodZoneA26_BuildingStructureAndContents_FloodEvent","[]","[USDollar]"
"1997","[P1Y, P1M]","[dcAggregate/NFIPInsuranceClaims]","33","SettlementAmount_NaturalHazardInsurance_FEMAFloodZoneAR_BuildingStructure_FloodEvent","[]","[USDollar]"
"1979","[P1Y, P1M]","[dcAggregate/NFIPInsuranceClaims]","43","SettlementAmount_NaturalHazardInsurance_FEMAFloodZoneA25_BuildingContents_FloodEvent","[]","[USDollar]"
"1978","[P1Y, P1M]","[dcAggregate/NFIPInsuranceClaims]","3086","SettlementAmount_NaturalHazardInsurance_FEMAFloodZoneA06_BuildingStructureAndContents_FloodEvent","[]","[USDollar]"
"1980","[P1Y, P1M]","[dcAggregate/NFIPInsuranceClaims]","158","CountOfClaims_NaturalHazardInsurance_FEMAFloodZoneV16_BuildingStructureAndContents_FloodEvent","[]","[]"
"1988","[P1Y, P1M]","[dcAggregate/NFIPInsuranceClaims]","4","SettlementAmount_NaturalHazardInsurance_FEMAFloodZoneAS_BuildingStructureAndContents_FloodEvent","[]","[USDollar]"
"1983","[P1Y, P1M]","[dcAggregate/NFIPInsuranceClaims]","956","SettlementAmount_NaturalHazardInsurance_FEMAFloodZoneAHB_BuildingStructureAndContents_FloodEvent","[]","[USDollar]"
"1978","[P1Y, P1M]","[dcAggregate/NFIPInsuranceClaims]","3480","SettlementAmount_NaturalHazardInsurance_FEMAFloodZoneA02_BuildingContents_FloodEvent","[]","[USDollar]"
"1978","[P1Y, P1M]","[dcAggregate/NFIPInsuranceClaims]","3480","SettlementAmount_NaturalHazardInsurance_FEMAFloodZoneA02_BuildingStructure_FloodEvent","[]","[USDollar]"
"1978","[P1Y, P1M]","[dcAggregate/NFIPInsuranceClaims]","274","SettlementAmount_NaturalHazardInsurance_FEMAFloodZoneV14_BuildingStructure_FloodEvent","[]","[USDollar]"
"1978","[P1Y, P1M]","[dcAggregate/NFIPInsuranceClaims]","140","SettlementAmount_NaturalHazardInsurance_FEMAFloodZoneV_BuildingContents_FloodEvent","[]","[USDollar]"
"1979","[P1Y, P1M]","[dcAggregate/NFIPInsuranceClaims]","114","SettlementAmount_NaturalHazardInsurance_FEMAFloodZoneV20_BuildingStructure_FloodEvent","[]","[USDollar]"
"1980","[P1Y, P1M]","[dcAggregate/NFIPInsuranceClaims]","139","SettlementAmount_NaturalHazardInsurance_FEMAFloodZoneV16_BuildingContents_FloodEvent","[]","[USDollar]"
"1978","[P1Y, P1M]","[dcAggregate/NFIPInsuranceClaims]","97","SettlementAmount_NaturalHazardInsurance_FEMAFloodZoneV18_BuildingStructureAndContents_FloodEvent","[]","[USDollar]"
"1980","[P1Y, P1M]","[dcAggregate/NFIPInsuranceClaims]","9","CountOfClaims_NaturalHazardInsurance_FEMAFloodZoneV30_BuildingStructureAndContents_FloodEvent","[]","[]"
"1978","[P1Y, P1M]","[dcAggregate/NFIPInsuranceClaims]","2449","SettlementAmount_NaturalHazardInsurance_FEMAFloodZoneA08_BuildingStructure_FloodEvent","[]","[USDollar]"
"1978","[P1Y, P1M]","[dcAggregate/NFIPInsuranceClaims]","207","SettlementAmount_NaturalHazardInsurance_FEMAFloodZoneV06_BuildingContents_FloodEvent","[]","[USDollar]"
"1988","[P1Y, P1M]","[dcAggregate/NFIPInsuranceClaims]","4","CountOfClaims_NaturalHazardInsurance_FEMAFloodZoneAS_BuildingStructureAndContents_FloodEvent","[]","[]"
"1978","[P1Y, P1M]","[dcAggregate/NFIPInsuranceClaims]","644","SettlementAmount_NaturalHazardInsurance_FEMAFloodZoneA17_BuildingStructureAndContents_FloodEvent","[]","[USDollar]"
