State,Facilities
Andhra Pradesh,AndhraPradesh.zip
Arunachal Pradesh,ArunachalPradesh.zip
Assam,Assam.zip
Bihar,Bihar.zip
Chhatisgarh,Chhattisgarh.zip
Gujarat,Gujarat.zip
Himachal Pradesh,HimachalPradesh.zip
Haryana,Haryana.zip
Jharkhand,Jharkhand.zip
Karnataka,Karnataka.zip
Kerala,Kerala.zip
Ladakh,Ladakh.zip
Meghalaya,Meghalaya.zip
Maharashtra,Maharashtra.zip
Manipur,Manipur.zip
Madhya Pradesh,MadhyaPradesh.zip
Mizoram,Mizoram.zip
Nagaland,Nagaland.zip
Orissa,Odisha.zip
Punjab,Punjab.zip
Rajasthan,Rajasthan.zip
Sikkim,Sikkim.zip
Telangana,Telangana.zip
Tamil Nadu,Tamilnadu.zip
Tripura,Tripura.zip
Uttar Pradesh,UttarPradesh.zip
Uttarakhand,Uttarakhand.zip
West Bengal,WestBengal.zip
