unit,smoking,quant_inc,sex,age,geo\time	2019 	2014 
PC,SM_CUR,QU2,F,Y25-64,TR	: 	21.4 
PC,SM_CUR,QU2,F,Y25-64,UK	: 	24.8 
PC,SM_CUR,QU2,F,Y35-44,AT	34.2 	49.1 
PC,SM_CUR,QU2,F,Y35-44,BE	18.5 	32.1 u
PC,SM_CUR,QU2,F,Y35-44,BG	38.7 	49.3 
PC,SM_CUR,QU2,F,Y35-44,CY	27.6 	14.3 
PC,SM_CUR,QU2,F,Y35-44,CZ	28.7 	26.2 
PC,SM_CUR,QU2,F,Y35-44,DE	29.2 	23.7 
PC,SM_CUR,QU2,F,Y35-44,DK	17.4 	24.4 u
PC,SM_CUR,QU2,F,Y35-44,EE	27.4 	22.8 
PC,SM_CUR,QU2,F,Y35-44,EL	31.0 	42.4 
PC,SM_CUR,QU2,F,Y35-44,ES	28.4 	27.0 
PC,SM_CUR,QU2,F,Y35-44,EU27_2020	26.8 	27.7 
PC,SM_CUR,QU2,F,Y35-44,EU28	: 	26.6 
PC,SM_CUR,QU2,F,Y35-44,FI	16.9 	16.9 
PC,SM_CUR,QU2,F,Y35-44,FR	31.0 	38.4 
PC,SM_CUR,QU2,F,Y35-44,HR	45.3 	38.8 u
PC,SM_CUR,QU2,F,Y35-44,HU	35.4 	30.6 
PC,SM_CUR,QU2,F,Y35-44,IE	26.3 	23.3 
PC,SM_CUR,QU2,F,Y35-44,IS	13.1 	26.5 
PC,SM_CUR,QU2,F,Y35-44,IT	19.6 	20.6 
PC,SM_CUR,QU2,F,Y35-44,LT	33.6 	27.5 
PC,SM_CUR,QU2,F,Y35-44,LU	26.9 	33.4 
PC,SM_CUR,QU2,F,Y35-44,LV	34.2 	27.3 
PC,SM_CUR,QU2,F,Y35-44,MT	30.8 	26.6 
PC,SM_CUR,QU2,F,Y35-44,NL	29.1 	24.9 
PC,SM_CUR,QU2,F,Y35-44,NO	12.6 	19.9 
PC,SM_CUR,QU2,F,Y35-44,PL	22.5 	27.3 
PC,SM_CUR,QU2,F,Y35-44,PT	19.0 	21.7 
PC,SM_CUR,QU2,F,Y35-44,RO	20.2 	14.7 
PC,SM_CUR,QU2,F,Y35-44,RS	44.7 	: 
PC,SM_CUR,QU2,F,Y35-44,SE	12.8 	10.5 
PC,SM_CUR,QU2,F,Y35-44,SI	27.5 	30.7 
PC,SM_CUR,QU2,F,Y35-44,SK	24.5 	24.6 
PC,SM_CUR,QU2,F,Y35-44,TR	25.8 	26.2 
PC,SM_CUR,QU2,F,Y35-44,UK	: 	19.5 
PC,SM_CUR,QU2,F,Y45-54,AT	31.7 	34.5 
PC,SM_CUR,QU2,F,Y45-54,BE	30.1 	31.6 u
PC,SM_CUR,QU2,F,Y45-54,BG	59.9 	32.5 
PC,SM_CUR,QU2,F,Y45-54,CY	14.4 	20.9 
PC,SM_CUR,QU2,F,Y45-54,CZ	34.1 	20.3 u
PC,SM_CUR,QU2,F,Y45-54,DE	28.4 	31.4 
PC,SM_CUR,QU2,F,Y45-54,DK	22.6 	24.6 
PC,SM_CUR,QU2,F,Y45-54,EE	34.8 	29.5 
PC,SM_CUR,QU2,F,Y45-54,EL	36.3 	42.4 
PC,SM_CUR,QU2,F,Y45-54,ES	29.2 	27.4 
PC,SM_CUR,QU2,F,Y45-54,EU27_2020	26.4 	27.4 
PC,SM_CUR,QU2,F,Y45-54,EU28	: 	27.0 
PC,SM_CUR,QU2,F,Y45-54,FI	28.2 	20.0 
PC,SM_CUR,QU2,F,Y45-54,FR	23.8 	27.3 
PC,SM_CUR,QU2,F,Y45-54,HR	39.1 	36.9 
PC,SM_CUR,QU2,F,Y45-54,HU	30.2 	31.8 
PC,SM_CUR,QU2,F,Y45-54,IE	28.1 	17.0 
PC,SM_CUR,QU2,F,Y45-54,IS	10.4 	21.9 u
PC,SM_CUR,QU2,F,Y45-54,IT	21.0 	21.8 
PC,SM_CUR,QU2,F,Y45-54,LT	22.5 	27.8 
PC,SM_CUR,QU2,F,Y45-54,LU	16.6 	23.7 
PC,SM_CUR,QU2,F,Y45-54,LV	28.7 	25.5 
PC,SM_CUR,QU2,F,Y45-54,MT	43.0 	29.7 
PC,SM_CUR,QU2,F,Y45-54,NL	37.6 	29.5 
PC,SM_CUR,QU2,F,Y45-54,NO	33.6 	23.2 
PC,SM_CUR,QU2,F,Y45-54,PL	29.6 	35.4 
PC,SM_CUR,QU2,F,Y45-54,PT	10.2 	8.7 
PC,SM_CUR,QU2,F,Y45-54,RO	12.5 	13.4 
PC,SM_CUR,QU2,F,Y45-54,RS	34.3 	: 
PC,SM_CUR,QU2,F,Y45-54,SE	14.6 	28.6 
PC,SM_CUR,QU2,F,Y45-54,SI	39.2 	32.8 
PC,SM_CUR,QU2,F,Y45-54,SK	32.7 	30.8 
PC,SM_CUR,QU2,F,Y45-54,TR	19.1 	18.4 
PC,SM_CUR,QU2,F,Y45-54,UK	: 	23.9 
PC,SM_CUR,QU2,F,Y45-64,AT	28.8 	32.1 
PC,SM_CUR,QU2,F,Y45-64,BE	25.4 	33.1 u
PC,SM_CUR,QU2,F,Y45-64,BG	33.8 	23.7 
PC,SM_CUR,QU2,F,Y45-64,CY	12.4 	18.5 
PC,SM_CUR,QU2,F,Y45-64,CZ	33.8 	25.4 
PC,SM_CUR,QU2,F,Y45-64,DE	26.3 	27.8 
PC,SM_CUR,QU2,F,Y45-64,DK	21.6 	29.7 
PC,SM_CUR,QU2,F,Y45-64,EE	32.5 	28.1 
PC,SM_CUR,QU2,F,Y45-64,EL	32.6 	34.0 
PC,SM_CUR,QU2,F,Y45-64,ES	27.4 	25.4 
PC,SM_CUR,QU2,F,Y45-64,EU27_2020	24.9 	24.8 
PC,SM_CUR,QU2,F,Y45-64,EU28	: 	24.6 
PC,SM_CUR,QU2,F,Y45-64,FI	23.4 	22.5 
PC,SM_CUR,QU2,F,Y45-64,FR	23.2 	22.8 
PC,SM_CUR,QU2,F,Y45-64,HR	38.3 	23.9 
PC,SM_CUR,QU2,F,Y45-64,HU	28.7 	26.8 
PC,SM_CUR,QU2,F,Y45-64,IE	23.9 	19.0 
PC,SM_CUR,QU2,F,Y45-64,IS	12.7 	21.3 
PC,SM_CUR,QU2,F,Y45-64,IT	21.4 	21.7 
PC,SM_CUR,QU2,F,Y45-64,LT	19.2 	16.7 
PC,SM_CUR,QU2,F,Y45-64,LU	20.7 	23.7 
PC,SM_CUR,QU2,F,Y45-64,LV	20.1 	21.0 
PC,SM_CUR,QU2,F,Y45-64,MT	28.2 	27.9 
PC,SM_CUR,QU2,F,Y45-64,NL	33.2 	27.9 
PC,SM_CUR,QU2,F,Y45-64,NO	32.9 	29.6 
PC,SM_CUR,QU2,F,Y45-64,PL	29.9 	32.3 
PC,SM_CUR,QU2,F,Y45-64,PT	9.0 	9.5 
PC,SM_CUR,QU2,F,Y45-64,RO	9.9 	8.7 
PC,SM_CUR,QU2,F,Y45-64,RS	35.7 	: 
PC,SM_CUR,QU2,F,Y45-64,SE	24.0 	27.6 
PC,SM_CUR,QU2,F,Y45-64,SI	34.0 	27.4 
PC,SM_CUR,QU2,F,Y45-64,SK	24.6 	23.8 
PC,SM_CUR,QU2,F,Y45-64,TR	14.8 	15.4 
PC,SM_CUR,QU2,F,Y45-64,UK	: 	22.8 
PC,SM_CUR,QU2,F,Y55-64,AT	26.4 	28.4 
PC,SM_CUR,QU2,F,Y55-64,BE	21.0 	34.7 u
PC,SM_CUR,QU2,F,Y55-64,BG	19.5 	16.5 
PC,SM_CUR,QU2,F,Y55-64,CY	9.8 	16.5 
PC,SM_CUR,QU2,F,Y55-64,CZ	33.4 	29.0 
PC,SM_CUR,QU2,F,Y55-64,DE	24.1 	23.6 
PC,SM_CUR,QU2,F,Y55-64,DK	20.5 	33.7 
PC,SM_CUR,QU2,F,Y55-64,EE	30.9 	27.1 
PC,SM_CUR,QU2,F,Y55-64,EL	26.8 	25.1 
PC,SM_CUR,QU2,F,Y55-64,ES	25.0 	22.9 
PC,SM_CUR,QU2,F,Y55-64,EU27_2020	23.2 	22.0 
PC,SM_CUR,QU2,F,Y55-64,EU28	: 	21.9 
PC,SM_CUR,QU2,F,Y55-64,FI	14.8 	25.5 
PC,SM_CUR,QU2,F,Y55-64,FR	22.3 	18.4 
PC,SM_CUR,QU2,F,Y55-64,HR	37.6 	12.4 
PC,SM_CUR,QU2,F,Y55-64,HU	27.4 	23.6 
PC,SM_CUR,QU2,F,Y55-64,IE	18.4 	21.5 
PC,SM_CUR,QU2,F,Y55-64,IS	14.0 	20.7 u
PC,SM_CUR,QU2,F,Y55-64,IT	21.9 	21.5 
PC,SM_CUR,QU2,F,Y55-64,LT	16.9 	10.9 
PC,SM_CUR,QU2,F,Y55-64,LU	25.4 	23.6 u
PC,SM_CUR,QU2,F,Y55-64,LV	13.5 	15.7 
PC,SM_CUR,QU2,F,Y55-64,MT	19.1 	26.2 
PC,SM_CUR,QU2,F,Y55-64,NL	28.4 	26.0 
PC,SM_CUR,QU2,F,Y55-64,NO	31.8 	38.7 
PC,SM_CUR,QU2,F,Y55-64,PL	30.1 	30.3 
PC,SM_CUR,QU2,F,Y55-64,PT	7.7 	10.3 
PC,SM_CUR,QU2,F,Y55-64,RO	7.7 	5.5 
PC,SM_CUR,QU2,F,Y55-64,RS	36.8 	: 
PC,SM_CUR,QU2,F,Y55-64,SE	34.1 	26.6 
PC,SM_CUR,QU2,F,Y55-64,SI	30.5 	23.4 
PC,SM_CUR,QU2,F,Y55-64,SK	19.2 	17.6 
PC,SM_CUR,QU2,F,Y55-64,TR	10.3 	12.1 
PC,SM_CUR,QU2,F,Y55-64,UK	: 	21.6 
PC,SM_CUR,QU2,F,Y65-74,AT	16.4 	10.1 
PC,SM_CUR,QU2,F,Y65-74,BE	8.4 	16.2 u
PC,SM_CUR,QU2,F,Y65-74,BG	12.3 	2.2 
PC,SM_CUR,QU2,F,Y65-74,CY	5.7 	5.0 
PC,SM_CUR,QU2,F,Y65-74,CZ	14.9 	14.3 
PC,SM_CUR,QU2,F,Y65-74,DE	20.0 	6.7 
PC,SM_CUR,QU2,F,Y65-74,DK	7.9 	12.3 
PC,SM_CUR,QU2,F,Y65-74,EE	8.7 	7.6 
PC,SM_CUR,QU2,F,Y65-74,EL	14.0 	10.9 
PC,SM_CUR,QU2,F,Y65-74,ES	9.6 	4.6 
PC,SM_CUR,QU2,F,Y65-74,EU27_2020	13.1 	9.1 
PC,SM_CUR,QU2,F,Y65-74,EU28	: 	9.4 
PC,SM_CUR,QU2,F,Y65-74,FI	7.7 	14.2 
PC,SM_CUR,QU2,F,Y65-74,FR	7.9 	8.7 
PC,SM_CUR,QU2,F,Y65-74,HR	22.2 	17.2 
PC,SM_CUR,QU2,F,Y65-74,HU	13.8 	16.5 
PC,SM_CUR,QU2,F,Y65-74,IE	10.3 	15.6 
PC,SM_CUR,QU2,F,Y65-74,IS	8.4 	18.5 
PC,SM_CUR,QU2,F,Y65-74,IT	12.8 	8.7 
PC,SM_CUR,QU2,F,Y65-74,LT	4.6 	4.4 
PC,SM_CUR,QU2,F,Y65-74,LU	10.5 	3.2 u
PC,SM_CUR,QU2,F,Y65-74,LV	7.7 	8.6 
PC,SM_CUR,QU2,F,Y65-74,MT	11.4 	10.2 
PC,SM_CUR,QU2,F,Y65-74,NL	24.0 	19.0 
PC,SM_CUR,QU2,F,Y65-74,NO	19.3 	20.7 
PC,SM_CUR,QU2,F,Y65-74,PL	16.6 	13.4 
PC,SM_CUR,QU2,F,Y65-74,PT	2.6 	0.7 
PC,SM_CUR,QU2,F,Y65-74,RO	6.6 	3.6 
PC,SM_CUR,QU2,F,Y65-74,RS	19.5 	: 
PC,SM_CUR,QU2,F,Y65-74,SE	14.4 	14.7 
PC,SM_CUR,QU2,F,Y65-74,SI	12.2 	6.7 
PC,SM_CUR,QU2,F,Y65-74,SK	11.7 	8.5 
PC,SM_CUR,QU2,F,Y65-74,TR	6.1 	4.3 
PC,SM_CUR,QU2,F,Y65-74,UK	: 	12.4 
PC,SM_CUR,QU2,F,Y_GE18,AT	23.9 	30.4 
PC,SM_CUR,QU2,F,Y_GE18,BE	14.1 	20.0 u
PC,SM_CUR,QU2,F,Y_GE18,BG	21.3 	20.6 
PC,SM_CUR,QU2,F,Y_GE18,CY	15.2 	17.1 
PC,SM_CUR,QU2,F,Y_GE18,CZ	24.0 	18.2 
PC,SM_CUR,QU2,F,Y_GE18,DE	23.5 	20.0 
PC,SM_CUR,QU2,F,Y_GE18,DK	18.4 	23.5 
PC,SM_CUR,QU2,F,Y_GE18,EE	19.6 	19.7 
PC,SM_CUR,QU2,F,Y_GE18,EL	22.7 	26.6 
PC,SM_CUR,QU2,F,Y_GE18,ES	19.4 	17.8 
PC,SM_CUR,QU2,F,Y_GE18,EU27_2020	20.1 	19.4 
PC,SM_CUR,QU2,F,Y_GE18,EU28	: 	19.5 
PC,SM_CUR,QU2,F,Y_GE18,FI	15.5 	18.4 
PC,SM_CUR,QU2,F,Y_GE18,FR	22.0 	23.6 
PC,SM_CUR,QU2,F,Y_GE18,HR	24.8 	20.3 
PC,SM_CUR,QU2,F,Y_GE18,HU	23.5 	23.9 
PC,SM_CUR,QU2,F,Y_GE18,IE	22.2 	21.7 
PC,SM_CUR,QU2,F,Y_GE18,IS	12.4 	21.4 
PC,SM_CUR,QU2,F,Y_GE18,IT	16.4 	16.4 
PC,SM_CUR,QU2,F,Y_GE18,LT	14.1 	10.4 
PC,SM_CUR,QU2,F,Y_GE18,LU	19.2 	20.1 
PC,SM_CUR,QU2,F,Y_GE18,LV	17.2 	14.9 
PC,SM_CUR,QU2,F,Y_GE18,MT	19.6 	23.9 
PC,SM_CUR,QU2,F,Y_GE18,NL	28.2 	23.1 
PC,SM_CUR,QU2,F,Y_GE18,NO	18.4 	19.8 
PC,SM_CUR,QU2,F,Y_GE18,PL	21.4 	21.2 
PC,SM_CUR,QU2,F,Y_GE18,PT	7.5 	11.2 
PC,SM_CUR,QU2,F,Y_GE18,RO	11.8 	9.4 
PC,SM_CUR,QU2,F,Y_GE18,RS	30.2 	: 
PC,SM_CUR,QU2,F,Y_GE18,SE	13.8 	15.3 
PC,SM_CUR,QU2,F,Y_GE18,SI	22.6 	23.4 
PC,SM_CUR,QU2,F,Y_GE18,SK	18.4 	17.1 
PC,SM_CUR,QU2,F,Y_GE18,TR	15.9 	18.2 
PC,SM_CUR,QU2,F,Y_GE18,UK	: 	19.8 
PC,SM_CUR,QU2,F,Y_GE65,AT	9.2 	7.4 
PC,SM_CUR,QU2,F,Y_GE65,BE	4.7 	7.7 u
PC,SM_CUR,QU2,F,Y_GE65,BG	6.8 	1.7 
PC,SM_CUR,QU2,F,Y_GE65,CY	3.6 	3.9 
PC,SM_CUR,QU2,F,Y_GE65,CZ	12.7 	9.9 
PC,SM_CUR,QU2,F,Y_GE65,DE	12.7 	5.6 
PC,SM_CUR,QU2,F,Y_GE65,DK	8.9 	12.4 
PC,SM_CUR,QU2,F,Y_GE65,EE	6.0 	4.5 
PC,SM_CUR,QU2,F,Y_GE65,EL	6.7 	7.2 
PC,SM_CUR,QU2,F,Y_GE65,ES	4.4 	2.2 
PC,SM_CUR,QU2,F,Y_GE65,EU27_2020	8.4 	6.3 
PC,SM_CUR,QU2,F,Y_GE65,EU28	: 	6.5 
PC,SM_CUR,QU2,F,Y_GE65,FI	6.1 	9.0 
PC,SM_CUR,QU2,F,Y_GE65,FR	5.7 	6.3 
PC,SM_CUR,QU2,F,Y_GE65,HR	10.5 	8.2 
PC,SM_CUR,QU2,F,Y_GE65,HU	8.1 	11.3 
PC,SM_CUR,QU2,F,Y_GE65,IE	7.1 	11.4 
PC,SM_CUR,QU2,F,Y_GE65,IS	8.8 	13.1 
PC,SM_CUR,QU2,F,Y_GE65,IT	7.9 	5.7 
PC,SM_CUR,QU2,F,Y_GE65,LT	2.3 	2.0 
PC,SM_CUR,QU2,F,Y_GE65,LU	9.7 	1.9 u
PC,SM_CUR,QU2,F,Y_GE65,LV	5.0 	4.7 
PC,SM_CUR,QU2,F,Y_GE65,MT	7.8 	6.7 
PC,SM_CUR,QU2,F,Y_GE65,NL	21.1 	14.1 
PC,SM_CUR,QU2,F,Y_GE65,NO	12.6 	14.1 
PC,SM_CUR,QU2,F,Y_GE65,PL	11.3 	9.0 
PC,SM_CUR,QU2,F,Y_GE65,PT	1.3 	0.4 
PC,SM_CUR,QU2,F,Y_GE65,RO	5.0 	2.4 
PC,SM_CUR,QU2,F,Y_GE65,RS	14.4 	: 
PC,SM_CUR,QU2,F,Y_GE65,SE	8.6 	11.1 
PC,SM_CUR,QU2,F,Y_GE65,SI	7.8 	4.2 
PC,SM_CUR,QU2,F,Y_GE65,SK	7.5 	5.0 
PC,SM_CUR,QU2,F,Y_GE65,TR	5.8 	5.4 
PC,SM_CUR,QU2,F,Y_GE65,UK	: 	8.4 
PC,SM_CUR,QU2,F,Y_GE75,AT	2.2 	4.7 
PC,SM_CUR,QU2,F,Y_GE75,BE	1.8 	2.2 u
PC,SM_CUR,QU2,F,Y_GE75,BG	1.1 	1.0 
PC,SM_CUR,QU2,F,Y_GE75,CY	1.1 	2.6 
PC,SM_CUR,QU2,F,Y_GE75,CZ	9.2 	5.7 
PC,SM_CUR,QU2,F,Y_GE75,DE	7.4 	4.6 
PC,SM_CUR,QU2,F,Y_GE75,DK	10.6 	12.7 u
PC,SM_CUR,QU2,F,Y_GE75,EE	3.7 	0 
PC,SM_CUR,QU2,F,Y_GE75,EL	1.9 	4.2 
PC,SM_CUR,QU2,F,Y_GE75,ES	1.5 	0.5 
PC,SM_CUR,QU2,F,Y_GE75,EU27_2020	4.4 	3.9 
PC,SM_CUR,QU2,F,Y_GE75,EU28	: 	3.9 
PC,SM_CUR,QU2,F,Y_GE75,FI	4.5 	3.2 
PC,SM_CUR,QU2,F,Y_GE75,FR	3.8 	3.6 
PC,SM_CUR,QU2,F,Y_GE75,HR	2.7 	2.4 
PC,SM_CUR,QU2,F,Y_GE75,HU	2.3 	4.0 
PC,SM_CUR,QU2,F,Y_GE75,IE	2.1 	6.3 
PC,SM_CUR,QU2,F,Y_GE75,IS	9.1 	6.4 u
PC,SM_CUR,QU2,F,Y_GE75,IT	4.4 	3.6 
PC,SM_CUR,QU2,F,Y_GE75,LT	0 	0.4 
PC,SM_CUR,QU2,F,Y_GE75,LU	8.0 	0 u
PC,SM_CUR,QU2,F,Y_GE75,LV	2.4 	1.9 
PC,SM_CUR,QU2,F,Y_GE75,MT	3.2 	1.6 u
PC,SM_CUR,QU2,F,Y_GE75,NL	17.2 	9.5 
PC,SM_CUR,QU2,F,Y_GE75,NO	5.7 	7.9 
PC,SM_CUR,QU2,F,Y_GE75,PL	4.6 	5.2 
PC,SM_CUR,QU2,F,Y_GE75,PT	0.3 	0.2 
PC,SM_CUR,QU2,F,Y_GE75,RO	2.9 	1.2 
PC,SM_CUR,QU2,F,Y_GE75,RS	7.3 	: 
PC,SM_CUR,QU2,F,Y_GE75,SE	4.9 	8.1 
PC,SM_CUR,QU2,F,Y_GE75,SI	2.3 	1.0 
PC,SM_CUR,QU2,F,Y_GE75,SK	2.6 	1.6 
PC,SM_CUR,QU2,F,Y_GE75,TR	5.4 	7.1 
PC,SM_CUR,QU2,F,Y_GE75,UK	: 	4.4 
PC,SM_CUR,QU2,M,TOTAL,AT	30.3 	30.7 
PC,SM_CUR,QU2,M,TOTAL,BE	23.9 	29.2 u
PC,SM_CUR,QU2,M,TOTAL,BG	43.1 	41.1 
PC,SM_CUR,QU2,M,TOTAL,CY	35.8 	42.2 
PC,SM_CUR,QU2,M,TOTAL,CZ	28.0 	34.5 
PC,SM_CUR,QU2,M,TOTAL,DE	34.6 	25.7 
PC,SM_CUR,QU2,M,TOTAL,DK	22.8 	21.4 
PC,SM_CUR,QU2,M,TOTAL,EE	30.5 	33.1 
PC,SM_CUR,QU2,M,TOTAL,EL	38.2 	39.1 
PC,SM_CUR,QU2,M,TOTAL,ES	28.6 	29.5 
PC,SM_CUR,QU2,M,TOTAL,EU27_2020	30.9 	30.9 
PC,SM_CUR,QU2,M,TOTAL,EU28	: 	29.8 
PC,SM_CUR,QU2,M,TOTAL,FI	27.4 	24.2 
PC,SM_CUR,QU2,M,TOTAL,FR	32.1 	33.2 
PC,SM_CUR,QU2,M,TOTAL,HR	31.4 	32.7 
PC,SM_CUR,QU2,M,TOTAL,HU	34.1 	37.5 
PC,SM_CUR,QU2,M,TOTAL,IE	23.0 	22.6 
PC,SM_CUR,QU2,M,TOTAL,IS	15.2 	25.0 
PC,SM_CUR,QU2,M,TOTAL,IT	27.6 	29.8 
PC,SM_CUR,QU2,M,TOTAL,LT	38.1 	48.1 
PC,SM_CUR,QU2,M,TOTAL,LU	23.2 	31.9 
PC,SM_CUR,QU2,M,TOTAL,LV	35.7 	41.7 
PC,SM_CUR,QU2,M,TOTAL,MT	24.5 	27.1 
PC,SM_CUR,QU2,M,TOTAL,NL	31.2 	30.0 
PC,SM_CUR,QU2,M,TOTAL,NO	22.7 	20.3 
PC,SM_CUR,QU2,M,TOTAL,PL	28.6 	39.1 
PC,SM_CUR,QU2,M,TOTAL,PT	29.3 	31.6 
PC,SM_CUR,QU2,M,TOTAL,RO	35.5 	34.6 
PC,SM_CUR,QU2,M,TOTAL,RS	33.9 	: 
PC,SM_CUR,QU2,M,TOTAL,SE	13.0 	22.4 
PC,SM_CUR,QU2,M,TOTAL,SI	26.7 	26.4 
PC,SM_CUR,QU2,M,TOTAL,SK	29.9 	34.6 
PC,SM_CUR,QU2,M,TOTAL,TR	45.0 	45.4 
PC,SM_CUR,QU2,M,TOTAL,UK	: 	22.4 
PC,SM_CUR,QU2,M,Y15-19,AT	32.8 	24.5 
PC,SM_CUR,QU2,M,Y15-19,BE	38.0 	: u
PC,SM_CUR,QU2,M,Y15-19,BG	28.0 	26.8 u
PC,SM_CUR,QU2,M,Y15-19,CY	13.1 	28.1 u
PC,SM_CUR,QU2,M,Y15-19,CZ	17.3 	: u
PC,SM_CUR,QU2,M,Y15-19,DE	34.7 	17.9 
PC,SM_CUR,QU2,M,Y15-19,DK	44.4 	: u
PC,SM_CUR,QU2,M,Y15-19,EE	33.4 	22.5 u
PC,SM_CUR,QU2,M,Y15-19,EL	23.6 	27.8 u
PC,SM_CUR,QU2,M,Y15-19,ES	22.9 	9.8 
PC,SM_CUR,QU2,M,Y15-19,EU27_2020	28.8 	: 
PC,SM_CUR,QU2,M,Y15-19,EU28	: 	18.7 
PC,SM_CUR,QU2,M,Y15-19,FI	52.6 	38.0 u
PC,SM_CUR,QU2,M,Y15-19,FR	38.6 	27.2 
PC,SM_CUR,QU2,M,Y15-19,HR	63.0 	19.9 u
PC,SM_CUR,QU2,M,Y15-19,HU	40.6 	21.5 u
PC,SM_CUR,QU2,M,Y15-19,IE	24.9 	15.9 u
PC,SM_CUR,QU2,M,Y15-19,IS	0 	6.9 u
PC,SM_CUR,QU2,M,Y15-19,IT	21.8 	19.0 
PC,SM_CUR,QU2,M,Y15-19,LT	0 	13.2 u
PC,SM_CUR,QU2,M,Y15-19,LU	0 	: u
PC,SM_CUR,QU2,M,Y15-19,LV	21.0 	28.7 
PC,SM_CUR,QU2,M,Y15-19,MT	18.8 	14.4 u
PC,SM_CUR,QU2,M,Y15-19,NL	18.7 	23.2 
PC,SM_CUR,QU2,M,Y15-19,NO	21.1 	11.0 
PC,SM_CUR,QU2,M,Y15-19,PL	9.2 	18.6 
PC,SM_CUR,QU2,M,Y15-19,PT	6.2 	23.5 
PC,SM_CUR,QU2,M,Y15-19,RO	19.7 	10.9 
PC,SM_CUR,QU2,M,Y15-19,RS	26.7 	: 
PC,SM_CUR,QU2,M,Y15-19,SE	15.0 	: u
PC,SM_CUR,QU2,M,Y15-19,SI	46.9 	9.2 u
PC,SM_CUR,QU2,M,Y15-19,SK	20.6 	10.6 u
PC,SM_CUR,QU2,M,Y15-19,TR	38.5 	18.1 
PC,SM_CUR,QU2,M,Y15-19,UK	: 	12.3 
PC,SM_CUR,QU2,M,Y15-24,AT	31.2 	40.2 
PC,SM_CUR,QU2,M,Y15-24,BE	19.5 	: u
PC,SM_CUR,QU2,M,Y15-24,BG	29.1 	39.5 
PC,SM_CUR,QU2,M,Y15-24,CY	22.4 	35.5 
PC,SM_CUR,QU2,M,Y15-24,CZ	20.5 	28.4 u
PC,SM_CUR,QU2,M,Y15-24,DE	34.2 	23.6 
PC,SM_CUR,QU2,M,Y15-24,DK	34.2 	19.0 u
PC,SM_CUR,QU2,M,Y15-24,EE	30.7 	34.3 u
PC,SM_CUR,QU2,M,Y15-24,EL	28.2 	36.9 
PC,SM_CUR,QU2,M,Y15-24,ES	22.7 	19.5 
PC,SM_CUR,QU2,M,Y15-24,EU27_2020	29.4 	27.5 
PC,SM_CUR,QU2,M,Y15-24,EU28	: 	25.9 
PC,SM_CUR,QU2,M,Y15-24,FI	39.7 	41.3 u
PC,SM_CUR,QU2,M,Y15-24,FR	37.1 	35.6 
PC,SM_CUR,QU2,M,Y15-24,HR	44.1 	25.7 u
PC,SM_CUR,QU2,M,Y15-24,HU	43.0 	31.8 
PC,SM_CUR,QU2,M,Y15-24,IE	29.9 	23.2 u
PC,SM_CUR,QU2,M,Y15-24,IS	20.2 	26.3 u
PC,SM_CUR,QU2,M,Y15-24,IT	25.9 	24.0 
PC,SM_CUR,QU2,M,Y15-24,LT	40.8 	26.6 
PC,SM_CUR,QU2,M,Y15-24,LU	27.6 	: u
PC,SM_CUR,QU2,M,Y15-24,LV	21.7 	34.0 
PC,SM_CUR,QU2,M,Y15-24,MT	26.7 	22.1 u
PC,SM_CUR,QU2,M,Y15-24,NL	17.8 	32.6 
PC,SM_CUR,QU2,M,Y15-24,NO	24.1 	19.2 
PC,SM_CUR,QU2,M,Y15-24,PL	19.8 	27.1 
PC,SM_CUR,QU2,M,Y15-24,PT	22.6 	34.2 
PC,SM_CUR,QU2,M,Y15-24,RO	24.1 	19.5 
PC,SM_CUR,QU2,M,Y15-24,RS	17.9 	: 
PC,SM_CUR,QU2,M,Y15-24,SE	17.1 	29.9 
PC,SM_CUR,QU2,M,Y15-24,SI	26.7 	25.7 
PC,SM_CUR,QU2,M,Y15-24,SK	17.2 	28.9 
PC,SM_CUR,QU2,M,Y15-24,TR	36.5 	33.1 
PC,SM_CUR,QU2,M,Y15-24,UK	: 	16.6 
PC,SM_CUR,QU2,M,Y15-29,AT	35.1 	39.6 
PC,SM_CUR,QU2,M,Y15-29,BE	24.9 	: u
PC,SM_CUR,QU2,M,Y15-29,BG	41.1 	42.0 
PC,SM_CUR,QU2,M,Y15-29,CY	32.6 	41.7 
PC,SM_CUR,QU2,M,Y15-29,CZ	32.6 	35.4 u
PC,SM_CUR,QU2,M,Y15-29,DE	38.2 	30.9 
PC,SM_CUR,QU2,M,Y15-29,DK	32.0 	27.8 u
PC,SM_CUR,QU2,M,Y15-29,EE	30.8 	40.1 
PC,SM_CUR,QU2,M,Y15-29,EL	32.1 	37.1 
PC,SM_CUR,QU2,M,Y15-29,ES	27.6 	27.9 
PC,SM_CUR,QU2,M,Y15-29,EU27_2020	33.9 	33.4 
PC,SM_CUR,QU2,M,Y15-29,EU28	: 	32.2 
PC,SM_CUR,QU2,M,Y15-29,FI	33.4 	42.0 
PC,SM_CUR,QU2,M,Y15-29,FR	41.3 	39.6 
PC,SM_CUR,QU2,M,Y15-29,HR	41.1 	28.7 
PC,SM_CUR,QU2,M,Y15-29,HU	45.8 	39.0 
PC,SM_CUR,QU2,M,Y15-29,IE	37.9 	28.3 
PC,SM_CUR,QU2,M,Y15-29,IS	22.3 	24.2 
PC,SM_CUR,QU2,M,Y15-29,IT	29.8 	29.7 
