unit,smoking,quant_inc,sex,age,geo\time	2019 	2014 
PC,NSM,QU1,F,Y15-24,SK	77.0 	70.8 
PC,NSM,QU1,F,Y15-24,TR	93.2 	91.9 
PC,NSM,QU1,F,Y15-24,UK	: 	79.8 
PC,NSM,QU1,F,Y15-29,AT	72.9 	65.4 
PC,NSM,QU1,F,Y15-29,BE	83.5 	: u
PC,NSM,QU1,F,Y15-29,BG	86.8 	68.0 
PC,NSM,QU1,F,Y15-29,CY	81.4 	82.6 
PC,NSM,QU1,F,Y15-29,CZ	75.7 	75.7 
PC,NSM,QU1,F,Y15-29,DE	70.2 	75.9 
PC,NSM,QU1,F,Y15-29,DK	65.3 	73.3 
PC,NSM,QU1,F,Y15-29,EE	86.6 	73.7 
PC,NSM,QU1,F,Y15-29,EL	81.9 	75.3 
PC,NSM,QU1,F,Y15-29,ES	78.4 	75.2 
PC,NSM,QU1,F,Y15-29,EU27_2020	76.5 	75.4 
PC,NSM,QU1,F,Y15-29,EU28	: 	75.2 
PC,NSM,QU1,F,Y15-29,FI	84.0 	70.7 
PC,NSM,QU1,F,Y15-29,FR	74.4 	65.6 
PC,NSM,QU1,F,Y15-29,HR	77.7 u	66.7 
PC,NSM,QU1,F,Y15-29,HU	66.2 	65.2 
PC,NSM,QU1,F,Y15-29,IE	73.8 	71.5 
PC,NSM,QU1,F,Y15-29,IS	88.1 	78.1 
PC,NSM,QU1,F,Y15-29,IT	82.6 	81.5 
PC,NSM,QU1,F,Y15-29,LT	67.7 u	77.3 
PC,NSM,QU1,F,Y15-29,LU	76.3 	72.5 
PC,NSM,QU1,F,Y15-29,LV	81.8 u	64.6 
PC,NSM,QU1,F,Y15-29,MT	66.4 u	54.1 u
PC,NSM,QU1,F,Y15-29,NL	77.2 	66.6 
PC,NSM,QU1,F,Y15-29,NO	86.2 	83.8 
PC,NSM,QU1,F,Y15-29,PL	82.5 	84.3 
PC,NSM,QU1,F,Y15-29,PT	88.7 	81.4 
PC,NSM,QU1,F,Y15-29,RO	84.6 	85.8 
PC,NSM,QU1,F,Y15-29,RS	79.0 	: 
PC,NSM,QU1,F,Y15-29,SE	83.8 	83.9 
PC,NSM,QU1,F,Y15-29,SI	73.0 	73.2 
PC,NSM,QU1,F,Y15-29,SK	74.1 	66.4 
PC,NSM,QU1,F,Y15-29,TR	90.3 	87.0 
PC,NSM,QU1,F,Y15-29,UK	: 	74.3 
PC,NSM,QU1,F,Y15-44,AT	: 	62.8 
PC,NSM,QU1,F,Y15-44,BE	: 	64.0 u
PC,NSM,QU1,F,Y15-44,BG	: 	58.5 
PC,NSM,QU1,F,Y15-44,CY	: 	78.9 
PC,NSM,QU1,F,Y15-44,CZ	: 	68.3 
PC,NSM,QU1,F,Y15-44,DE	: 	73.6 
PC,NSM,QU1,F,Y15-44,DK	: 	71.5 
PC,NSM,QU1,F,Y15-44,EE	: 	70.7 
