observationAbout,observationDate,value,variableMeasured,unit,scalingFactor,measurementMethod
country/NZL,1991,3516000,dcid:Count_Person,,,
country/NZL,1992,3552200,dcid:Count_Person,,,
country/NZL,1991,1.18,dcid:GrowthRate_Count_Person,Percent,,
country/NZL,1992,1.03,dcid:GrowthRate_Count_Person,Percent,,
country/NZL,1991,1730000,dcid:Count_Person_Male,,,
country/NZL,1992,1749100,dcid:Count_Person_Male,,,
country/NZL,1991,1786000,dcid:Count_Person_Female,,,
country/NZL,1992,1803100,dcid:Count_Person_Female,,,
country/NZL,1991,31.5,dcid:Median_Age_Person,Year,,
country/NZL,1992,31.8,dcid:Median_Age_Person,Year,,
country/NZL,1991,96.9,dcid:Count_Person_Male_AsAFractionOf_Count_Person_Female,Percent,100,
country/NZL,1992,97,dcid:Count_Person_Male_AsAFractionOf_Count_Person_Female,Percent,100,
country/NZL,1991,59913,dcid:Count_BirthEvent_LiveBirth,,,
country/NZL,1992,59166,dcid:Count_BirthEvent_LiveBirth,,,
country/NZL,1991,26391,dcid:Count_Death,,,
country/NZL,1992,27117,dcid:Count_Death,,,
country/NZL,1991,495,dcid:Count_MortalityEvent_Infant,,,
country/NZL,1992,426,dcid:Count_MortalityEvent_Infant,,,
country/NZL,1991,33522,dcid:IncrementalCount_Person,,,
country/NZL,1992,32052,dcid:IncrementalCount_Person,,,
country/NZL,1991,72.9,dcid:LifeExpectancy_Person_Male,Year,,
country/NZL,1991,78.7,dcid:LifeExpectancy_Person_Female,Year,,
country/NZL,1991,2.09,dcid:FertilityRate_Person_Female,Percent,,
country/NZL,1992,2.06,dcid:FertilityRate_Person_Female,Percent,,
country/NZL,1991,27.9,dcid:MedianMothersAge_BirthEvent,Year,,
country/NZL,1992,28.2,dcid:MedianMothersAge_BirthEvent,Year,,
country/NZL,1991,21840,dcid:Count_Person_EverMarriedOrNewZealandCivilUnion,,,
country/NZL,1992,20802,dcid:Count_Person_EverMarriedOrNewZealandCivilUnion,,,
country/NZL,1991,28.8,dcid:Median_Age_Person_Male_EverMarriedOrNewZealandCivilUnion,Year,,
country/NZL,1992,29.1,dcid:Median_Age_Person_Male_EverMarriedOrNewZealandCivilUnion,Year,,
country/NZL,1991,26.5,dcid:Median_Age_Person_Female_EverMarriedOrNewZealandCivilUnion,Year,,
country/NZL,1992,26.7,dcid:Median_Age_Person_Female_EverMarriedOrNewZealandCivilUnion,Year,,
country/NZL,1991,9150,dcid:Count_Person_Divorced,,,
country/NZL,1992,9114,dcid:Count_Person_Divorced,,,
country/NZL,1991,39,dcid:Median_Age_Person_Male_Divorced,Year,,
country/NZL,1992,39.2,dcid:Median_Age_Person_Male_Divorced,Year,,
country/NZL,1991,36.1,dcid:Median_Age_Person_Female_Divorced,Year,,
country/NZL,1992,36.5,dcid:Median_Age_Person_Female_Divorced,Year,,
