observationAbout,observationDate,value,variableMeasured,unit,scalingFactor,measurementMethod
dcid:wikidataId/Q1365839,2018,67900,dcid:Count_Person,,,
dcid:wikidataId/Q1365839,2019,69200,dcid:Count_Person,,,
dcid:wikidataId/Q1365839,2020,71300,dcid:Count_Person,,,
dcid:wikidataId/Q1365839,2021,72600,dcid:Count_Person,,,
dcid:wikidataId/Q1365839,2021,1300,dcid:IncrementalCount_Person,,,
dcid:wikidataId/Q3696415,2018,94100,dcid:Count_Person,,,
dcid:wikidataId/Q3696415,2019,95600,dcid:Count_Person,,,
dcid:wikidataId/Q3696415,2020,97700,dcid:Count_Person,,,
dcid:wikidataId/Q3696415,2021,99400,dcid:Count_Person,,,
dcid:wikidataId/Q3696415,2021,1600,dcid:IncrementalCount_Person,,,
dcid:wikidataId/Q163982,2018,23700,dcid:Count_Person,,,
dcid:wikidataId/Q163982,2019,24300,dcid:Count_Person,,,
dcid:wikidataId/Q163982,2020,25300,dcid:Count_Person,,,
dcid:wikidataId/Q163982,2021,26000,dcid:Count_Person,,,
dcid:wikidataId/Q163982,2021,670,dcid:IncrementalCount_Person,,,
dcid:wikidataId/Q37100,2018,1654800,dcid:Count_Person,,,
dcid:wikidataId/Q37100,2019,1681300,dcid:Count_Person,,,
dcid:wikidataId/Q37100,2020,1716900,dcid:Count_Person,,,
dcid:wikidataId/Q37100,2021,1715600,dcid:Count_Person,,,
dcid:wikidataId/Q37100,2021,-1280,dcid:IncrementalCount_Person,,,
