"Units","MeasurementMethods","ScalingFactors","NumPlaces","StatVar","MinDate","observationPeriods"
"[]","[DataCommonsAggregate]","[]","5","Offense_Count_CriminalIncidents_BiasMotivationGender_MotorVehicleTheft_IsHateCrime_Male","2013","[P1Y]"
"[]","[DataCommonsAggregate]","[]","6","Count_CriminalIncidents_BiasMotivationReligion_DrugOrNarcoticViolations_IsHateCrime_Hinduism","2016","[P1Y]"
"[]","[DataCommonsAggregate]","[]","17","Offense_Count_CriminalIncidents_BiasMotivationSexualOrientation_Shoplifting_IsHateCrime_Lesbian","2005","[P1Y]"
"[]","[DataCommonsAggregate]","[]","399","Count_CriminalIncidents_BiasMotivationSexualOrientation_IsHateCrime_OffenderRaceTwoOrMoreRaces","1991","[P1Y]"
"[]","[DataCommonsAggregate]","[]","252","Count_CriminalIncidents_DrugEquipmentViolations_IsHateCrime","1995","[P1Y]"
"[]","[DataCommonsAggregate]","[]","131","Victim_Count_CriminalIncidents_BiasMotivationSexualOrientation_Robbery_IsHateCrime_LGBT","1992","[P1Y]"
"[]","[DataCommonsAggregate]","[]","96","Count_CriminalIncidents_BiasMotivationReligion_Arson_IsHateCrime_Judaism","1991","[P1Y]"
"[]","[DataCommonsAggregate]","[]","8","Count_CriminalIncidents_BiasMotivationDisabilityStatus_Sodomy_IsHateCrime_MentalDisability","2018","[P1Y]"
"[]","[DataCommonsAggregate]","[]","13","Count_CriminalIncidents_BiasMotivationReligion_ExtortionOrBlackmail_IsHateCrime_Judaism","2003","[P1Y]"
"[]","[DataCommonsAggregate]","[]","36","Count_CriminalIncidents_BiasMotivationDisabilityStatus_Robbery_IsHateCrime_PhysicalDisability","2001","[P1Y]"
"[]","[DataCommonsAggregate]","[]","6","Offense_Count_CriminalIncidents_BiasMotivationRace_MotorVehicleTheft_IsHateCrime_Arab","2017","[P1Y]"
"[]","[DataCommonsAggregate]","[]","526","Victim_Count_CriminalIncidents_BiasMotivationMultipleBias_CrimeAgainstProperty_IsHateCrime","1991","[P1Y]"
"[]","[DataCommonsAggregate]","[]","122","Victim_Count_CriminalIncidents_BiasMotivationSexualOrientation_Intimidation_IsHateCrime_Heterosexual","1992","[P1Y]"
"[]","[DataCommonsAggregate]","[]","6","Victim_Count_CriminalIncidents_BiasMotivationSingleBias_HumanTraffickingCommercialSexActs_IsHateCrime","2017","[P1Y]"
"[]","[DataCommonsAggregate]","[]","35","Offense_Count_CriminalIncidents_BiasMotivationDisabilityStatus_Rape_IsHateCrime","1997","[P1Y]"
"[]","[DataCommonsAggregate]","[]","2771","Count_CriminalIncidents_BiasMotivationSexualOrientation_IsHateCrime_Gay","1991","[P1Y]"
"[]","[DataCommonsAggregate]","[]","47","Offense_Count_CriminalIncidents_BiasMotivationRace_Robbery_IsHateCrime_AmericanIndianOrAlaskaNativeAlone","1992","[P1Y]"
"[]","[DataCommonsAggregate]","[]","2","Offense_Count_CriminalIncidents_BiasMotivationDisabilityStatus_StatutoryRape_IsHateCrime","2023","[P1Y]"
"[]","[DataCommonsAggregate]","[]","36","Offense_Count_CriminalIncidents_BiasMotivationDisabilityStatus_Robbery_IsHateCrime_MentalDisability","1998","[P1Y]"
"[]","[DataCommonsAggregate]","[]","2","Offense_Count_CriminalIncidents_BiasMotivationReligion_WireFraud_IsHateCrime_Buddhism","2023","[P1Y]"
"[]","[DataCommonsAggregate]","[]","10","Offense_Count_CriminalIncidents_BiasMotivationReligion_CreditCardOrAutomatedTellerMachineFraud_IsHateCrime_Protestantism","2004","[P1Y]"
"[]","[DataCommonsAggregate]","[]","40","Victim_Count_CriminalIncidents_BiasMotivationSingleBias_PocketPicking_IsHateCrime","1996","[P1Y]"
"[]","[DataCommonsAggregate]","[]","34","Offense_Count_CriminalIncidents_Impersonation_IsHateCrime_OffenderRaceBlackOrAfricanAmericanAlone","1999","[P1Y]"
"[]","[DataCommonsAggregate]","[]","2","Count_CriminalIncidents_BiasMotivationSexualOrientation_WireFraud_IsHateCrime_Lesbian","2018","[P1Y]"
"[]","[DataCommonsAggregate]","[]","27","Offense_Count_CriminalIncidents_BiasMotivationEthnicity_KidnappingOrAbduction_IsHateCrime_HispanicOrLatino","2007","[P1Y]"
"[]","[DataCommonsAggregate]","[]","3","Offense_Count_CriminalIncidents_HackingOrComputerInvasion_IsHateCrime_VictimTypeUnknownVictimType","2021","[P1Y]"
"[]","[DataCommonsAggregate]","[]","18","Offense_Count_CriminalIncidents_StolenPropertyOffenses_IsHateCrime_VictimTypeMultipleVictimType","1996","[P1Y]"
"[]","[DataCommonsAggregate]","[]","97","Offense_Count_CriminalIncidents_Rape_IsHateCrime_OffenderRaceBlackOrAfricanAmericanAlone","1991","[P1Y]"
"[]","[DataCommonsAggregate]","[]","16","Offense_Count_CriminalIncidents_BiasMotivationOtherRaceOrEthnicity_CounterfeitingOrForgery_IsHateCrime","1996","[P1Y]"
"[]","[DataCommonsAggregate]","[]","2254","Victim_Count_CriminalIncidents_BiasMotivationReligion_CrimeAgainstPerson_IsHateCrime","1991","[P1Y]"
"[]","[DataCommonsAggregate]","[]","292","Victim_Count_CriminalIncidents_BiasMotivationDisabilityStatus_CrimeAgainstProperty_IsHateCrime_MentalDisability","1998","[P1Y]"
"[]","[DataCommonsAggregate]","[]","2","Offense_Count_CriminalIncidents_BiasMotivationRace_PornographyOrObsceneMaterial_IsHateCrime_AsianAlone","2002","[P1Y]"
"[]","[DataCommonsAggregate]","[]","4","Victim_Count_CriminalIncidents_BiasMotivationGender_Sodomy_IsHateCrime_GenderNonConforming","2019","[P1Y]"
"[]","[DataCommonsAggregate]","[]","8","Count_CriminalIncidents_BiasMotivationDisabilityStatus_CounterfeitingOrForgery_IsHateCrime_MentalDisability","2002","[P1Y]"
"[]","[DataCommonsAggregate]","[]","25","Count_CriminalIncidents_BiasMotivationRace_Shoplifting_IsHateCrime_AsianAlone","1995","[P1Y]"
"[]","[DataCommonsAggregate]","[]","2","Count_CriminalIncidents_BiasMotivationReligion_NotSpecified_IsHateCrime_OtherChristian","2015","[P1Y]"
"[]","[DataCommonsAggregate]","[]","3","Offense_Count_CriminalIncidents_BiasMotivationRace_CreditCardOrAutomatedTellerMachineFraud_IsHateCrime_NativeHawaiianOrOtherPacificIslanderAlone","2022","[P1Y]"
"[]","[DataCommonsAggregate]","[]","33","Offense_Count_CriminalIncidents_BiasMotivationSexualOrientation_FalsePretenseOrSwindleOrConfidenceGame_IsHateCrime","1998","[P1Y]"
"[]","[DataCommonsAggregate]","[]","390","Victim_Count_CriminalIncidents_BiasMotivationSexualOrientation_IsHateCrime_Bisexual","1991","[P1Y]"
"[]","[DataCommonsAggregate]","[]","3","Victim_Count_CriminalIncidents_BiasMotivationReligion_StolenPropertyOffenses_IsHateCrime_Islam","2000","[P1Y]"
"[]","[DataCommonsAggregate]","[]","6","Count_CriminalIncidents_HumanTraffickingCommercialSexActs_IsHateCrime","2017","[P1Y]"
"[]","[DataCommonsAggregate]","[]","132","Count_CriminalIncidents_BiasMotivationDisabilityStatus_AggravatedAssault_IsHateCrime_MentalDisability","1998","[P1Y]"
"[]","[DataCommonsAggregate]","[]","93","Victim_Count_CriminalIncidents_IdentityTheft_IsHateCrime","2016","[P1Y]"
"[]","[DataCommonsAggregate]","[]","44","Offense_Count_CriminalIncidents_BiasMotivationOtherRaceOrEthnicity_IsHateCrime_OffenderEthnicityMultipleEthnicity","2016","[P1Y]"
"[]","[DataCommonsAggregate]","[]","1296","Count_CriminalIncidents_BiasMotivationSingleBias_IsHateCrime_LocationOfCrimeGovernmentOrPublicBuilding","1991","[P1Y]"
"[]","[DataCommonsAggregate]","[]","756","Victim_Count_CriminalIncidents_BiasMotivationSexualOrientation_SimpleAssault_IsHateCrime_LGBT","1991","[P1Y]"
"[]","[DataCommonsAggregate]","[]","2","Count_CriminalIncidents_BiasMotivationRace_Embezzlement_IsHateCrime_TwoOrMoreRaces","2000","[P1Y]"
"[]","[DataCommonsAggregate]","[]","31","Count_CriminalIncidents_BiasMotivationSexualOrientation_CrimeAgainstSociety_IsHateCrime_Lesbian","1997","[P1Y]"
"[]","[DataCommonsAggregate]","[]","12","Count_CriminalIncidents_BiasMotivationReligion_CounterfeitingOrForgery_IsHateCrime_Catholicism","2000","[P1Y]"
"[]","[DataCommonsAggregate]","[]","254","Offense_Count_CriminalIncidents_AggravatedAssault_IsHateCrime_VictimTypeMultipleVictimType","1991","[P1Y]"
"[]","[DataCommonsAggregate]","[]","4","Victim_Count_CriminalIncidents_BiasMotivationRace_Robbery_IsHateCrime_NativeHawaiianOrOtherPacificIslanderAlone","2017","[P1Y]"
"[]","[DataCommonsAggregate]","[]","3","Offense_Count_CriminalIncidents_BiasMotivationReligion_WeaponLawViolations_IsHateCrime_AtheismOrAgnosticism","2004","[P1Y]"
"[]","[DataCommonsAggregate]","[]","212","Offense_Count_CriminalIncidents_BiasMotivationReligion_IsHateCrime_OffenderEthnicityNotHispanicOrLatino_Islam","2014","[P1Y]"
"[]","[DataCommonsAggregate]","[]","8","Count_CriminalIncidents_BiasMotivationGender_IsHateCrime_GenderNonConforming_VictimTypeLawEnforcementOfficer","2021","[P1Y]"
"[]","[DataCommonsAggregate]","[]","2710","Offense_Count_CriminalIncidents_DestructionOrDamageOrVandalismOfProperty_IsHateCrime_OffenderRaceWhiteAlone","1991","[P1Y]"
"[]","[DataCommonsAggregate]","[]","3","Offense_Count_CriminalIncidents_BiasMotivationRace_CounterfeitingOrForgery_IsHateCrime_Arab","1999","[P1Y]"
"[]","[DataCommonsAggregate]","[]","39","Victim_Count_CriminalIncidents_BiasMotivationOtherRaceOrEthnicity_WeaponLawViolations_IsHateCrime","1996","[P1Y]"
"[]","[DataCommonsAggregate]","[]","12","Offense_Count_CriminalIncidents_Burglary_IsHateCrime_VictimTypeFinancialInstitution","2005","[P1Y]"
"[]","[DataCommonsAggregate]","[]","3","Victim_Count_CriminalIncidents_BiasMotivationReligion_TheftFromCoinOperatedMachineOrDevice_IsHateCrime_AtheismOrAgnosticism","2012","[P1Y]"
"[]","[DataCommonsAggregate]","[]","32","Count_CriminalIncidents_BiasMotivationDisabilityStatus_CrimeAgainstSociety_IsHateCrime_PhysicalDisability","2002","[P1Y]"
"[]","[DataCommonsAggregate]","[]","74","Offense_Count_CriminalIncidents_BiasMotivationReligion_CrimeAgainstProperty_IsHateCrime_Mormonism","2015","[P1Y]"
"[]","[DataCommonsAggregate]","[]","46","Count_CriminalIncidents_BiasMotivationReligion_CrimeAgainstPerson_IsHateCrime_Buddhism","2017","[P1Y]"
"[]","[DataCommonsAggregate]","[]","6","Offense_Count_CriminalIncidents_BiasMotivationReligion_IsHateCrime_OffenderRaceNativeHawaiianOrOtherPacificIslanderAlone_Islam","2017","[P1Y]"
"[]","[DataCommonsAggregate]","[]","210","Count_CriminalIncidents_IsHateCrime_LocationOfCrimeCommunityCenter","2013","[P1Y]"
"[]","[DataCommonsAggregate]","[]","1320","Count_CriminalIncidents_BiasMotivationRace_IsHateCrime_VictimTypeGovernment","1991","[P1Y]"
"[]","[DataCommonsAggregate]","[]","2","Victim_Count_CriminalIncidents_BiasMotivationSexualOrientation_WireFraud_IsHateCrime_Lesbian","2018","[P1Y]"
"[]","[DataCommonsAggregate]","[]","2010","Count_CriminalIncidents_BiasMotivationReligion_DestructionOrDamageOrVandalismOfProperty_IsHateCrime_Judaism","1991","[P1Y]"
"[]","[DataCommonsAggregate]","[]","148","Offense_Count_CriminalIncidents_BiasMotivationOtherRaceOrEthnicity_Burglary_IsHateCrime","1991","[P1Y]"
"[]","[DataCommonsAggregate]","[]","14","Offense_Count_CriminalIncidents_IdentityTheft_IsHateCrime_OffenderRaceBlackOrAfricanAmericanAlone","2019","[P1Y]"
"[]","[DataCommonsAggregate]","[]","27","Victim_Count_CriminalIncidents_BiasMotivationGender_CrimeAgainstSociety_IsHateCrime_Transgender","2015","[P1Y]"
"[]","[DataCommonsAggregate]","[]","881","Count_CriminalIncidents_BiasMotivationReligion_SimpleAssault_IsHateCrime","1991","[P1Y]"
"[]","[DataCommonsAggregate]","[]","331","Offense_Count_CriminalIncidents_BiasMotivationRace_AggravatedAssault_IsHateCrime_AsianAlone","1991","[P1Y]"
"[]","[DataCommonsAggregate]","[]","5","Count_CriminalIncidents_BiasMotivationRace_WelfareFraud_IsHateCrime","1996","[P1Y]"
"[]","[DataCommonsAggregate]","[]","35","Count_CriminalIncidents_BiasMotivationRace_ExtortionOrBlackmail_IsHateCrime","1999","[P1Y]"
"[]","[DataCommonsAggregate]","[]","93","Offense_Count_CriminalIncidents_BiasMotivationSingleBias_IdentityTheft_IsHateCrime","2016","[P1Y]"
"[]","[DataCommonsAggregate]","[]","17","Count_CriminalIncidents_BiasMotivationReligion_IsHateCrime_OffenderEthnicityMultipleEthnicity_OtherReligion","2016","[P1Y]"
"[]","[DataCommonsAggregate]","[]","7","Victim_Count_CriminalIncidents_BiasMotivationGender_CounterfeitingOrForgery_IsHateCrime_Female","2016","[P1Y]"
"[]","[DataCommonsAggregate]","[]","5","Offense_Count_CriminalIncidents_BiasMotivationReligion_CounterfeitingOrForgery_IsHateCrime_MultipleReligion","2004","[P1Y]"
"[]","[DataCommonsAggregate]","[]","27","Offense_Count_CriminalIncidents_CounterfeitingOrForgery_IsHateCrime_OffenderEthnicityUnknownEthnicity","2014","[P1Y]"
"[]","[DataCommonsAggregate]","[]","10","Offense_Count_CriminalIncidents_BiasMotivationReligion_WeaponLawViolations_IsHateCrime_Sikhism","2020","[P1Y]"
"[]","[DataCommonsAggregate]","[]","7","Victim_Count_CriminalIncidents_BiasMotivationReligion_FalsePretenseOrSwindleOrConfidenceGame_IsHateCrime_Hinduism","2021","[P1Y]"
"[]","[DataCommonsAggregate]","[]","13","Victim_Count_CriminalIncidents_BiasMotivationRace_TheftFromBuilding_IsHateCrime_TwoOrMoreRaces","1996","[P1Y]"
"[]","[DataCommonsAggregate]","[]","3","Offense_Count_CriminalIncidents_BiasMotivationReligion_PurseSnatching_IsHateCrime_Catholicism","2002","[P1Y]"
"[]","[DataCommonsAggregate]","[]","6","Count_CriminalIncidents_BiasMotivationReligion_IsHateCrime_Sikhism_VictimTypeUnknownVictimType","2020","[P1Y]"
"[]","[DataCommonsAggregate]","[]","4","Offense_Count_CriminalIncidents_WireFraud_IsHateCrime_OffenderRaceBlackOrAfricanAmericanAlone","2014","[P1Y]"
"[]","[DataCommonsAggregate]","[]","17","Offense_Count_CriminalIncidents_BiasMotivationReligion_IsHateCrime_OffenderEthnicityMultipleEthnicity_OtherReligion","2016","[P1Y]"
"[]","[DataCommonsAggregate]","[]","2","Offense_Count_CriminalIncidents_BiasMotivationGender_KidnappingOrAbduction_IsHateCrime_Male","2020","[P1Y]"
"[]","[DataCommonsAggregate]","[]","12","Offense_Count_CriminalIncidents_BiasMotivationReligion_NotSpecified_IsHateCrime_MultipleReligion","1997","[P1Y]"
"[]","[DataCommonsAggregate]","[]","2","Victim_Count_CriminalIncidents_BiasMotivationDisabilityStatus_HumanTraffickingInvoluntaryServitude_IsHateCrime","2022","[P1Y]"
"[]","[DataCommonsAggregate]","[]","10","Count_CriminalIncidents_BiasMotivationGender_Sodomy_IsHateCrime_Transgender","2016","[P1Y]"
"[]","[DataCommonsAggregate]","[]","26","Count_CriminalIncidents_BiasMotivationReligion_DrugOrNarcoticViolations_IsHateCrime_OtherReligion","1998","[P1Y]"
"[]","[DataCommonsAggregate]","[]","390","Offense_Count_CriminalIncidents_BiasMotivationSexualOrientation_IsHateCrime_KnownOffender_Bisexual","1991","[P1Y]"
"[]","[DataCommonsAggregate]","[]","9","Offense_Count_CriminalIncidents_Shoplifting_IsHateCrime_VictimTypeOtherVictimType","2005","[P1Y]"
