key,prop,val,p1,v1,p2,v2,p3,v3,p4,v4,,,,,,
Referência,observationDate,{Data},observationAbout,country/BRA,benefitProgram,Brazil_AuxilioBrasilProgram,gender,Female,observationPeriod,P1M,,,,,,
Responsáveis Familiares do Sexo Feminino,value,{Number},populationType,Household,headOfFamily,Women,,,,,,,name,"""The total number of female heads of households benefited from Auxilio Brasil Programs.""",alternateName,"""Total de mulheres chefes de família beneficiadas pelos Programas Auxilio Brasil@pt"""
Porcentagem de Responsáveis Familiares do Sexo Feminino,value,{Number},populationType,Household,headOfFamily,Women,measurementDenominator,"-headOfFamily,-gender",unit,Percent,scalingFactor,100,name,"""The total percentage of female heads of households benefited from Auxilio Brasil Programs.""",alternateName,"""O percentual total de mulheres chefes de família beneficiadas pelos Programas Auxilio Brasil. @pt"""
Pessoas do Sexo Feminino,value,{Number},populationType,Person,,,,,,,,,name,"""The total number of female peoples benefited from Auxilio Brasil Programs.""",alternateName,""" O total de mulheres beneficiadas pelos Programas Auxilio Brasil.@pt"""
Porcentagem de Pessoas do Sexo Feminino,value,{Number},populationType,Person,measurementDenominator,-gender,unit,Percent,scalingFactor,100,,,name,"""The total percentage of female peoples benefited from Auxilio Brasil Programs.""",alternateName,"""O percentual total de mulheres beneficiadas pelos Programas Auxilio Brasil @pt"""
Valor total pago a Responsáveis Familiares do Sexo Feminino,value,{Number},populationType,Household,headOfFamily,Women,unit,BRL,measuredProperty,amount,,,name,"""The total amount paid to female heads of households under the Auxílio Brasil program.""",alternateName,"""Valor total pago às mulheres chefes de família no âmbito do programa Auxílio Brasil @pt"""
