key,prop,val,p1,v1,p2,v2,p3,v3,p4,v4
Referência,observationDate,{Data},observationAbout,country/BRA,benefitProgram,Brazil_RuralProductiveInclusionAidProgram,populationType,HouseHold,observationPeriod,P1M
Famílias quilombolas beneficiárias do AIPR,value,{Number},householdType,QuilombolaFamily,,,name,"""Number of Quilombola families assisted by the Rural Productive Inclusion Aid Program (APRINC)""",alternateName,"""Número de famílias quilombolas atendidas pelo Programa de Auxílio à Inclusão Produtiva Rural (APRINC)@pt"""
Famílias indígenas beneficiárias do AIPR,value,{Number},householdType,IndigenousFamily,,,name,"""Number of Indigenous families assisted by the Rural Productive Inclusion Aid Program (Brazil)""",alternateName,"""Número de famílias indígenas atendidas pelo Programa de Auxílio à Inclusão Produtiva Rural (Brasil)@pt"""
Famílias extrativistas beneficiárias do AIPR,value,{Number},householdType,ExtractiveFamily,,,name,"""Number, of Extractive Families Participating , in the Rural Productive Inclusion Aid Program""",alternateName,"""Número de Famílias Extrativistas , Participantes do , Programa de Auxílio à Inclusão Produtiva Rural@pt"""
Famílias de pescadores artesanais beneficiárias do AIPR,value,{Number},householdType,FishingFamily,,,name,"""Number of fishing families participating in the Rural Productive Inclusion Aid Program (APRINC)""",alternateName,"""Número de famílias de pescadores participantes do Programa de Auxílio à Inclusão Produtiva Rural (APRINC)@pt"""
Famílias ribeirinhas beneficiárias do AIPR,value,{Number},householdType,RiversideFamily,,,name,"""Number of Riverside families assisted by the Rural Productive Inclusion Program""",alternateName,"""Número de famílias ribeirinhas atendidas pelo Programa de Inclusão Produtiva Rural@pt"""
Famílias de assentados da reforma agrária beneficiárias do AIPR,value,{Number},householdType,AgrarianReformFamily,,,name,"""Number of families benefited from Rural Productive Inclusion Aid Program (Brazil) - agrarian reform families""",alternateName,"""Número de famílias quilombolas atendidas pelo Programa de Auxílio à Inclusão Produtiva Rural (APRINC)@pt"""
